Species,Code,1999,2000,2001
Horned Grebe,HOGR,X,X,
Pied-billed Grebe *,PBGR,X,X,X
Common Loon,COLO,X,X,X
Herring Gull *,HERG,X,X,X
Ring-billed Gull *,RBGU,X,X,X
Franklin's Gull,FRGU,,,
Greater Black-Backed Gull,GBBG,,,X
Bonaparte's Gull,BOGU,X,X,X
Caspian Tern *,CATE,X,X,X
Forster's Tern *,FOTE,X,X,X
Common Tern *,COTE,X,X,
Black Tern *,BLTE,X,X,
Double-crested Cormorant *,DCCO,X,X,X
American White Pelican *,AWPE,X,X,X
Common Merganser *,COME,X,X,X
Red-breasted Merganser,RBME,X,X,X
Hooded Merganser *,HOME,X,X,X
Mallard *,MALL,X,X,X
American Black Duck *,ABDU,X,X,X
Gadwall *,GADW,X,X,X
American Wigeon *,AMWI,X,X,X
Eurasion Wigeon,EUWI,,X,
Green-winged Teal *,AGWT,X,X,X
Blue-winged Teal *,BWTE,X,X,X
Northern Shoveler *,NSHO,X,X,X
Northern Pintail *,NOPI,X,X,X
Wood Duck *,WODU,X,X,X
Redhead *,REDH,X,X,X
Canvasback *,CANV,X,X,X
Greater Scaup,GRSC,X,X,X
Lesser Scaup *,LESC,X,X,X
Ring-Necked Duck,RNDU,X,X,X
Common Goldeneye,COGO,X,X,X
Bufflehead,BUFF,X,X,X
Oldsquaw,OLDS,X,,
Harlequin Duck,HARD,,X,
Black Scoter,BLSC,X,X,
White-winged scoter,WWSC,X,,
Ruddy Duck *,RUDU,X,X,X
"Snow Goose (Lesser, White Phase",LSGO,X,,
"Snow Goose (Lesser, Blue Phase",BLGO,X,,
Canada Goose *,CAGO,X,X,X
Tundra Swan,WHSW,X,X,X
American Bittern *,AMBI,X,X,
Least Bittern *,LEBI,,X,
Great Blue Heron *,GBHE,X,X,X
Great Egret *,GREG,X,X,X
Snowy Egret *,SNEG,,X,
Green Heron *,GRHE,X,X,X
Black-crowned Night-Heron *,BCNH,X,X,
Sandhill Crane *,SACR,X,X,X
Virginia Rail *,VIRA,X,,
Sora *,SORA,X,X,X
Common Moorhen *,COMO,X,,
American Coot *,AMCO,X,X,X
Wilson's Phalarope,WIPH,,X,
Red-necked Phalarope,RNPH,,,
American Woodcock *,AMWO,X,X,X
Common Snipe *,COSN,X,X,X
Short-billed Dowitcher,SBDO,,,X
Long-billed Dowitcher,LBDO,,,
Red Knot,REKN,X,,
Pectoral Sandpiper,PESA,X,X,X
White-rumped Sandpiper,WRSA,,,
Baird's Sandpiper,BASA,X,X,X
Least Sandpiper,LESA,X,X,X
Dunlin,DUNL,X,X,X
Semipalmated Sandpiper,SESA,X,X,X
Sanderling,SAND,X,X,
Marbled Godwit,MAGO,X,,
Hudsonian Godwit,HUGO,,,
Greater Yellowlegs,GRYE,X,X,X
Lesser Yellowlegs,LEYE,X,X,X
Solitary Sandpiper,SOSA,X,X,X
Willet,WILL,X,,
Spotted Sandpiper *,SPSA,X,X,X
Black-bellied Plover,BBPL,X,X,X
American Golden Plover,AMGP,X,,
Killdeer *,KILL,X,X,X
Semipalmated Plover,SEPL,X,X,X
Ruddy Turnstone,RUTU,X,X,X
Ruffed Grouse *,RUGR,,X,
Ring-necked Pheasant *,RPHE,X,,
Wild Turkey *,WITU,,X,X
Rock Dove *,RODO,X,X,
Mourning Dove *,MODO,X,X,X
Turkey Vulture,TUVU,X,X,X
Northern Harrier *,NOHA,,X,X
Sharp-shinned Hawk,SSHA,X,X,X
Cooper's Hawk *,COHA,X,X,X
Northern Goshawk,NOGO,,,X
Red-tailed Hawk *,RTHA,X,X,X
Broad-winged Hawk,BWHA,X,,
Rough-legged Hawk,RLHA,X,X,
Bald Eagle *,BAEA,X,X,X
Peregrine Falcon *,PEFA,X,,X
Merlin,MERL,X,X,X
American Kestrel *,AMKE,,,
Osprey,OSPR,X,,X
