Cover,Status,Name,Genre,FSK,Kommentar,Verliehen?,System
,,Afrika (englische Version),Adventure,12,,,PS3
,,Alan Wake,Action,18,,,XBox 360
,,Alien vs. Predator,Shooter,18,,,PS3
,,Assassins Creed,Adventure,16,,,XBox 360
,,Assassins Creed - Brotherhood (D1 Edition),Action,16,,,XBox 360
,,Batman: Arkham Asylum (Platinum),Action,16,,,PS3
,NEU,"Battlefield 3 - Limited Edition (AT, uncut)",Shooter,18,,,XBox 360
,,Battlefield Bad Company 2 (Limited Edition),Shooter,18,,,PS3
,,Bioshock,Horror,18,,,PS3
,,"Bioshock 2 (UK, uncut)",Shooter,18,,,PS3
,,"Borderlands (AT, uncut)",Shooter,18,,,XBox 360
,,Burnout Paradise,Racer,12,,,XBox 360
,,Burnout Revenge,Racing,12,"Crash, crash, crash",,XBox 360
,,Call of Duty - Modern Warfare 2,Shooter,18,,,XBox 360
,,Call of Duty - World at War,Shooter,18,,,XBox 360
,,Call of Duty 2,Shooter,18,,,XBox 360
,,Call of Duty 3,Shooter,18,,,XBox 360
,,Call of Duty 4 - Modern Warfare,Shooter,18,,,XBox 360
,,Colin McRae Dirt,Racing,6,,,XBox 360
,,Condemned,Horror,18,Sehr gute Athmosph?re,,XBox 360
,,Condemned 2,Horror,18,,,XBox 360
,,Crackdown,Action,18,das Tor zur Halo 3 Betawelt :-),,XBox 360
,,"Crysis 2 - Limited Edition (AT, uncut)",Shooter,18,,,XBox 360
,,Dead Rising,Horror,18,Zombiegemetzel at its best,,XBox 360
,,"Dead Rising 2 (UK, uncut)",Action,18,,,XBox 360
,,"Dead Space (englisch, uncut)",Horror,18,,,PS3
,NEU,Driver - San Francisco,Racing,12,,,XBox 360
,,Enslaved,Action,16,,,PS3
,,Fable 2,RPG,16,,,XBox 360
,,Fallout 3,RPG,18,,,XBox 360
,,Far Cry 2,Shooter,18,,,XBox 360
,,Far Cry Instincts - Predator,Shooter,18,,,XBox 360
,,Fight Night Round 3,Sport,16,Boxen - Sehr gute NextGen Grafik,,XBox 360
,,Flatout - Ultimate Carnage (UK Version),Racing,18,Destruction Derby l?sst gr?ssen,,XBox 360
,,Forza 2 - Limited Edition,Racing,0,inkl. Racing Guide,,XBox 360
,,Gears of War,Shooter,18,,,XBox 360
,,Gears of War 2,Shooter,18,nicht in Deutschland erh?ltlich,,XBox 360
,NEU,"Gears of War 3 (AT, uncut)",Shooter,18,,,XBox 360
,,Ghost Recon - Advanced Warfighter,Shooter,16,Tom Clancy Serie,,XBox 360
,,Ghostbusters (englische Version),Action,12,,,XBox 360
,,God of War 3,Action,18,,,PS3
,,God of War Collection,Action,18,,,PS3
,,Gran Turismo 3,Racing,0,,,PS2
,,Gran Turismo 4 - Prologue,Racing,0,,,PS2
,,Gran Turismo 4 (Platinum),Racing,0,,,PS2
,,Gran Turismo 5,Racing,0,,,PS3
,,Gran Turismo 5 Prologue,Racer,0,,,PS3
,,GTA - Grand Theft Auto 4,Action Adventure,18,,,XBox 360
,,Guitar Hero 3 - Legends of Rock,Musik,0,,,XBox 360
,,Guitar Hero 4 - World Tour,Musik,0,,,XBox 360
,,Guitar Hero Metallica,Musik,0,,,XBox 360
,,Halo 2,Shooter,16,Einfach nur Kult,,XBox
,,Halo 3,Shooter,18,inkl. Helm :-),,XBox 360
,,Halo 3: ODST,Shooter,18,,,XBox 360
,,Halo Reach,Shooter,18,,,XBox 360
,,Heavy Rain,Adventure,16,,,PS3
,,Homefront,Shooter,18,,,XBox 360
,,InFamous,Action,18,,,PS3
,,Just Cause 2 (UK-Version),Action,18,,,XBox 360
,,Kameo,Adventure / RPG,12,knuffig und bunt gemacht,,XBox 360
,,Killzone 2,Shooter,18,,,PS3
,,Killzone 3,Shooter,18,,,PS3
,NEU,Kinect Sports (Kinect),Kinect,0,,,XBox 360
,NEU,Kinect Sports 2 (Kinect),Kinect,0,,,XBox 360
,,Lair (englisch),Adventure,18,,,PS3
