Emperor,Born - Died,Reign as Emperor,Succession,Cause of Death
Augustus,63 BC - 14 AD,27 BC - 14 AD,Became de facto emperor as a result of the 'first settlement' between himself and the Roman Senate.,Natural causes.
Tiberius,42 BC - 37AD,14 AD - 37 AD,Son of Augustus's wife Liia by a previous marriage; adopted son of Augustus.,"Probably old age, possibly assassinated"
Caligula,12 AD - 41 AD,37 AD - 41 AD,Son of Tiberius's nephew Germanicus.,Assassinated in a conspiracy involving senators and Praetorian Guards.
Claudius,10 BC - 54 AD,41 AD - 54 AD,"Nephew of Tiberius, brother of Germanicus and uncle of Caligula; proclaimed emperor by the Praetorian Guard.","Probably poisoned by his wife Agrippina the Younger, in favour of her son Nero."
Nero,37 AD - 68 AD,54 AD - 68 AD,"Grandson of Germanicus, step and adopted son of Claudius.",Committed suicide after being declared a public enemy by the Senate.
Galba,3 BC - 69 AD,68 AD - 69 AD,"Seized power after Nero's suicide, with support of the Spanish legions",Murdered by Praetorian Guard
Otho,32 AD - 69 AD,69 AD - 69 AD,Appointed by Praetorian Guard,Committed suicide after losing Battle of Bedriacum to Vitellius
Vitellius,15 AD - 69 AD,69 AD - 69 AD,Seized power with support of German Legions (in opposition to Galba/Otho),Murdered by Vespasian's troops
Vespasian,9 AD - 79 AD,69 AD - 79 AD,Seized power with the support of the eastern Legions (in opposition to Vitellius),Natural causes
Titus,39 AD - 81 AD,79 AD - 81 AD,Son of Vespasian,Natural causes (Plague)
Domitian,51 AD - 96 AD,81 AD - 96 AD,Son of Vespasian,Assassinated by court officials
Nerva,30 AD,96 AD - 98 AD,Appointed by the Senate,Natural causes
Trajan,53 AD - 117 AD,98 AD - 117 AD,Adopted son and heir of Nerva,Natural causes
Hadrian,76 AD - 138 AD,117 AD - 138 AD,Adopted son and heir of Trajan,Natural causes
Antoninus Pius,86 AD - 161 AD,138 AD - 161 AD,Adopted son and heir of Hadrian,Natural causes
Lucius Verus,130 AD - 169 AD,161 AD - 169 AD,Adopted son and heir of Antoninus Pius; Co-emperor with Marcus Aurelius until death,Natural causes (Plague)
Marcus Aurelius,121 AD - 180 AD,161 AD - 180 AD,Adopted son and heir of Antoninus Pius; Co-emperor with Lcius Verus until 169 AD,Natural causes
