Date,Movie,Year,Director
,,,
2012-01-23,Blue Valentine,2010,Derek Cianfrance
2012-01-21,Dogtooth,2009,Giorgos Lanthimos
2012-01-20,Serendipity,2001,Peter Chelsom
2012-01-19,Tinker Tailor Soldier Spy,2011,Tomas Alfredson
2012-01-15,Transit,2012,Antonio Negret
2012-01-14,The Tree of Life,2011,Terrence Malick
2012-01-12,The Girl Who Played with Fire,2009,Daniel Alfredson
2012-01-11,The Girl with the Dragon Tattoo,2009,Niels Arden Oplev
2012-01-10,Mission: Impossible - Ghost Protocol,2011,Brad Bird
2012-01-08,30 Days of Night,2007,David Slade
2012-01-07,The Muppets,2011,James Bobin
2012-01-07,"Turn Me On, Dammit!",2011,Jannicke Systad Jacobsen
2012-01-05,Young Adult,2011,Jason Reitman
2012-01-03,Never Let Me Go,2010,Mark Romanek
2012-01-02,The Guard,2011,John Michael McDonagh
2011-12-30,The Notebook,2004,Nick Cassavetes
2011-12-28,Heathers,1988,Michael Lehmann
2011-12-23,The French Connection,1971,William Friedkin
2011-12-17,Drive,2011,Nicolas Winding Refn
2011-12-16,The Muppet Christmas Carol,1992,Brian Henson
2011-12-11,Friends with Benefits,2011,Will Gluck
2011-12-10,Pearl Jam Twenty,2011,Cameron Crowe
2011-12-08,Monsters,2010,Gareth Edwards
2011-12-06,Let the Right One In,2008,Tomas Alfredson
2011-12-04,Melancholia,2011,Lars von Trier
2011-11-29,Submarine,2010,Richard Ayoade
2011-11-27,The Muppet Movie,1979,James Frawley
2011-11-26,Our Idiot Brother,2011,Jesse Peretz
2011-11-23,"Crazy, Stupid, Love.",2011,Glenn Ficarra & John Requa
2011-11-21,Hanna,2011,Joe Wright
2011-11-18,The Skin I Live In,2011,Pedro Almod?var
2011-10-27,Moneyball,2011,Bennett Miller
2011-10-19,50/50,2011,Jonathan Levine
2011-10-18,The Green Hornet,2011,Michel Gondry
2011-10-02,Welcome to the Rileys,2010,Jake Scott
2011-09-28,Contagion,2011,Steven Soderbergh
2011-09-25,Heavenly Creatures,1994,Peter Jackson
2011-08-25,"New York, I Love You",2009,"Fatih Akin, Yvan Attal, Randall Balsmeyer, Allen Hughes, Shunji Iwai, Wen Jiang, Shekhar Kapur, Joshua Marston, Mira Nair, Natalie Portman, Brett Ratner"
2011-08-19,Cowboys & Aliens,2011,Jon Favreau
2011-08-16,Daredevil,2003,Mark Steven Johnson
2011-08-11,Midnight in Paris,2011,Woody Allen
2011-07-31,Cedar Rapids,2011,Miguel Arteta
2011-07-28,Horrible Bosses,2011,Seth Gordon
2011-07-24,The Brothers Bloom,2008,Rian Johnson
2011-07-15,Devil,2010,John Erick Dowdle
2011-07-10,The Adjustment Bureau,2011,George Nolfi
2011-07-08,Hall Pass,2011,Bobby Farrelly & Peter Farrelly
2011-07-07,Super 8,2011,J.J. Abrams
2011-06-26,Green Lantern,2011,Martin Campbell
2011-06-18,Battle Los Angeles,2011,Jonathan Liebesman
2011-06-17,The Taking of Pelham 123,2009,Tony Scott
2011-05-27,The Machinist,2004,Brad Anderson
2011-05-26,Bridesmaids,2011,Paul Feig
2011-05-14,No Strings Attached,2011,Ivan Reitman
2011-05-10,Smokin' Aces,2006,Joe Carnahan
2011-04-26,The Devil Wears Prada,2006,David Frankel
2011-04-23,The Rundown,2003,Peter Berg
2011-04-10,Toy Story 3,2010,Lee Unkrich
2011-04-07,Rango,2011,Gore Verbinski
2011-03-27,Due Date,2010,Todd Phillips
2011-03-13,Somewhere,2010,Sofia Coppola
2011-03-10,The King's Speech,2010,Tom Hooper
2011-03-09,Just Go with It,2011,Dennis Dugan
2011-01-27,The Fighter,2010,David O. Russell
2011-01-16,I Love You Phillip Morris,2009,Glenn Ficarra & John Requa
2011-01-12,The Expendables,2010,Sylvester Stallone
2011-01-07,Cyrus,2010,Jay Duplass & Mark Duplass
2011-01-01,Death Race 2,2010,Roel Rein?
2010-12-24,True Grit,2010,Ethan Coen & Joel Coen
2010-12-24,Hot Tub Time Machine,2010,Steve Pink
2010-12-21,Beer Wars,2009,Anat Baron
2010-12-19,Black Swan,2010,Darren Aronofsky
2010-12-17,Into the Wild,2007,Sean Penn
2010-12-12,The Other Guys,2010,Adam McKay
2010-12-05,The Kids Are All Right,2010,Lisa Cholodenko
2010-12-04,The Town,2010,Ben Affleck
2010-11-26,Pirate Radio,2009,Richard Curtis
2010-11-15,Pitch Black,2000,David Twohy
2010-11-13,Yes Man,2008,Peyton Reed
2010-11-12,Unstoppable,2010,Tony Scott
2010-11-07,Scott Pilgrim vs. the World,2010,Edgar Wright
2010-11-02,Red,2010,Robert Schwentke
2010-10-27,Winter's Bone,2010,Debra Granik
2010-10-25,The Running Man,1987,Paul Michael Glaser
2010-10-20,The Social Network,2010,David Fincher
2010-10-14,Predators,2010,Nimr?d Antal
2010-10-13,The Fifth Element,1997,Luc Besson
2010-10-01,Get Him to the Greek,2010,Nicholas Stoller
2010-09-23,Robin Hood,2010,Ridley Scott
2010-09-16,Drugstore Cowboy,1989,Gus Van Sant
2010-09-04,Step Brothers,2008,Adam McKay
2010-08-27,Sunshine,2007,Danny Boyle
2010-08-18,Inception,2010,Christopher Nolan
2010-08-14,Paranormal Activity,2007,Oren Peli
2010-08-06,A Single Man,2009,Tom Ford
2010-08-02,Kick-Ass,2010,Matthew Vaughn
2010-07-30,Greenberg,2010,Noah Baumbach
2010-07-28,Mary and Max,2009,Adam Elliot
2010-07-21,Humble Pie,2007,Chris Bowman
2010-07-20,Ghost Writer,2010,Roman Polanski
2010-07-14,Micmacs,2009,Jean-Pierre Jeunet
2010-07-06,Pandorum,2009,Christian Alvart
2010-07-02,No Impact Man,2009,Laura Gabbert & Justin Schein
2010-06-22,City Island,2009,Raymond De Felitta
2010-06-18,American Psycho,2000,Mary Harron
2010-06-16,The Book of Eli,2010,Albert Hughes & Allen Hughes
2010-06-12,She's Out of My League,2010,Jim Field Smith
2010-06-08,Youth in Revolt,2009,Miguel Arteta
2010-06-01,Max Payne,2008,John Moore
2010-05-29,A Knight's Tale,2001,Brian Helgeland
2010-05-25,Shutter Island,2010,Martin Scorsese
2010-05-10,Assassination of a High School President,2008,Brett Simon
2010-05-08,Iron Man 2,2010,Jon Favreau
2010-04-30,Red Road,2006,Andrea Arnold
2010-04-05,Knowing,2009,Alex Proyas
2010-04-02,Sherlock Holmes,2009,Guy Ritchie
2010-03-22,Where the Wild Things Are,2009,Spike Jonze
2010-03-21,The Hoax,2006,Lasse Hallstr?m
2010-03-13,An Education,2009,Lone Scherfig
2010-03-13,The Reader,2008,Stephen Daldry
2010-03-07,Fantastic Mr. Fox,2009,Wes Anderson
2010-03-05,He Was a Quiet Man,2007,Frank A. Cappello
2010-02-19,The Informant!,2009,Steven Soderbergh
2010-02-05,A Serious Man,2009,Ethan Coen & Joel Coen
2010-01-27,2012,2009,Roland Emmerich
2010-01-26,Fish Tank,2009,Andrea Arnold
2010-01-23,Inglourious Basterds,2009,Quentin Tarantino
2010-01-19,Bandslam,2009,Todd Graff
2010-01-11,Vicky Cristina Barcelona,2008,Woody Allen
2010-01-09,The Imaginarium of Doctor Parnassus,2009,Terry Gilliam
2010-01-09,It's Complicated,2009,Nancy Meyers
2010-01-08,The Descent,2005,Neil Marshall
