Name,City,Country,Meters,Feets,Pictures
Warsaw TV Mast,Plock,Poland,646,2119,
KVLY Tower,"Blanchard, ND",USA,629,2064,
C. N. Tower,Toronto,Canada,553,1814,[1] [2] [3] [4]
Ostankino Tower,Moscow,Russia,540,1772,[1] [2]
Taipei 101,Taipei,Taiwan,502,-,
Pearl of the Orient,Shanghai,P.R.China,468,1535,[1] [2]
Petronas Towers,Kuala Lumpur,Malaysia,451,1480,[1] [2] [3] [4]
Sears Tower,"Chicago, IL",USA,443,1453,[1] [2]
KL Tower,Kuala Lumpur,Malaysia,421,1381,[1]
Jin Mao Tower,Shanghai,P.R.China,420,1378,[1]
Tianjin Radio and TV Tower,Tianjin,P.R.China,415,1362,[1] [2]
World Trade Center,"New York, NY",USA,412,1352,[1 - before] [2 - after]
2 International Finance Centre,Hong Kong,P.R.China,407,1335,
Central Radio and TV Tower,Beijing,P.R.China,405,1323,[1]
Citic Plaza,Guangzhou,P.R.China,391,1283,[1]
Shun Hing Square,Shenzhen,P.R.China,384,1260,
Plaza Rakyat,Kuala Lumpur,Malaysia,382,1254,[1]
Empire State Building,"New York, NY",USA,381,1250,[1] [2]
Tashkent Tower,Tashkent,Uzbekistan,375,1230,[1]
Liberation Tower,Kuwait City,Kuwait,372,1220,[1]
Alma-Ata Tower,Alma-Ata,Kazakhstan,370,1214,[1]
Central Plaza,Hong Kong,P.R. China,374,1227,[1] [2] [3]
Bank of China,Hong Kong,P.R. China,369,1211,[1]
Television Tower,Vilnius,Lithuania,368,1207,[1]
Television Tower,Berlin,Germany,365,1198,[1] [1]
Post & Communications Building,Xiamen,P.R. China,363,1193,
Emirates Towers One,Dubai,UAE,355,1163,[1]
Stratosphere Tower,"Las Vegas, NV",USA,350,1149,[1]
The Centre,Hong Kong,P.R. China,350,1149,[1]
Tuntex & Chientai Tower,Kaoshiung,Taiwan,348,1140,[1] [2]
Amoco Building,"Chicago, IL",USA,346,1136,[1]
Central Station,Hong Kong,Hong Kong,346,1136,
John Hancock Center,"Chicago, IL",USA,344,1129,[1] [2]
Macau Tower,Macau,PR China,338,1109,[1]
Tokyo Tower,Tokyo,Japan,333,1093,[1] [2]
Europe Tower,Ginnheim,Germany,331,1086,
Emley Moor Tv-Tower,Emley Moor,United Kingdom,330,1083,
Sky Tower,Auckland,New Zealand,328,1076,[1]
Di Wang Tower,Shenzen,P.R. China,325,1066,[1]
Shun Hing Square,Shenzen,P.R. China,325,1066,[1]
Sky Central Plaza,Guangzhou,P.R. China,322,1056,[1]
Eiffel Tower,Paris,France,321,1053,[1] [2]
Burj al Arab Hotel,Dubai,UAE,321,1053,[1]
Baiyoke Tower II,Bangkok,Thailand,320,1050,[1]
Chrysler Building,"New York, NY",USA,319,1047,[1]
Tallinn Television Tower,Tallin,Estonia,314,1029,
NationsBank Plaza,"Atlanta, GE",USA,312,1023,
Library Tower,"Los Angeles, CA",USA,310,1018,[1]
Telekom Malaysia Headquarters,Kuala Lumpur,Malaysia,310,1017,[1] [2] [3]
AMP Tower,Sydney,Australia,305,1001,[1]
Texas Commerce Tower,"Houston, TX",USA,305,1001,
Emirates Towers II,Dubai,UAE,305,1001,[1]
Sasol Stack,Secunda,South Africa,301,987,
Ryugyong Hotel,Pyongyang,N. Korea,300,984,[1] [2]
Commerzbank,Frankfurt,Germany,298,978,[1] [2]
Landmark Tower,Yokohama,Japan,296,971,[1] [2] [3] [4]
First Interstate Bank Plaza,"Houston, TX",USA,296,971,
Bank of America Tower,"Seattle, WS",USA,295,968,
311 South Wacker,"Chicago, IL",USA,293,961,[1]
Transmission Tower,Nuremberg,Germany,292,958,
American International Building,"New York, NY",USA,290,952,
Olympia Tower,Munich,Germany,290,951,
Key Tower,"Cleveland, OH",USA,289,948,
Collserola Tower,Barcelona,Spain,288,945,[1]
One Liberty Place,Philadelphia,USA,288,945,[1] [2]
40 Wall Street,"New York, NY",USA,283,928,[1] [2]
Telemax,Hanover,Germany,282,925,
Bankof America Plaza,"Dallas, TX",USA,281,921,[1]
OUB Centre,Singapore,Singapore,280,919,[1]
Two Prudential Plaza,"Chicago, IL",USA,280,920,
Citicorp Tower,"New York, NY",USA,279,915,[1] [2]
Heinrich Hertz Tower,Hamburg,Germany,272,892,
Tiflis Television Tower,Tbilisi,Georgia,270,886,
Al Faisaliah Centre more,Riyadh,Saudi Arabia,267,876,
Colonius Tower,Köln,Germany,266,873,
Television Tower,Tiflis,Georgia,266,873,
Suntrust Plaza,"Atlanta, GE",USA,265,871,
Transamerica Pyramid,"San Francisco, CA",USA,260,853,[1]
Telemax Tower,Hannover,Germany,259,850,[1]
Rockefeller Center,New York City,"USA, NY",259,850,[1]
Messe Tower,Frankfurt,Germany,256,840,[1]
Rinku Gate Tower,Osaka,Japan,256,840,
Transmission Tower,Koblenz,Germany,255,837,
Rialto Towers,Melburne,Australia,253,830,[1]
Transmission Tower,Dresden,Germany,252,827,
Osaka World Trade Center,Osaka,Japan,252,827,
Donauturm Tower,Vienna,Austria,252,827,[1]
One Atlantic Center,"Atlanta, GE",USA,250,820,
Saint Chrischona Transmission Tower,Basel,Switzerland,250,820,
BNI City Tower,Jakarta,Indonesia,250,820,
Malayan Bank,Kuala Lumpur,Malyasia,244,799,[1]
Shin Kong Life Tower,Taipei,Taiwan,244,800,
Tokyo Metropolitan Government Building,Tokyo,Japan,243,797,[1] [2]
