Country Name (Click For Destination Guides),Capital City,MAP (Click to view Map)
Gabon,Libreville,Click for Map
"Gambia, The",Banjul,Click for Map
Georgia,T'bilisi,Click for Map
Germany,Berlin,Click for Map
Ghana,Accra,Click for Map
Gibraltar,Gibraltar,Click for Map
Glorioso Islands,none,Click for Map
Greece,Athens,Click for Map
Greenland,Nuuk (Godthab),Click for Map
Grenada,Saint George's,Click for Map
Guadeloupe,Basse-Terre,Click for Map
Guam,Hagatna (Agana),Click for Map
Guatemala,Guatemala,Click For Map
Guernsey,Saint Peter Port,Click for Map
Guinea,Conakry,Click for Map
Guinea Bissau,Bissau,Click for Map
Guyana,Georgetown,Click for Map
