Rank,Company,Country,Industry,Sales ($bil),Profits ($bil),Assets ($bil),Market Value ($bil)
1,JPMorgan Chase,United States,Banking,115.63,11.65,"2,031.99",166.19
2,General Electric,United States,Conglomerates,156.78,11.03,781.82,169.65
3,Bank of America,United States,Banking,150.45,6.28,"2,223.30",167.63
4,ExxonMobil,United States,Oil & Gas Operations,275.56,19.28,233.32,308.77
5,ICBC,China,Banking,71.86,16.27,"1,428.46",242.23
6,Banco Santander,Spain,Banking,109.57,12.34,"1,438.68",107.12
7,Wells Fargo,United States,Banking,98.64,12.28,"1,243.65",141.69
8,HSBC Holdings,United Kingdom,Banking,103.74,5.83,"2,355.83",178.27
8,Royal Dutch Shell,Netherlands,Oil & Gas Operations,278.19,12.52,287.64,168.63
10,BP,United Kingdom,Oil & Gas Operations,239.27,16.58,235.45,167.13
11,BNP Paribas,France,Banking,101.06,8.37,"2,952.22",86.67
12,PetroChina,China,Oil & Gas Operations,157.22,16.80,174.95,333.84
13,AT&T,United States,Telecommunications Services,123.02,12.54,268.75,147.55
14,Wal-Mart Stores,United States,Retailing,408.21,14.34,170.71,205.37
15,Berkshire Hathaway,United States,Diversified Financials,112.49,8.06,297.12,190.86
16,Gazprom,Russia,Oil & Gas Operations,115.25,24.33,234.77,132.58
17,China Construction Bank,China,Banking,59.16,13.59,"1,106.20",184.32
18,Petrobras-Petróleo Brasil,Brazil,Oil & Gas Operations,104.81,16.63,198.26,190.34
19,Total,France,Oil & Gas Operations,160.68,12.10,183.29,131.80
20,Chevron,United States,Oil & Gas Operations,159.29,10.48,164.62,146.23
21,Barclays,United Kingdom,Banking,65.91,15.17,"2,223.04",56.15
22,Bank of China,China,Banking,52.20,9.45,"1,016.31",147.00
23,Allianz,Germany,Insurance,130.06,6.16,834.04,52.74
24,GDF Suez,France,Utilities,114.65,6.42,245.95,83.36
25,E.ON,Germany,Utilities,117.38,12.05,214.58,68.26
25,Goldman Sachs Group,United States,Diversified Financials,51.67,13.39,849.00,84.95
27,EDF Group,France,Utilities,95.17,5.60,342.63,92.23
28,AXA Group,France,Insurance,145.86,5.17,"1,016.70",46.02
29,Lloyds Banking Group,United Kingdom,Banking,106.67,4.57,"1,650.78",50.25
29,Procter & Gamble,United States,Household & Personal Products,76.78,13.05,135.29,184.47
31,ENI,Italy,Oil & Gas Operations,121.01,6.27,163.52,82.22
32,Telefónica,Spain,Telecommunications Services,79.11,10.84,154.98,108.19
33,IBM,United States,Software & Services,95.76,13.43,109.02,167.01
34,UniCredit Group,Italy,Banking,92.17,5.59,"1,438.91",43.95
35,Hewlett-Packard,United States,Technology Hardware & Equip,116.92,8.13,113.62,121.33
36,Nestlé,Switzerland,"Food, Drink & Tobacco",97.08,10.07,105.16,173.67
37,Verizon Communications,United States,Telecommunications Services,107.81,3.65,227.25,82.21
38,China Mobile,Hong Kong/China,Telecommunications Services,66.22,16.87,104.46,199.73
39,ConocoPhillips,United States,Oil & Gas Operations,136.02,4.86,152.59,72.72
40,Pfizer,United States,Drugs & Biotechnology,50.01,8.64,212.95,143.23
41,Nippon Telegraph & Tel,Japan,Telecommunications Services,106.98,5.53,181.48,68.68
42,ENEL,Italy,Utilities,91.87,7.74,221.26,50.92
43,Deutsche Bank,Germany,Banking,62.98,6.93,"2,150.60",39.75
44,Credit Suisse Group,Switzerland,Diversified Financials,50.26,6.11,988.91,53.93
45,Sinopec-China Petroleum,China,Oil & Gas Operations,208.47,4.37,110.66,130.06
46,Vodafone,United Kingdom,Telecommunications Services,58.35,4.38,217.97,112.26
47,Johnson & Johnson,United States,Drugs & Biotechnology,61.90,12.27,94.68,174.90
48,BBVA-Banco Bilbao Vizcaya,Spain,Banking,49.27,6.03,760.39,48.20
49,Microsoft,United States,Software & Services,58.69,16.26,82.10,254.52
50,Siemens,Germany,Conglomerates,112.23,3.36,133.94,80.07
51,Banco Bradesco,Brazil,Banking,59.10,4.60,281.40,54.50
52,Banco do Brasil,Brazil,Banking,56.10,5.82,406.46,42.78
53,Royal Bank of Canada,Canada,Banking,35.41,3.58,608.05,78.17
54,Intesa Sanpaolo,Italy,Banking,50.71,3.56,877.66,44.67
55,Samsung Electronics,South Korea,Semiconductors,97.28,4.43,83.30,94.48
