English name,Latin name,Hungarian name
American bald eagle,Haliaeetus leucocephalus,Feh?rfej? r?tisas
Asiatic elephant,Elephas maximus,?zsiai elef?nt
Asiatic wild ass/ Onager,Equus hemionus onager,Onager
Bactrian Camel,Camelu ferus f. bactrianus,K?tp?p? teve
Black-tailed prairie dog,Cynomis ludovicianus,T?rsas pr?rikutya
Brush-tailed bettong,Bettongia penicillata,Ecsetfark? patk?nykenguru
Capybara,Hydrochaeris hydrochaeris,V?zidiszn?
Cig?ja Sheep,Ovis ammon f. aries,Cig?ja juh
Common brushtail possum,Trichosurus vulpecula,K?z?ns?ges r?kakuzu
Common Eland,Taurotragus oryx,J?vorantilop
Common palm civet,Paradoxurus hermaphroditus,Mal?ji p?lmasodr?
Common Squirrel Monkey,Saimiri sciureus,K?z?ns?ges m?kusmajom
Cormorant,Phalacrocorax carbo,K?r?katona
Eagle owl,Bubo bubo,Uhu
Egyptian rousette,Rousettus aegyptiacus,N?lusi rep?l?kutya
Emu,Dromaius novaehollandiae,Emu
Fennec or desert fox,Fennecus zerda,Sivatagi r?ka
Giraffe,Giraffa camelopardalis,Zsir?f
Grant's Zebra,Equus burchelli boehmi,B?hm-zebra
Grey meerkat,Suricata suricatta,Szurik?ta
Ground Cuscus,Phalanger gymnotis,Egysz?n? v. f?ldi kuszkusz
Harbour Seal,Phoca vitulina,Borj?f?ka
Himalayan black bear,Selenarctos thibetanus,?rv?smedve
Hippopotamus,Hippopotamus amphibius,N?lusi v?zil?
Hungarian brindled cattle,Bos primigenius f. taurus,Magyar tarkamarha
Jackass pinguin,Spheniscus demersus,P?paszemes pingvin
Lama,Lama guanacoe f. glama,L?ma
Lesser panda,Ailurus fulgens,V?r?s macskamedve
Lion,Panthera Leo,Oroszl?n
Mandrill,Mandrillus sphinx,Mandrill
Orang-utan,Pongo pygmaeus,Orangut?n
Ostrich,Struthio camelus,Strucc
Owl Monkey,Aotus trivirgatus,?ji majom
Patagonian cavy or mara,Dolichotis patagonum,Nagy mara
Polar Bear,Ursus maritimus,Jegesmedve
Red kangaroo,Macropus rufus,V?r?s ?ri?skenguru
Reindeer,Rangifer tarandus,R?nszarvas
Ring-tailed coati,Nasua nasua,Orm?nyosmedve
Ring-tailed Lemur,Lemur Catta,K?z?ns?ges maki
Sacred Baboon,Papio hamadryas,Gall?ros p?vi?n
Siamang,Symphalangus syndactylus,Sziamang
Siberian tiger,Neofelis tigris altaica,Szib?riai tigris
Springhare,Pedetes Capensis,Afrikai ugr?ny?l
Square-lipped rhinoceros,Ceratotherium simum,Sz?lessz?j? orrszarv?
Western grey kangaroo,Macropus fuliginosus,Nyugati sz?rke ?ri?skenguru
Western lowland gorilla,Gorilla gorilla gorilla,Nyugati s?kvid?ki gorilla
Wolf,Canis lupus,Farkas
