Country Name (Click For Destination Guides),Capital City,Geographic Info (Click for info)
Macau,Macau,Geography of Macau
"Macedonia, The Former Yugoslav Republic of",Skopje,"Geography of Macedonia, The Former Yugoslav Republic"
Madagascar,Antananarivo,Geography of Madagascar
Malawi,Lilongwe,Geography of Malawi
Malaysia,Kuala Lumpur,Geography of Malaysia
Maldives,Male,Geography of Maldives
Mali,Bamako,Geography of Mali
Malta,Valletta,Geography of Malta
"Man, Isle of",Douglas,Geography of Isle of Man
Marshall Islands,Majuro,Geography of Marshall Islands
Martinique,Fort-de-France,Geography of Martinique
Mauritania,Nouakchott,Geography of Mauritania
Mauritius,Port Louis,Geography of Mauritius
Mayotte,Mamoutzou,Geography of Mayotte
Mexico,Mexico,Geography of Mexico
"Micronesia, Federated States of",Palikir,Geography of Federated States of Micronesia
Midway Islands,"none; administered from Washington, DC",Geography of Midway Islands
Moldova,Chisinau,Geography of Moldova
Monaco,Monaco,Geography of Monaco
Mongolia,Ulaanbaatar,Geography of Mongolia
Montenegro,Podgorica,Geography of Montenegro
Montserrat,Plymouth,Geography of Montserrat
Morocco,Rabat,Geography of Morocco
Mozambique,Maputo,Geography of Mozambique
Myanmar (Burma),Rangoon (regime refers to the capital as Yangon),Geography of Myanmar (Burma)
