Logo,Name,Norm,PCRPID,APID,Language
,Ado FM,{DVB-S MPEG-2},168,253,French
,BBC World Service Arabic,{DVB-S MPEG-2},169,1946,Arabic
,BBC World Service English,{DVB-S MPEG-2},169,1951,English
,Beur FM,{DVB-S MPEG-2},169,1945,French
,BFM,{DVB-S MPEG-2},168,1918,French
,Ch?rie FM,{DVB-S MPEG-2},168,249,French
,Contact FM,{DVB-S MPEG-2},168,245,French
,Europe 1,{DVB-S MPEG-2},168,1911,French
,FG DJ Radio,{DVB-S MPEG-2},168,243,French
,FIP,{DVB-S MPEG-2},1904,1903,French
,France Bleu ?le de France,{DVB-S MPEG-2},1904,1907,French
,France Culture,{DVB-S MPEG-2},1904,1906,French
,France Info,{DVB-S MPEG-2},1904,1904,French
,France Inter,{DVB-S MPEG-2},1904,1905,French
,France Musique,{DVB-S MPEG-2},1904,1901,French
,Fun Radio,{DVB-S MPEG-2},168,240,French
,Jazz Radio,{DVB-S MPEG-2},168,254,French
,Juda?ques FM,{DVB-S MPEG-2},169,1944,French
,Latina,{DVB-S MPEG-2},168,247,French
,Le Mouv',{DVB-S MPEG-2},1904,241,French
,Medi 1 Radio M?diterran?e Int.,{DVB-S MPEG-2},169,1949,French
,Monte Carlo Doualiya,{DVB-S MPEG-2},168,1915,Arabic
,Nostalgie,{DVB-S MPEG-2},168,246,French
,NRJ,{DVB-S MPEG-2},168,236,French
,OUI FM,{DVB-S MPEG-2},168,252,French
,Radio Alfa,{DVB-S MPEG-2},169,1943,Portuges
,Radio Classique,{DVB-S MPEG-2},168,1909,French
,Radio Courtoisie,{DVB-S MPEG-2},169,1952,French
,Radio J,{DVB-S MPEG-2},169,1944,French
,Radio Notre Dame,{DVB-S MPEG-2},169,1942,French
,Radio Nova,{DVB-S MPEG-2},168,242,French
,Radio Shalom,{DVB-S MPEG-2},169,1944,French
,RCJ - Radio Communaut? Juive,{DVB-S MPEG-2},169,1944,French
,RFI,{DVB-S MPEG-2},168,1908,French
,RFI Multilingues,{DVB-S MPEG-2},169,1947,Multilingual
,RFM,{DVB-S MPEG-2},168,248,French
,Rire et Chansons,{DVB-S MPEG-2},168,1913,French
,RMC,{DVB-S MPEG-2},168,1912,French
,Skyrock,{DVB-S MPEG-2},168,239,French
,Sud Radio,{DVB-S MPEG-2},168,1914,French
,TSF Jazz,{DVB-S MPEG-2},168,1916,French
,Vibration,{DVB-S MPEG-2},168,244,French
,Virgin Radio France,{DVB-S MPEG-2},168,237,French
,Voltage,{DVB-S MPEG-2},168,251,French
,WRN Fran?ais,{DVB-S MPEG-2},169,1932,French
