RANG,Museum,Stadt,Facebook-Fans,Tendenz
1,MoMA The Museum of Modern Art,New York,605.792,-
2,Metropolitan Museum of Art,New York,362.548,-
3,Acropolis Museum,Athen,242.105,-
4,Mus?e du Louvre,Paris,208.070,-
5,Guggenheim Museum,New York,168.125,-
6,Tate Modern,London,130.878,-
7,Design Museum,London,88.174,-
8,Museo del Prado,Madrid,81.678,+1
9,City Museum,St Louis,80.285,-1
10,Centre Pompidou,Paris,72.599,-
11,Victoria & Albert Museum,London,68.085,+1
12,Creation Museum,Petersburg,64.608,-1
13,British Museum,London,63.234,+2
14,Whitney Museum of American Art,New York,62.875,-1
15,The Getty Museum,Los Angeles,61.899,-1
16,New Museum,New York,52.376,-
17,Salvador Dali Museum,Saint Petersburg,46.610,-
18,Natural History Museum,London,33.477,-
19,American Museum of Natural History,New York,33.060,-
20,National Museum of the American Indian,Washington D.C.,32.206,-
