Abbreviation,Species,Common Name
ACHHYM,Achnatherum hymenoides,Indian ricegrass
ACHLET,Achnatherum lettermanii,Letterman needlegrass
ACHNEL,Achnatherum nelsonii,Columbia needlegrass
ACHRIC,Achnatherum richardsonii,Richardson needlegrass
ACHSPE,Achnatherum speciosa,desert needlegrass
ACHTHU,Achnatherum thurberianum,Thurber needlegrass
AGRCRI,Agropyron cristatum,crested wheatgrass
AGRDES,Agropyron desertorum,desert wheatgrass
AGREXA,Agrostis exarata,spike bentgrass
AGRGIG,Agrostis gigantea,redtop
AGRSCA,Agrostis scabra,tickle grass
AGRSTO,Agrostis stolonifera,creeping bentgrass
ANDCAB,Andropogon cabanisii,firegrass
ANDGER,Andropogon gerardii,big bluestem
ANDHAL,Andropogon hallii,sand bluestem
ANDTER,Andropogon ternarius,paintbrush bluestem
ANDVIR,Andropogon virginicus,broomsedge bluestem
ARCLAT,Arctagrostis latifolia,polargrass
ARIPUR,Aristida purpurea,purple threeawn
ARISTR,Aristida stricta,pineland threeawn
ARUDON,Arundo donax,giant reed
ARUGIG,Arundinaria gigantea,cane
ARUGIG,Arundinaria gigantea subsp. gigantea,giant cane
ARUGIG,Arundinaria gigantea subsp. tecta,switch cane
BOLROB,Bolboschoenus robustus,seacoast bulrush
BOTBAR,Bothriochloa barbinodis,cane bluestem
BOUBAR,Bouteloua barbata,sixweeks grama
BOUCUR,Bouteloua curtipendula,sideoats grama
BOUERI,Bouteloua eriopoda,black grama
BOUGRA,Bouteloua gracilis,blue grama
BOUHIR,Bouteloua hirsuta,hairy grama
BROCARC,Bromus carinatus var. carinatus,California brome
BROCARM,Bromus carinatus var. marginatus,mountain brome
BROCIL,Bromus ciliatus,fringed brome
BROHOR,Bromus hordeaceus,soft chess
BROINE,Bromus inermis,smooth brome
BROJAP,Bromus japonicus,Japanese brome
BROMAD,Bromus madritensis,foxtail chess
BROPUM,Bromus pumpellianus,Pumpelly brome
BRORUB,Bromus rubens,red brome
BROTEC,Bromus tectorum,cheatgrass
BROVUL,Bromus vulgaris,Columbia brome
BUCDAC,Buchloe dactyloides,buffalo grass
CALCAN,Calamagrostis canadensis,bluejoint reedgrass
CALLON,Calamovilfa longifolia,prairie sandreed
CALMON,Calamagrostis montanensis,plains reedgrass
CALPUR,Calamagrostis purpurascens,purple pinegrass
CALRUB,Calamagrostis rubescens,pinegrass
CARAQU,Carex aquatilis,water sedge
CARBIG,Carex bigelowii,Bigelow sedge
CARCAP,Carex capitata,capitate sedge
CARCHO,Carex chordorrhiza,rope-root sedge
CARCOC,Carex concinna,low northern sedge
CARELE,Carex eleusinoides,goose-grass sedge
CARFIL,Carex filifolia,threadleaf sedge
CARGAR,Carex garberi,Garber sedge
CARGEY,Carex geyeri,elk sedge
CARINO,Carex inops,long-stolon sedge
CARINOH,Carex inops subsp. heliophila,sun sedge
CARINOI,Carex inops subsp. inops,long-stolon sedge (typical subspecies)
