Pompey the Great,Imperator,81 - 48 B.C.,
Sextus Pompey,Imperatorial General,45 - 35 B.C.,
Julius Caesar,Imperator & Dictator,61 - 44 B.C.,
Brutus,Imperatorial General,50 - 42 B.C.,
Cassius,Imperatorial General,50 - 42 B.C.,
Ahenobarbus,Imperatorial General,42 - 32 B.C.,
Marcus Antonius,Imperator and General,61- 30 B.C.,
Lepidus,Imperator,46 - 42 B.C.,
Augustus (Octavian),First Roman Emperor,27 B.C. - 14 A.D.,
Agrippa,Imperial General,31 B.C. - 12,
Tiberius,Emperor,14 - 37 A.D.,
Drusus,Son of Tiberius,23 A.D.,
Nero Claudius Drusus,Brother of Tiberius,Died 9 B.C.,
Germanicus,Nephew and Adopted Son of Tiberius,Died 19 A.D.,
Caligula,Emperor,37 - 41 A.D.,
Claudius,Emperor,41 - 54 A.D.,
Britannicus,Son of Claudius,Died 55 A.D.,
Nero,Emperor,54 - 68 A.D.,
Clodius Macer,Rebel against Galba,68 A.D.,
Galba,Emperor,68 - 69 A.D.,
Otho,Emperor,69 A.D.,
Vitellius,Emperor,69 A.D.,
Vespasian,Emperor,69 - 79 A.D.,
Titus,Emperor,79 - 81 A.D.,
Domitian,Emperor,81 - 96 A.D.,
Nerva,Emperor,96 - 98 A.D.,
Trajan,Emperor,98 - 117 A.D.,
Hadrian,Emperor,117 - 138 A.D.,
Aelius,Caesar,136 - 138 A.D.,
Antoninus Pius,Emperor,138 - 161 A.D.,
Marcus Aurelius,Emperor,161 - 180 A.D.,
Lucius Verus,Emperor,161 - 169 A.D.,
Commodus,Emperor,180 - 192 A.D.,
Pertinax,Emperor,193 A.D.,
Didius Julianus,Emperor,193 A.D.,
Clodius Albinus,Caesar/Contender For the Throne,195 - 197 A.D.,
Pescennius Niger,Caesar,193 - 194 A.D.,
Septimius Severus,Emperor,193 - 211 A.D.,
Geta,Emperor,211 - 212 A.D.,
Caracalla,Emperor,211 - 217 A.D.,
Macrinus,Emperor,217 - 218 A.D.,
Elagabalus,Emperor,218 - 222 A.D.,
Severus Alexander,Emperor,222 - 235 A.D.,
Maximinus I,Emperor,235 - 238 A.D.,
Gordianus I - Africanus,Emperor,238 A.D.,
Gordianus II - Africanus,Emperor,238 A.D.,
Balbinus and Pupienus,Emperors,238 A.D.,
Gordianus III,Emperor,238 - 244 A.D.,
Philip I - The Arab,Emperor,244 - 249 A.D.,
Philip II,Emperor,247 - 249 A.D.,
Pacatian and Jotapian,Usurpers,248 A.D.,
Trajan Decius,Emperor,249 - 251 A.D.,
Herennius Etruscus,Emperor,251 A.D.,
Hostilian,Emperor,251 A.D.,
Trebonianus Gallus,Emperor,251 - 253 A.D.,
Volusianus,Emperor,251 - 253 A.D.,
Aemilianus,Emperor,253 A.D.,
Uranius Antoninus,Usurper in Emesa,253 - 254 A.D.,
Valerian I,Emperor,253 - 260 A.D.,
Valerian II,Caesar,253 - 255 A.D.,
Gallienus,Emperor,253 - 268 A.D.,
Saloninus,Emperor,259 A.D.,
Macrianus,Usurper in the East,260 - 261 A.D.,
Quietus,Usurper in the East,260 - 261 A.D.,
Postumus,Rebel Emperor in Gaul,259 - 268 A.D.,
Laelianus,Rebel Emperor in Gaul,268 A.D.,
Marius,Rebel Emperor in Gaul,268 A.D.,
Victorinus,Rebel Emperor in Gaul,268 - 270 A.D.,
Tetricus I,Rebel Emperor in Gaul,270 - 273 A.D.,
Tetricus II,Rebel Emperor in Gaul,270 - 273 A.D.,
Claudius Gothicus II,Emperor,268 - 270 A.D.,
Quintillius,Emperor,270 A.D.,
Aurelianus,Emperor,270 - 275 A.D.,
Valabathus Dux Romanorum,Ruler of Palmyra,271 - 272 A.D.,
Tacitus,Emperor,275 - 276 A.D.,
Florianus,Emperor,276 A.D.,
Probus,Emperor,276 - 282 A.D.,
Carus,Emperor,282 - 283 A.D.,
Carinus,Emperor,283 - 285 A.D.,
Numerianus,Emperor,283 - 284 A.D.,
Carausius,Rebel Emperor in Britain,287 - 293 A.D.,
Allectus,Emperor,293 - 296 A.D.,
Diocletian,Emperor,284 - 305 A.D.,
Maximianus,Emperor,286 - 305 + 306 - 308 A.D.,
Galerius,Emperor,305 - 311 A.D.,
Constantius I (Chlorus),Emperor,305 - 306 A.D.,
Severus II,Emperor,306 - 307 A.D.,
Maximinus,Emperor,309 - 313 A.D.,
Constantine I (The Great),Emperor,306 - 337 A.D.,
Maxentius,Emperor,306 - 312 A.D.,
Romulus,Caesar,Died - 309 A.D.,
Licinius I,Emperor,308 - 324 A.D.,
Licinius II,Caesar,317 - 324 A.D.,
Crispus,Caesar,317 - 326 A.D.,
Delmatius,Caesar,335 - 337 A.D.,
Hanniballinus,Rex,335 - 337 A.D.,
Constantine II,Emperor,337 - 340 A.D.,
Constans,Emperor,337 - 350 A.D.,
Constantius II,Emperor,337 - 361 A.D.,
Constantius Gallus,Caesar,351 - 354 A.D.,
Magnentius,Emperor,350 - 353 A.D.,
Decentius,Caesar,351 - 353 A.D.,
Vetranio,Loyal Usurper,350 A.D.,
Julian II (The Apostate),Emperor,361 - 363 A.D.,
Jovian,Emperor,363 - 364 A.D.,
Valentinian I,Emperor,364 - 375 A.D.,
Valens,Emperor,364 - 378 A.D.,
Procopius,Usurper,365 - 366 A.D.,
Gratian,Emperor,367 - 383 A.D.,
Valentinian,Emperor,375 - 392 A.D.,
Eugenius,Emperor,394 A.D.,
Magnus Maximus,Emperor,383 - 388 A.D.,
Theodosius I (The Great),Emperor,379 - 395 A.D.,
Honorius,Emperor,395 - 423 A.D.,
Arcadius,Emperor,395 - 408 A.D.,
Constantine III,Emperor,407 - 411 A.D.,
Constans II,Emperor,408 - 411 A.D.,
Constantius III,Emperor,411 A.D.,
