RANG,Museum,Stadt,Facebook-Fans
1,MoMA The Museum of Modern Art,New York,504079
2,Metropolitan Museum of Art,New York,269920
3,Acropolis Museum,Athen,215214
4,Mus?e du Louvre,Paris,132162
5,Guggenheim Museum,New York,127573
6,Tate Modern,London,103298
7,Design Museum,London,74398
8,City Museum,St Louis,63286
9,Creation Museum,Petersburg,55825
10,Museo del Prado,Madrid,55790
11,Centre Pompidou,Paris,51793
12,The Getty Museum,Los Angeles,50317
13,Victoria & Albert Museum,London,49363
14,Whitney Museum of American Art,New York,48266
15,British Museum,London,44936
16,New Museum,New York,38873
17,Salvador Dali Museum,Saint Petersburg,38778
18,National Museum of the American Indian,Washington D.C.,27694
19,Natural History Museum,London,27219
20,American Museum of Natural History,New York,26872
