Release date,Title,Platform,Manufacturer,Reason(s)
1973,Gotcha,Arcade,Atari,It was controversial due to the controls being perceived as pink rubber bulges that were meant to represent breasts and were squeezed in order to control the action.[1]
1976,Death Race,Arcade,Exidy,"Violence (running over stickmen ""gremlins"", who then scream)[2][3]"
1982,Custer's Revenge,Atari 2600,Mystique,"Nudity, rape, and racism[2][4][5]"
1986,177,NEC PC-8801,dB-soft,"A bishoujo game revolving around rape, it ignited a public furor that reached the National Diet of Japan.[6]"
1991,J.B. Harold Murder Club,TurboGrafx-16,NEC,"Sexual themes, including reference to an unsolved rape. [7]"
1992?present,Mortal Kombat series,Arcade,Midway (later Warner Bros. Interactive),"Blood, violence and gore. First fighter to introduce ""Fatalities"" to finish off opponents[2][4][5][8][9][10]"
1992,Night Trap,Sega CD,Digital Pictures,"Violence, child abuse and sexual themes.[2][4][8]"
1993,Doom,PC,id Software,"Violence, gore, and Satanic themes[2][5][8][9]"
1996,SimCopter,PC,Maxis,"A programmer named Jacques Servin introduced unauthorized ""bimbo"" characters into the game, who would appear on certain dates and kiss.[11]"
1996,Duke Nukem 3D,"PC, Sega Saturn, Playstation",3D Realms,"Violence, sexual themes, nudity.[12][13]"
1996,Tomb Raider,"PC, PlayStation, Sega Saturn",Eidos,An unauthorized software patch nicknamed 'Nude Raider' was created which allowed players to play as a nude version of Lara Croft.[14]
1997,Carmageddon,"PC, Mac, N64, PS1","SCi, Interplay Entertainment",Violence against pedestrians[15]
1997,Postal,PC,Ripcord Games,Violence[8]
1997?present,Grand Theft Auto series,"PC, PS1, PS2, PS3, Xbox, Xbox 360",Rockstar Games,"See also: Grand Theft Auto IV controversies Sexual themes, drug use, racism, nudity, language, drink driving, violence (against civilians and law enforcement officers; in Grand Theft Auto 3, there is also a cheat called 'Extra Gore Mode' in which, if you shoot at someone you can blow off their limbs), criminal behavior. Grand Theft Auto: San Andreas was originally rated ""Mature"" in the US, but was re-rated ""Adults Only"" after controversy surrounding a fanmade ""hot coffee mod"" which unlocked a hidden sex scene (which was in the game's code, but left out of the final version). It was re-rated ""Mature"" after Rockstar Games removed this scene from the game's code. Grand Theft Auto IV was referred to as a ""terrorist simulator"" due to the fact that the city was loosely based on New York City.[2][4][8][16]"
1999,Kingpin: Life of Crime,PC,Interplay Entertainment,Violence[17]
2002,Ethnic Cleansing,PC,Resistance Records,"Racially-motivated violence, white supremacist themes[18]"
2002,State of Emergency,"PC, PS2, Xbox",Rockstar Games,"Contains military-style violence, including political assassinations and coup d'etats. Additionally, the game caused controversy in Washington due to the game's similarities to the World Trade Organization riots in Seattle.[19]"
2003,Postal II,PC,Running with Scissors,"Violence against civilians (including LGBT and police officers), sexual themes, drug use, racism, language, animal abuse, and references to past and current events of terrorist attacks. Banned in New Zealand, Sweden and Australia.[20]"
"2003, 2007",Manhunt and Manhunt 2,PS2,Rockstar Games,Violence (allowed player to take the role of a serial killer). Gained significant controversy after it was alleged that the game inspired a teenager to commit a murder. Banned in Australia.[4][8][21]
2003,Dead or Alive Xtreme Beach Volleyball,Xbox,Tecmo,Nudity and sexuality[5]
2004,The Sims 2,PC,EA Games,A cheat allows for the blur effect that appears when a character is nude to be removed.[22]
2004,Grand Theft Auto: San Andreas,"PC, PlayStation 2, Xbox",Rockstar Games,"Main article: Hot Coffee mod An unauthorized ""Hot Coffee"" mod unlocked a hidden sex scene left out of the game's final version. Was briefly re-rated ""Adults Only"" by the ESRB, but had a ""Mature"" rating reinstated after Rockstar Games removed this scene from the game's code in a different version.[23]"
2005,Super Columbine Massacre RPG!,PC,Danny Ledonne,The game simulated the events of the Columbine High School shootings.[24][25][26][27]
2006,Bully,"PlayStation 2, Xbox 360, Wii",Rockstar Games,Violence in a school setting[8]
2006,The Elder Scrolls IV: Oblivion,"Xbox 360, PC",Bethesda Softworks,"Main article: ESRB re-rating of The Elder Scrolls IV: Oblivion Re-rated by the ESRB after a third-party mod revealed a nude topless graphic hidden in the game's data files. While the graphic did not warrant a re-rating of the game in and of itself, upon review, the ESRB noted that the game contained much more explicit violence than had been submitted to them in the original rating submission.[28]"
2006,Hitman: Blood Money,"PC, PS2, Xbox, Xbox 360",IO Interactive,Violence and assassinations; magazine ads for the game featured pictures depicting murder victims.[29]
2006,Mind Quiz,"Nintendo DS, PlayStation Portable",Ubisoft,"Recalled in the United Kingdom due to use of the word ""spastic"", which is considered highly offensive in the UK.[30]"
2006,Left Behind: Eternal Forces,PC,Left Behind Games,"Accusations that the game promoted religious ""convert or kill"" violence, sexism and racism.[31][32][33] Some reviewers[34][35][36] denied that the game contained any truly controversial gameplay."
2006,Resistance: Fall of Man,PS3,Insomniac Games,"Main article: Controversy over the usage of Manchester Cathedral in Resistance: Fall of Man The Church of England objected to the game's use of Manchester Cathedral's interior as a backdrop during a gun battle, and called for the game to be withdrawn or for the cathedral to be removed from the game.[37]"
2006,RapeLay,PC,Illusion Soft,Rape forms a core part of the gameplay leading to controversy raised in the UK Parliament and elsewhere.[38]
2006,Rule of Rose,PS2,Punchline,"The mayor of Rome called for the game to be banned from Italy, saying children ""have the right to be shielded from violence"".[39] The then European Union justice and security commissioner wrote an open letter condemning the game for ""obscene cruelty and brutality"". An Italian magazine, Panorama, claimed that in order to win the game players must bury a girl alive which the game's European publisher disputed.[40] On the UK release day, the publisher announced that Rule of Rose would not be published in the UK, despite the game being approved for release by the Pan European Game Information (PEGI) and Video Standards Council regulatory bodies.[41]"
2007,BioShock,"Xbox 360, PC, PS3",2K Games,"An article in The Patriot Ledger, the local paper of developer Irrational Games,[42] argued that the game is ""testing the limits of the ultraviolent gaming genre with a strategy that enables players to kill characters resembling young girls.""[43] The game presents an ethical choice to players, whether to kill 'Little Sisters' for extra abilities or save them and receive less. 2K president Ken Levine defended the game as a piece of art, stating ""we want to deal with challenging moral issues and if you want to do that, you have to go to some dark places"".[44] Jack Thompson took issue with advertisements for the game appearing during WWE SmackDown's airtime, writing to the Federal Trade Commission and stating that M-rated games should not be advertised when large numbers of under-17s are watching.[45]"
