World rank,City,Country,City population,Metro population,Mayor
n/r,MacAllen,USA,"110,000","1,058,000",n/k
437,Maceio,Brazil,"922,000","1,100,000",Josй Cнcero Soares de Almeida
152,Macheng,China,"1,880,000",,n/k
73,MADRID,Spain,"3,213,000","5,300,000",Alberto Ruiz-Gallardуn
355,Madurai,India,"1,130,000",,Thenmozhi Gopinathan
n/r,Magdeburg,Germany,"230,000",,Lutz Trьmper
324,Maiduguri,Nigeria,"1,200,000","1,200,000",n/k
360,Makasar,Indonesia,"1,113,000",,Ilham Arief Sirajuddin
523,Malang,Indonesia,"742,000","921,000",n/k
n/r,Malmo,Sweden,"244,000","1,340,000",Ilmar Reepalu
332,MANAGUA,Nicaragua,"1,185,000","1,342,000",Daisy Torres
173,Manaus,Brazil,"1,739,000","1,924,000",Amazonino Mendes
n/r,Manchester,UK,"464,000","2,240,230",Mavis Smitheman
425,Mandalay,Myanmar (Burma),"961,000","1,300,000",Phone Zaw Han
7,MANILA METRO,Philippines,"11,550,000","13,503,000",Alfredo S Lim
n/r,Mannheim,Germany,"311,000","1,456,000",Peter Kurz
313,MAPUTO,Mozambique,"1,244,000","1,640,000",David Simango
164,Maracaibo,Venezuela,"1,799,000","1,868,000",Eveling Trejo
n/r,Maracay,Venezuela,"479,000","1,125,000",Humberto Prieto
380,Marrakech,Morocco,"1,071,000",,n/k
464,Marseille,France,"852,000","1,605,000",Jean-Claude Gaudin
81,Mashhad,Iran,"2,910,000","3,000,000",Mohammad Pejman
511,Masqat-Matrah,Oman,"776,000","776,000",n/k
n/r,Matamoros,Mexico,"370,000","780,000",n/k
n/r,Mataram,Indonesia,"330,000","1,081,000",n/k
444,Mbuji-Mayi,Congo D.R.,"905,000","1,054,000",n/k
177,Mecca,Saudi Arabia,"1,700,000","2,500,000",Osama Al-Bar
141,Medan,Indonesia,"1,990,000","2,390,000",Rahudman Harahap
128,Medellin,Colombia,"2,223,000","3,312,000",Alonso Salazar Jaramillo
291,Medina,Saudi Arabia,"1,300,000","1,300,000",Abdulaziz Bin Majid
306,Meerut,India,"1,277,000",,n/k
61,Melbourne,Australia,"3,635,000","3,3635,000",Robert Doyle
555,Memphis,USA,"670,000","1,281,000",AC Wharton
n/r,Mendoza,Argentina,"113,000","849,000",Vнctor Fayad
525,Merida,Mexico,"734,000","890,000",Cйsar Bojуrquez Zapata
411,Mexicali,Mexico,"1,000,000","1,000,000",n/k
14,MEXICO CITY,Mexico,"8,841,000","21,163,000",Marcelo Ebrard
n/r,Miami,USA,"386,000","5,413,000",Tomбs Regalado
292,Mianyang,China,"1,300,000","5,200,000",Liu Dong
289,Milan,Italy,"1,302,000","4,051,000",Letizia Moratti
569,Milwaukee,USA,"604,000","1,740,000",Tom Barrett
n/r,Minneapolis,USA,"392,000","3,503,000",R T Rybak
155,MINSK,Belarus,"1,831,000",,Nikolai Ladutko
370,Mirat,India,"1,095,000","1,095,000",n/k
218,MOGADISHU,Somalia,"1,500,000","2,500,000",Mohamud Ahmed Tarzan
458,Mombasa,Kenia,"880,000",,Ahmed Abubakar Mohdhar
594,MONROVIA,Liberia,"543,000","1,010,000",Ophelia Hoff Saytumah
137,Monterrey,Mexico,"2,057,000","3,650,000",Fernando Larrazabal
285,MONTEVIDEO,Uruguay,"1,326,000","1,723,000",Ana Olivera
n/r,Montpellier,France,"252,000",,Hйlиne Mandroux-Colas
189,Montreal,Canada,"1,621,000","3,636,000",Gйrald Tremblay
10,MOSCOW,Russia,"10,524,000","14,800,000",Sergei Sobyanin
348,Mosul,Iraq,"1,139,000","1,139,000",n/k
402,Mudanjiang,China,"1,014,000","2,707,000",n/k
243,Multan,Pakistan,"1,424,000","1,500,000",Mian Faisal Mukhtar
3,Mumbai (Bombay),India,"13,900,000","21,200,000",Shraddha Jadhav
271,Munich,Germany,"1,367,000","2,600,000",Christian Ude
n/r,Mьnster,Germany,"274,000",,Markus Lewe
501,Mysore,India,"799,000",,Purushotham
125,Nagoya,Japan,"2,260,000","9,250,000",Takashi Kawamura
117,Nagpur,India,"2,420,000",,Archana Dehankar
74,NAIROBI,Kenya,"3,130,000","3,300,000",Geoffrey Majiwa
224,Nanan,China,"1,480,000",,Chen Law
154,Nanchang,China,"1,844,000","3.790,000",Hu Xian
144,Nanchong,China,"1,950,000","7,300,000",Liu Hongjian
51,Nanjing,China,"4,150,000","7,600,000",Ji Jianye
115,Nanning,China,"2,450,000","6,480,000",Huang Fangfang
n/r,Nantes,France,"283,000","804,000",Jean-Marc Ayrault
500,Nanyang,China,"800,000","10,700,000",Huang Xingwei
423,Naples,Italy,"963,000","3,000,000",Rosa Russo Jervolino
190,Nashik,India,"1,620,000",,Nayana Gholap
565,Nashville,USA,"626,000","1,633,000",Karl Dean
503,Natal,Brazil,"790,000","1,100,000",n/k
478,Naucalpan,Mexico,"822,000","835,000",Azucena Olivares Villagуmez
201,Neijiang,China,"1,560,000",,n/k
n/r,New Orleans,USA,"488,000","1,350,000",Mitch Landrieu
17,New York City,USA,"8,364,000","20,090,000",Michael Bloomberg
n/r,Newcastle upon Tyne,UK,"234,000","800,000",n/k
346,Nezahualcoyotl,Mexico,"1,141,000","1,150,000",Edgar Cesбreo Navarro Sбnchez
n/r,Nice,France,"347,000","943,000",Christian Estrosi
486,Niigata,Japan,"812,000",,Akira Shinoda
130,Ningbo,China,"2,201,000","5,600,000",Mao Guanglie
304,Nizhniy Novgorod,Russia,"1,280,000","1,900,000",Vadim Bulavinov
466,Norfolk,USA,"850,000","1,616,000",Paul D Fraim
469,Nova Iguacu,Brazil,"846,000","959,000",Lindberg Farias
258,Novosibirsk,Russia,"1,396,000","1,429,000",Vladimir Gorodetsky
n/r,Nuremberg,Germany,"504,000","1,008,000",Ulrich Maly
n/r,Oakland,USA,"446,900",,Jean Quan
n/r,Oberhausen,Germany,"216,000",,Klaus Wehling
377,Odessa,Ukraine,"1,080,000","1,200,000",Eduard Gurwits
527,Ogbomosho,Nigeria,"726,000","985,000",n/k
539,Okayama,Japan,"700,000","1,250,000",Shigeo Takaya
n/r,Okinawa,Japan,"129,000",,Kita Kurose
588,Oklahoma City,USA,"551,000","1,276,000",Mick Cornett
118,Omdurman,Sudan,"2,400,000",,Al-Fatih Az-ddin
350,Omsk,Russia,"1,137,000","1,145,000",Viktor Shreyder
n/r,Onitsha,Nigeria,"509,000","1,001,000",n/k
547,Oran,Algeria,"683,000","772,000",Saddek Benkada
n/r,Orlando,USA,"231,000","2,055,000",Buddy Dyer
95,Osaka,Japan,"2,647,000","17,590,000",Kunio Hiramatsu
n/r,Osh,Kyrgyztan,"230,000",,Melis Myrzakmatov
n/r,Oshogbo,Nigeria,"421,000","1,309,000",n/k
575,OSLO,Norway,"584,000","876,000",Fabian Stang
483,OTTAWA,Canada,"815,000","1,131,000",Larry O'Brien
225,OUAGADOUGOU,Burkina Faso,"1,475,000","1,727,000",Simon Compaorй
481,Padang,Indonesia,"820,000","900,000",Fauzi Bahar
195,Palembang,Indonesia,"1,600,000",,Eddy Santana Putra
546,Palermo,Italy,"684,000","947,000",Diego Cammarata
467,PANAMA CITY,Panama,"850,000","1,220,000",Bosco Vallarino
n/r,Panzhihua,China,"478,000","771,000",n/k
133,PARIS,France,"2,113,000","11,769,000",Bertrand Delanoл
160,Patna,India,"1,800,000","2,500,000",GhanShyam Kumar
404,Perm,Russia,"1,010,000","1,200,000",Igor Shubin
193,Perth,Australia,"1,603,000",,Lisa Scaffidi
367,Peshawar,Pakistan,"1,100,000","3,100,000",Muhammad Umar Khan
205,Philadelphia,USA,"1,540,000","5,345,000",Michael Nutter
314,PHNOM PENH,Cambodia,"1,242,000","2,001,000",Keb Chutema
199,Phoenix,USA,"1,568,000","4,282,000",Phil Gordon
325,Pikine-Guediawaye,Senegal,"1,200,000",,n/k
213,Pimpri Chinchwad,India,"1,515,000",,Yogesh Behl
316,Pingdingshan,China,"1,230,000","5,200,000",Deng Yongjian
281,Pingdu,China,"1,340,000",,n/k
n/r,Pittsburgh,USA,"335,000","2,411,000",Luke Ravenstahl
n/r,Pointe Noire,Congo Br,"527,000","789,000",n/k
471,Port Elizabeth,South Africa,"833,000","1,245,000",Nondumiso Maphasi
94,Port Harcourt,Nigeria,"2,667,000","3,761,000",Azubuike Nmerukini
376,PORT-AU-PRINCE,Haiti,"1,083,000","1,728,000",Jean Yves Jason
596,Portland,USA,"542,000","2,255,000",Sam Adams
n/r,Porto,Portugal,"263,000","1,210,000",Rui Rio
273,Porto Alegre,Brazil,"1,355,000","3,646,000",Josй Fortunati
315,PRAGUE,Czech Republic,"1,242,000","1,900,000",Zdenek Tuma
150,Puebla,Mexico,"1,888,000","2,500,000",Blanca Alcala Ruiz
71,Pune,India,"3,337,000","4,470,000",Mohansingh Rajpal
72,PYONGYANG,North Korea,"3,255,000","3,400,000",n/k
330,Qianjiang,China,"1,190,000",,n/k
342,Qidong,China,"1,160,000",,n/k
88,Qingdao,China,"2,755,000","7,580,000",Xia Geng
240,Qiqihaer,China,"1,439,000","6,011,000",Liu Gang
393,Qom,Iran,"1,042,000",,n/k
220,Quanzhou,China,"1,490,000","7,790,000",Zhu Ming
n/r,Quйbec,Canada,"495,000","717,000",Rйgis Labeaume
92,Quezon City,Philippines,"2,680,000",,Herbert M Bautis
187,QUITO,Ecuador,"1,648,000","1,842,000",Augusto Barrera
564,RABAT,Morocco,"627,000","1,790,000",Omar El Bahraoui
283,Rajkot,India,"1,336,000",,Sandhya Vyas
n/r,Raleigh,USA,"393,000","1,691,000",Charles Meeker
298,Ranchi,India,"1,290,000",,Rama Khalkho
202,Rawalpindi,Pakistan,"1,558,000","2,548,000",Raja Hamid Nawaz
200,Recife,Brazil,"1,561,000","3,769,000",Joгo da Costa Bezerra Filho
n/r,Rennes,France,"206,000",,Daniel Delaveau
591,Ribeirao Preto,Brazil,"547,000","789,000",Dбrcy Vera
n/r,Richmond,USA,"200,000","1,213,000",Dwight Clinton Jones
528,RIGA,Latvia,"725,000","878,000",Nils Usakovs
31,Rio de Janeiro,Brazil,"6,093,000","14,387,000",Eduardo Paes
40,RIYADH,Saudi Arabia,"4,950,000","5,855,000",Abdul Aziz ibn 'Ayyaf Al Migrin
