Name,Vollstдndiger Name,Regierungszeit,Anmerkungen
Honorius,Flavius Honorius,395–423,Mitkaiser von Theodosius I. und Arcadius seit 393 (gegen Eugenius); Regent: Stilicho (bis 408)
Gildo,unbekannt,397–398,Usurpator (?) in Africa
Marcus,unbekannt,406,Usurpator in Britannien
Gratian,unbekannt,407,Usurpator in Britannien
Konstantin (III.),Flavius Claudius Constantinus,407–411,"Gegenkaiser in Gallien, Spanien und Britannien (409 nominell Mitkaiser des Honorius), ab 409/10 mit Constans (II., Caesar seit 408); Caesar: Julian (ab 409/10)"
Priscus Attalus,unbekannt,409–410 414–415,Gegenkaiser in Italien (durch Alarich) bzw. Sьdgallien (durch Athaulf)
Maximus,unbekannt,409/10–411 418/19–420/21,Gegenkaiser in Spanien (durch Gerontius bzw. Gunderich)
Jovinus,unbekannt,411–413,"Gegenkaiser in Gallien (durch Gundahar und Goar), ab 412 mit Sebastianus"
Heraclianus,unbekannt,412–413,Usurpator (?) in Africa
Constantius III.,Flavius Constantius,421,"Mitkaiser des Honorius (Mitregent seit 417), von Theodosius II. nicht anerkannt"
Johannes,unbekannt,423–425,"durch Castinus (?), von Theodosius II. nicht anerkannt"
Valentinian III.,Flavius Placidus Valentinianus,425–455,"Caesar unter Theodosius II. seit 424 (gegen Johannes); Regenten: Galla Placidia (bis 437), Aлtius (435–454); erkannte Geiserich als Regenten in Africa an"
Vortigern,unbekannt,426–441?,Usurpator (?) in Britannien; Nachfolger: ?Ambrosius Aurelianus
Pirrus,unbekannt,428,Usurpator (?) in Italien
Petronius Maximus,Flavius Petronius Maximus,455,von Markian nicht anerkannt; Caesar: Palladius
Avitus,Flavius Eparchius Avitus,455–456,"durch Theoderich II., von Markian nicht anerkannt (?)"
Majorian,Flavius Iulius Valerius Maiorianus,457–461,"durch Ricimer (?), 457 nominell Caesar (?) unter Leo I."
Marcellus,unbekannt,457?,Usurpator (?) in Gallien
Libius Severus,Flavius Libius Severus,461–465,"durch Ricimer, von Leo I. nicht anerkannt (?)"
Aegidius,unbekannt,461–464/65,"Usurpator (?) in Gallien; Nachfolger: Paulus (469?), Syagrius (bis 486/87)"
Anthemius,Flavius Procopius Anthemius,467–472,467 Caesar unter Leo I.; Mitregent: Ricimer (bis 470/71)
Arvandus,unbekannt,468,Usurpator (?) in Gallien (durch Eurich)
Romanus,unbekannt,470,Usurpator (?) in Italien (durch Ricimer?)
Olybrius,Flavius Anicius Olybrius,472,"durch Ricimer (und Geiserich?), gegen Anthemius, von Leo I. nicht anerkannt (?)"
Glycerius,unbekannt,473–474,"durch Gundobad, von Leo I. nicht anerkannt"
Julius Nepos,Flavius Iulius Nepos,474–480,"474 Caesar (?) unter Leo II. und Zenon (gegen Glycerius), Exil ab 475 in Dalmatien; erkannte Eurich als Regenten in Sьdgallien und Spanien an"
Romulus Augustulus,Romulus A(u)gustus,475–476,"Gegenkaiser in Italien (durch Orestes), von Odoaker abgesetzt"
