Rank,Title,Category,Publisher
1,The Legend of Zelda: Twilight Princess,Action Adventure,Nintendo
2,Mario Party 7,Kids/Family,Nintendo
3,Paper Mario: The Thousand-Year Door,Action Adventure,Nintendo
4,Super Smash Bros. Melee,Fighting,Nintendo
5,Legend of Zelda: Collector's Edition,RPG,Nintendo
6,Mario Kart: Double Dash,Racing,Nintendo
7,Naruto: Clash of Ninja 2,Fighting,D3P
8,Super Mario Strikers,Sports,Nintendo
9,Resident Evil 4 (2 disc game),Action Adventure,Capcom
10,Super Mario Sunshine,Action Adventure,Nintendo
