Title,Director(s),Released,Rating,View Date,Amazon
127 Hours,Danny Boyle,2010,,2011-08-06,Buy It
28 Days Later,Danny Boyle,2002,,2008-11-08,Buy It
28 Weeks Later,Juan Carlos Fresnadillo,2007,,2010-03-13,Buy It
The 39 Steps,Alfred Hitchcock,1935,,2011-01-08,Buy It
3:10 to Yuma,James Mangold,2007,,2008-01-16,Buy It
Adaptation,Spike Jonze,2003,,2003-06-22,Buy It
Air Force One,Wolfgang Petersen,1997,,unknown,Buy It
Alice in Wonderland,Tim Burton,2010,,2010-03-20,n/a
Along Came Polly,John Hamburg,2004,,2006-06-20,Buy It
American Beauty,Sam Mendes,1999,,unknown,Buy It
American Gangster,Ridley Scott,2007,,2007-11-17,Buy It
American Pie,Paul Weitz,1999,,unknown,Buy It
American Pie 2,James B. Rogers,2001,,2001-09-02,Buy It
American Psycho,Mary Harron,2000,,2007-08-30,Buy It
Anchorman: The Legend of Ron Burgundy,Adam McKay,2004,,2004-07-09,Buy It
Andersonville,John Frankenheimer,1996,,unknown,Buy It
Angels & Demons,Ron Howard,2009,,2010-03-26,Buy It
Annie Hall,Woody Allen,1977,,2010-01-01,Buy It
Apocalypse Now Redux,Francis Ford Coppola,1979,,2006-12-23,Buy It
The Aristocrats,Paul Provenza,2005,,2006-05-25,Buy It
Armageddon,Michael Bay,1998,,unknown,Buy It
Army of Darkness,Sam Raimi,1992,,2007-04-06,Buy It
Army of Shadows,Jean-Pierre Melville,1969,,2009-09-26,Buy It
Artificial Intelligence: AI,Steven Spielberg,2001,,2001-07-10,Buy It
The Artist,Michel Hazanavicius,2011,,2012-01-22,n/a
The Assassination of Jesse James by the Coward Robert Ford,Andrew Dominik,2007,,2008-11-11,Buy It
Atomic Train,"David Jackson, Dick Lowry",2000,,unknown,Buy It
Atonement,Joe Wright,2007,,2007-12-13,Buy It
Avatar,James Cameron,2009,,2010-01-09,n/a
The Aviator,Martin Scorsese,2004,,2004-12-30,Buy It
Away We Go,Sam Mendes,2009,,2010-09-15,Buy It
Baby Mama,Michael McCullers,2008,,2008-04-25,Buy It
Back to the Future,Robert Zemeckis,1985,,unknown,Buy It
Back to the Future Part II,Robert Zemeckis,1989,,unknown,Buy It
Back to the Future Part III,Robert Zemeckis,1990,,unknown,Buy It
Barton Fink,"Joel Coen, Ethan Coen",1991,,2009-11-21,Buy It
Batman Begins,Christopher Nolan,2005,,2005-12-02,Buy It
Battle Royale,Kinji Fukasaku,2000,,2007-11-24,Buy It
The Beach,Danny Boyle,2000,,unknown,Buy It
Bee Movie,"Steve Hickner, Simon J. Smith",2007,,2007-10-30,Buy It
Beerfest,Jay Chandrasekhar,2006,,2007-09-06,Buy It
Being John Malkovich,Spike Jonze,1999,,unknown,Buy It
Best in Show,Christopher Guest,2000,,2007-12-08,Buy It
The Big Country,William Wyler,1958,,2008-09-06,Buy It
Big Fan,Robert D. Siegel,2009,,2011-02-27,Buy It
Big Fish,Tim Burton,2003,,unknown,Buy It
The Big Lebowski,Joel Coen,1998,,2009-06-20,Buy It
Big Trouble,Barry Sonnenfeld,2002,,2007-05-19,Buy It
Black Hawk Down,Ridley Scott,2001,,2009-11-27,Buy It
Black Swan,Darren Aronofsky,2010,,2011-06-11,Buy It
Blade Runner,Ridley Scott,1982,,2009-04-12,Buy It
Blades of Glory,"Josh Gordon, Will Speck",2007,,2007-04-07,Buy It
Blow,Ted Demme,2001,,2005-04-16,Buy It
Boogie Nights,Paul Thomas Anderson,1997,,unknown,Buy It
The Boondock Saints,Troy Duffy,1999,,2006-05-22,Buy It
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Larry Charles,2006,,2006-12-02,Buy It
The Bourne Identity,Doug Liman,2002,,unknown,Buy It
The Bourne Supremacy,Paul Greengrass,2004,,2007-08-11,Buy It
The Bourne Ultimatum,Paul Greengrass,2007,,2007-08-18,Buy It
Bowling for Columbine,Michael Moore,2002,,2007-06-02,Buy It
The Boys of Baraka,"Heidi Ewing, Rachel Grady",2005,,2008-06-20,Buy It
Bride Wars,Gary Winick,2009,,2009-06-19,Buy It
Brokeback Mountain,Ang Lee,2005,,2008-07-25,Buy It
A Bronx Tale,Robert De Niro,1993,,2007-02-10,Buy It
Burn After Reading,"Ethan Coen, Joel Coen",2008,,2008-09-11,Buy It
Capote,Bennett Miller,2005,,2006-08-16,Buy It
Casablanca,Michael Curtiz,1942,,2006-01-27,Buy It
Casino,Martin Scorsese,1995,,2006-03-17,Buy It
Casino Royale,Martin Campbell,2006,,2007-04-27,Buy It
Catch Me If You Can,Steven Spielberg,2002,,2002-12-29,Buy It
Charlie and the Chocolate Factory,Tim Burton,2005,,2005-07-16,Buy It
Charlie Bartlett,Jon Poll,2007,,2008-07-05,Buy It
Charlie Wilson's War,Mike Nichols,2007,,2008-06-07,Buy It
Charlie's Angels,Joseph McGinty Nichol,2000,,2007-08-12,Buy It
Children of Men,Alfonso Cuar?n,2006,,2010-06-07,Buy It
Chocolat,Lasse Hallstr?m,2000,,2009-03-15,Buy It
Cinderella Man,Ron Howard,2005,,2005-06-04,Buy It
Citizen Kane,Orson Welles,1941,,2006-10-21,Buy It
Class,Lewis John Carlino,1983,,2007-05-12,Buy It
Clerks.,Kevin Smith,1994,,2007-11-11,Buy It
Click,Frank Coraci,2006,,2008-12-26,Buy It
A Clockwork Orange,Stanley Kubrick,1971,,unknown,Buy It
Closer,Mike Nichols,2004,,2005-06-25,Buy It
Cold Mountain,Anthony Minghella,2003,,2004-01-18,Buy It
Collateral,Michael Mann,2004,,2004-08-20,Buy It
Corpse Bride,Tim Burton,2005,,unknown,Buy It
Crash,Paul Haggis,2004,,2006-01-07,Buy It
Crazy Heart,Scott Cooper,2009,,2010-07-20,Buy It
"Crouching Tiger, Hidden Dragon",Ang Lee,2000,,2001-03-16,Buy It
The Curious Case of Benjamin Button,David Fincher,2008,,2008-12-17,Buy It
Dan in Real Life,Peter Hedges,2007,,2008-03-15,Buy It
The Dark Knight,Christopher Nolan,2008,,2008-07-26,Buy It
Das Boot,Wolfgang Petersen,1981,,2007-08-02,Buy It
The Day After Tomorrow,Roland Emmerich,2004,,2005-05-31,Buy It
Dazed and Confused,Richard Linklater,1993,,2005-09-19,Buy It
Death Race,Paul W.S. Anderson,2008,,2011-08-01,Buy It
The Departed,Martin Scorsese,2006,,2006-10-07,Buy It
The Devil Wears Prada,David Frankel,2006,,2007-07-07,Buy It
Dick,Andrew Fleming,1999,,2006-08-06,Buy It
District 9,Neill Blomkamp,2009,,2010-01-16,Buy It
Donnie Darko,Richard Kelly,2001,,2006-07-29,Buy It
Doubt,John Patrick Shanley,2008,,2010-01-01,Buy It
Down Periscope,David S. Ward,1996,,unknown,Buy It
Downfall,Oliver Hirschbiegel,2004,,2011-02-19,Buy It
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,1964,,2006-02-11,Buy It
Dreamgirls,Bill Condon,2006,,2007-12-14,Buy It
Drive,Nicolas Winding Refn,2011,,2012-02-25,Buy It
Duplex,Danny DeVito,2003,,2007-09-02,Buy It
Ed Wood,Tim Burton,1994,,2009-03-28,Buy It
Edward Scissorhands,Tim Burton,1990,,2007-07-31,Buy It
Enchanted,Kevin Lima,2007,,2008-03-30,Buy It
Enron: The Smartest Guys in the Room,Alex Gibney,2005,,2006-09-02,Buy It
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,,unknown,Buy It
Exit Through the Gift Shop,Banksy,2010,,2011-03-11,Buy It
Eyes Wide Shut,Stanley Kubrick,1999,,2006-04-23,Buy It
Fargo,"Joel Coen, Ethan Coen",1996,,2006-12-01,Buy It
Fear and Loathing in Las Vegas,Terry Gilliam,1998,,2009-03-21,Buy It
Fever Pitch,"Bobby Farrelly, Peter Farrelly",2005,,2009-06-21,Buy It
Fight Club,David Fincher,1999,,unknown,Buy It
Finding Nemo,"Andrew Stanton, Lee Unkrich",2003,,unknown,Buy It
Finding Neverland,Marc Forster,2004,,2005-07-30,Buy It
Fletch,Michael Ritchie,1985,,2009-10-19,Buy It
Flightplan,Robert Schwentke,2005,,2006-06-16,Buy It
The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,Errol Morris,2003,,2009-04-16,Buy It
Following,Christopher Nolan,1998,,2010-05-30,Buy It
Forgetting Sarah Marshall,Nicholas Stoller,2008,,2010-07-16,Buy It
Frost/Nixon,Ron Howard,2008,,2009-06-12,Buy It
Full Metal Jacket,Stanley Kubrick,1987,,unknown,Buy It
GasLand,Josh Fox,2010,,2011-04-17,Buy It
Get Him to the Greek,Nicholas Stoller,2010,,2010-11-05,Buy It
Ghost,Jerry Zucker,1990,,2006-07-07,Buy It
Gifted Hands: The Ben Carson Story,Thomas Carter,2009,,2009-02-08,Buy It
The Girl Next Door,Luke Greenfield,2004,,2006-12-26,Buy It
Glengarry Glen Ross,James Foley,1992,,2007-02-28,Buy It
Glory,Edward Zwick,1989,,2007-02-18,Buy It
Go,Doug Liman,1999,,unknown,Buy It
The Godfather,Francis Ford Coppola,1972,,2010-07-24,Buy It
The Godfather: Part II,Francis Ford Coppola,1974,,2010-10-26,Buy It
The Goebbles Experiment,Lutz Hachmeister,2005,,2008-09-16,Buy It
"Good Bye, Lenin!",Wolfgang Becker,2003,,2010-11-12,Buy It
"Good Night, and Good Luck",George Clooney,2005,,2008-01-05,Buy It
The Good Shepherd,Robert De Niro,2006,,2007-05-19,Buy It
"The Good, the Bad and the Ugly",Sergio Leone,1966,,2009-10-03,Buy It
Goodfellas,Martin Scorsese,1990,,2006-11-13,Buy It
The Greatest Game Ever Played,Bill Paxton,2005,,2007-10-24,Buy It
The Hangover,Todd Phillips,2009,,2010-02-28,Buy It
Happy Feet,"George Miller, Warren Coleman, Judy Morris",2006,,2007-05-18,Buy It
"Happy, Texas",Mark Illsley,1999,,2005-10-29,Buy It
Harry Potter and the Deathly Hallows: Part 2,David Yates,2011,,2011-07-24,n/a
Harry Potter and the Goblet of Fire,Mike Newell,2005,,2005-11-19,Buy It
Harry Potter and the Half-Blood Prince,David Yates,2009,,2009-08-01,n/a
Harry Potter and the Order of the Phoenix,David Yates,2007,,2007-07-09,Buy It
Hearts in Atlantis,Scott Hicks,2001,,unknown,Buy It
Helvetica,Gary Hustwit,2007,,2008-01-10,Buy It
Hero,Yimou Zhang,2002,,2004-09-05,Buy It
High Fidelity,Stephen Frears,2000,,2007-02-16,Buy It
The Hitchhiker's Guide to the Galaxy,Garth Jennings,2005,,2005-04-29,Buy It
Hot Fuzz,Edgar Wright,2007,,2010-10-30,Buy It
The Hunt for Red October,John McTiernan,1990,,2008-11-01,Buy It
The Hurt Locker,Kathryn Bigelow,2008,,2010-03-15,Buy It
I Am Legend,Francis Lawrence,2007,,2008-03-22,Buy It
I Heart Huckabees,David O. Russell,2004,,2005-08-13,Buy It
"I Love You, Man",John Hamburg,2009,,2010-08-08,Buy It
