,Country,Capital,Italian
1,Afghanistan,Kabul,
2,Albania,Tirana,Tirana
3,Algeria,Algiers,Algeri
4,American Samoa,Pago Pago,Pago Pago
5,Andorra,Andorra La Vella,
6,Angola,Luanda,
7,Anguilla,The Valley,
8,Antigua and Barbuda,"St. John?s, Antigua",
9,Argentina,"Buenos Aires, BA",
10,Armenia,Yerevan,Jerevan
11,Aruba,Oranjestad,
12,Australia,"Canberra, AC","Canberra, AC"
13,Austria,Vienna,Vienna
14,Azerbaijan,Baku,
15,"Azores Islands, Portugal","Ponta Delgada, Sao Miguel",
16,"Bahamas, The",Nassau (Int?l),
17,Bahrain,Manama,
18,Bangladesh,Dhaka,Dacca
19,Barbados,Bridgetown,
20,Belarus,Minsk (Int?l 1),
21,Belgium,Brussels (National),Bruxelles
22,Belize,Belmopan,
23,Benin,Porto Novo-Cotonou,
24,Bermuda,Hamilton,
25,Bhutan,Thimphu,Thimbu
26,Bolivia,La Paz,
27,Bosnia-Herzegovina,Sarajevo,
28,Botswana,Gaborone,
29,Brazil,"Brasilia, DF",
30,British Indian Ocean Territory,Diego Garcia (Atoll),
31,Brunei,Bandar Seri Begawan,
32,Bulgaria,Sofia,
33,Burkina Faso,Ouagadougou,
34,Burundi,Bujumbura,
35,Cambodia,Phnom Penh,
36,Cameroon,Yaounde,
37,Canada,"Ottawa, OT",
38,"Canary Islands, Spain",Gran Canaria,
39,Cape Verde Islands,"Praia, Sao Tiago Island",
40,Cayman Islands,George Town,Georgetown
41,Central African Republic,Bangui,
42,Chad,N?Djamena,
43,"Channel Islands, U.K.","St. Helier, Jersey",
44,Chile,Santiago,
45,China,Beijing (Capital),Pechino
46,"Christmas Island, Australia",Christmas Island,
47,"Cocos (Keeling) Is., Australia",Cocos Island,
48,Colombia,Bogota,Bogot?
49,Comoros,Moroni (Int?l),
50,"Congo, Dem. Rep. of (Zaire)",Kinshasa,
51,"Congo, Republic of",Brazzaville,
52,"Cook Islands, New Zealand","Avarua, Rarotonga Island",
53,Costa Rica,San Jose (Juan Santamaria Int?l),
54,Cote D?Ivoire (Ivory Coast),Yamoussoukro,
55,Croatia,Zagreb,Zagrabia
56,Cuba,Havana,L?Avana
57,Cyprus,Nicosia,
58,Czech Republic,Prague,Praga
59,Denmark,Copenhagen,Copenaghen
60,Djibouti,Djibouti,Gibuti
61,Dominica Island,Roseau (Melville Hall),
62,Dominican Republic,Santo Domingo (Las Americas),
63,"Easter Island, Chile",Hanga Roa (Mataveri Int?l),
64,Ecuador,Quito,
65,Egypt,Cairo,Il Cairo
66,El Salvador,San Salvador,
67,Equatorial Guinea,Malabo,
68,Eritrea,Asmara,
69,Estonia,Tallinn,
70,Ethiopia,Addis Ababa,Addis Abeba
71,Falkland Islands,Port Stanley,
72,Faroe Islands,Torshavn,
73,Fiji Islands,Suva,
74,Finland,Helsinki,
75,France,Paris,Parigi
76,French Guiana,Cayenne,Caienna
77,French Polynesia (Islands),"Papeete, Tahiti",
78,Gabon,Libreville,
79,"Galapagos Is., Ecuador",Galapagos,
80,"Gambia, The",Banjul,
81,Georgia,T?Bilisi,Tbilisi
82,Germany,Berlin,Berlino
83,Ghana,Accra,
84,Gibraltar,Gibraltar,Gibilterra
85,Greece,Athens,Atene
86,Greenland,Nuuk (Godthab),
87,Grenada,St. George?s,
88,Guadeloupe,Basse - Terre,
89,Guam,Agana,
90,Guatemala,Guatemala City,Citt? del Guatemala
91,"Guinea, Republic of",Conakry,
92,Guinea-Bissau,Bissau,
93,Guyana,Georgetown,
94,Haiti,Port-au-Prince,
95,Holy See,Vatican City,Citt? del Vaticano
96,Honduras,Tegucigalpa,
97,Hong Kong,Victoria,
98,Hungary,Budapest,
99,Iceland,Reykjavik (Capital),
100,India,"New Delhi, ND",Nuova Delhi
101,Indonesia,Jakarta,Giacarta
102,Iran,Tehran,Teheran
103,Iraq,Baghdad,
104,Ireland,Dublin,Dublino
105,Israel,Jerusalem,Gerusalemme
106,Italy,Rome,Roma
107,Jamaica,Kingston (Int?l),
108,Japan,Tokyo,
109,Jordan,Amman (Queen Alia Int?l),
110,Kazakhstan,Astana,
111,Kenya,Nairobi,
112,Kiribati Islands,Tarawa,
113,"Korea, D.P. Republic of",P?yongyang,
114,"Korea, Republic of",Seoul,
115,Kuwait,Kuwait,
116,Kyrgyzstan,Bishkek,
117,"Lao, P.D. Republic of",Vientiane,
118,Latvia,Riga,
119,Lebanon,Beirut,
120,Lesotho,Maseru,
121,Liberia,Monrovia,
122,Libya,Tripoli (Int?l),
123,Liechtenstein,Vaduz,
124,Lithuania,Vilnius,
125,Luxembourg,Luxembourg,Lussemburgo
126,Macau,Macao,
127,Macedonia (FYR),Skopje,
128,Madagascar,Antananarivo,
129,"Madeira Island, Portugal",Funchal,
130,Malawi,Lilongwe,
131,Malaysia,Kuala Lumpur,
132,Maldive Islands,Male,
133,"Mali, Republic of",Bamako,
134,Malta,Valletta,La Valletta
135,Marshall Islands,Majuro,
136,Martinique,Fort-de-France,
137,Mauritania,Nouakchott,
138,Mauritius,Port Louis,
139,Mayotte Island,Mamoutzou (Dzaoudzi Port),
140,Mexico,Mexico City,Citt? del Messico
141,"Micronesia, Federated States of","Palikir, Pohnpei Island",
142,"Midway Island, U.S.",Midway Island,
143,Moldova,Chisinau,Kisinev
144,Monaco,Monaco,
145,Mongolia,Ulaanbaatar,Ulan-Bator
146,Montserrat,Plymouth,
147,Morocco,Rabat,
148,Mozambique,Maputo,
149,Myanmar (Burma),Yangon (Rangoon),Rangoon
150,Namibia,Windhoek (Int?l),
151,Nauru Island,Yaren,
152,Nepal,Kathmandu,Katmandu
