Number,Fell Name,Height (m),Height (Ft),GPS reference,Guide,Steve,Justine,Emily,Sophie,Diva
,,,,,,,,,,
1,Allen Crags,785,2575,NY 23668 08529?,,,,,,
2,Angletarn Pikes,567,1860,NY 41333 14830,,,,,,
3,Ard Crags,581,1906,NY 20696 19766,,,,,,
4,Armboth Fell,479,1572,NY 29684 15965,,,,,,
5,Arnison Crag,433,1421,NY 39359 14968,The Eastern Fells,,,,,
6,Arthur's Pike,532,1745,NY 46076 20677,,,,,,
7,Bakestall,673,2208,NY 26647 30740,,,,,,
8,Bannerdale Crags,683,2241,NY 33616 29081,,,,,,
9,Barf,468,1535,NY 21467 26740,,,,,,
10,Barrow,455,1493,NY 22709 21822,,,,,,
11,Base Brown,646,2119,NY 22516 11461,,,,,,
12,Beda Fell,509,1670,NY 42895 17159,,,,,,
13,Binsey,447,1467,NY 22513 35525,,,,,,
14,Birkhouse Moor,718,2356,NY 36344 15974,The Eastern Fells,,,,,
15,Birks,622,2041,NY 38177 14486,The Eastern Fells,,,,,
16,Black Fell,323,1060,NY 34023 01591,,,,,,
17,Blake Fell?,573,1880,NY 11043 19684,,,,,,
18,Blea Rigg,541,1775,NY 30165 07835,,,,,,
19,Bleaberry Fell,590,1936,NY 28565 19574,,,,,,
20,Blencathra,868,2848,NY 32345 27712,,,,,,
21,Bonscale Pike,524,1719,NY 45348 20086,,,,,,
22,Bowfell,902,2959,NY 24470 06443,,,,,,
23,Bowscale Fell,702,2303,NY 33343 30541,,,,,,
24,Brae Fell,586,1923,NY 28878 35159,,,,,,
25,Brandreth,715,2346,NY 21489 11928,The Western Fells,,,,,
26,Branstree,713,2339,NY 47801 09975,,,,,,
27,Brim Fell,796,2612,SD 27074 98556,,,,,,
28,Brock Crags,561,1841,NY 41665 13662,,,,,,
29,Broom Fell?,511,1677,NY 19444 27190,,,,,,
30,Buckbarrow,420,1378,NY 13572 06126,,,,,,
31,Burnbank Fell,475,1558,NY 10999 20950,,,,,,
32,Calf Crag,537,1762,NY 30162 10410,,,,,,
33,Carl Side,746,2448,NY 25497 28086,,,,,,
