Name,Region,Income,GNI,Population
Afghanistan,South Asia,Low income,517,"30,605,401"
Albania,Eastern Europe & Central Asia,Upper middle income,"4,000","3,169,087"
Algeria,Middle East & North Africa,Upper middle income,"4,460","35,422,589"
Angola,Sub-Saharan Africa,Lower middle income,"3,960","18,992,707"
Antigua and Barbuda,Latin America & Caribbean,Upper middle income,"10,610","88,550"
Argentina,Latin America & Caribbean,Upper middle income,"8,450","40,665,732"
Armenia,Eastern Europe & Central Asia,Lower middle income,"3,090","3,090,379"
Australia,OECD high income,High income,"43,740","22,327,200"
Austria,OECD high income,High income,"46,710","8,381,780"
Azerbaijan,Eastern Europe & Central Asia,Upper middle income,"5,180","8,883,200"
"Bahamas, The",Latin America & Caribbean,High income,"21,879","345,736"
Bahrain,Middle East & North Africa,High income,"20,475","807,131"
Bangladesh,South Asia,Low income,640,"164,425,491"
Belarus,Eastern Europe & Central Asia,Upper middle income,"6,030","9,645,000"
Belgium,OECD high income,High income,"45,420","10,866,560"
Belize,Latin America & Caribbean,Lower middle income,"3,740","344,700"
Benin,Sub-Saharan Africa,Low income,750,"9,211,741"
Bhutan,South Asia,Lower middle income,"1,920","708,484"
Bolivia,Latin America & Caribbean,Lower middle income,"1,790","10,030,832"
Bosnia and Herzegovina,Eastern Europe & Central Asia,Upper middle income,"4,790","3,759,633"
Botswana,Sub-Saharan Africa,Upper middle income,"6,890","1,977,569"
Brazil,Latin America & Caribbean,Upper middle income,"9,390","194,946,470"
Brunei Darussalam,East Asia & Pacific,High income,"31,238","407,045"
Bulgaria,Eastern Europe & Central Asia,Upper middle income,"6,240","7,561,910"
Burkina Faso,Sub-Saharan Africa,Low income,550,"16,286,706"
Burundi,Sub-Saharan Africa,Low income,160,"8,518,862"
Cambodia,East Asia & Pacific,Low income,760,"14,138,255"
Cameroon,Sub-Saharan Africa,Lower middle income,"1,160","19,958,351"
Canada,OECD high income,High income,"46,215","34,173,900"
Cape Verde,Sub-Saharan Africa,Lower middle income,"3,160","512,582"
Central African Republic,Sub-Saharan Africa,Low income,460,"4,505,945"
Chad,Sub-Saharan Africa,Low income,600,"11,506,130"
Chile,Latin America & Caribbean,Upper middle income,"9,940","17,134,708"
