Company??,Symbol??,Industry??,Date Added??
3M,MMM,Diversified industrials,1976-08-09 (as Minnesota Mining and Manufacturing)
Alcoa,AA,Aluminum,1959-06-01 (as Aluminum Company of America)
American Express,AXP,Consumer finance,1982-08-30
AT&T,T,Telecommunication,1999-11-01 (as SBC Communications)
Bank of America,BAC,Institutional and retail banking,2008-02-19
Boeing,BA,Aerospace & defense,1987-03-12
Caterpillar,CAT,Commercial vehicles & trucks,1991-05-06
Chevron Corporation,CVX,Oil and gas,2008-02-19
Citigroup,C,Banking,1997-03-17 (as Travelers Group)
Coca-Cola,KO,Beverages,1987-03-12
DuPont,DD,Commodity Chemicals,1935-11-20
ExxonMobil,XOM,Integrated oil & gas,1928-10-01 (as Standard Oil (N.J.))
General Electric,GE,Diversified industrials,1907-11-07
General Motors,GM,Automobiles,1925-08-31
Hewlett-Packard,HPQ,Diversified computer systems,1997-03-17
Home Depot,HD,Home improvement retailers,1999-11-01
Intel,INTC,Semiconductors,1999-11-01
IBM,IBM,Computer services,1979-06-29
Johnson & Johnson,JNJ,Pharmaceuticals,1997-03-17
JPMorgan Chase,JPM,Banking,1991-05-06 (as J.P. Morgan & Company)
Kraft Foods,KFT,Food processing,2008-09-22
McDonald's,MCD,Restaurants & bars,1985-10-30
Merck,MRK,Pharmaceuticals,1979-06-29
Microsoft,MSFT,Software,1999-11-01
Pfizer,PFE,Pharmaceuticals,2004-04-08
Procter & Gamble,PG,Non-Durable household products,1932-05-26
United Technologies Corporation,UTX,"Aerospace, heating/cooling, elevators",1939-03-14 (as United Aircraft)
Verizon Communications,VZ,Telecommunication,2004-04-08
Walmart,WMT,Broadline retailers,1997-03-17
Walt Disney,DIS,Broadcasting & entertainment,1991-05-06
