Nr.,Museum,Country,Score *
1,Museum of Modern Art (MoMA),USA,11
2,Metropolitan Museum of Art,USA,14
3,Mus?e du Louvre,France,34
4,National Gallery of Art,USA,35
5,Victoria and Albert Museum,United Kingdom,37
6,J. Paul Getty Museum,USA,40
7,Deutsches Historisches Museum,Germany,50
8,Los Angeles County Museum of Art (LACMA),USA,51
9,State Hermitage Museum,Russia,53
10,Brooklyn Museum of Art,USA,58
11,National Maritime Museum,United Kingdom,59
12,Museum of Fine Arts (MFA),USA,61
13,National Gallery,United Kingdom,67
14,Rijksmuseum,Netherlands,69
15,Museo Nacional del Prado,Spain,72
16,Royal Academy of Arts,United Kingdom,74
17,Tate Britain,United Kingdom,76
18,Museum of New Zealand Te Papa Tongarewa,New Zealand,83
19,Philadelphia Museum of Art,USA,87
20,Minneapolis Institute of Arts,USA,88
21,Indianapolis Museum of Art,USA,89
22,Ashmolean Museum,United Kingdom,94
23,Detroit Institute of Arts (DIA),USA,108
24,Museo Thyssen-Bornemisza,Spain,111
25,Seattle Art Museum,USA,114
26,Saint Louis Art Museum (SLAM),USA,123
27,Art Gallery of Ontario (AGO),Canada,133
28,Manchester Art Gallery,United Kingdom,141
29,Corcoran Gallery of Art,USA,141
30,National Gallery of Scotland /National Portrait Gallery,United Kingdom,145
31,Royal Collection,United Kingdom,149
32,National Museum of Western Art,Japan,150
33,High Museum of Art,USA,156
34,Jewish Museum,USA,161
35,Norton Simon Museum,USA,165
36,Kunsthistorisches Museum (KHM),Austria,168
37,Frick Collection,USA,168
38,Isabella Stewart Gardner Museum,USA,175
39,"Museum of Fine Arts, Houston",USA,178
40,Denver Art Museum,USA,183
41,National Museum of Wales,United Kingdom,184
42,Palacio Real,Spain,186
43,Sinebrychoffin Taidemuseo,Finland,187
44,Patrimonio Nacional,Spain,189
45,Wallace Collection,United Kingdom,190
46,Statens Museum for Kunst,Denmark,194
47,Muzeum Ksiazat Lubomirskich,Poland,197
48,Milwaukee Art Museum,USA,203
49,Walters Art Museum,USA,209
50,Carnegie Museum of Art,USA,218
51,Worcester Art Museum,USA,225
52,St?del Museum,Germany,227
53,Cleveland Museum of Art,USA,234
54,Hamburger Kunsthalle,Germany,237
55,Klassik Stiftung Weimar,Germany,244
56,Portland Art Museum,USA,249
57,Nelson-Atkins Museum of Art,USA,253
58,Albright-Knox Art Gallery,USA,254
59,Landesmuseum f?r Kunst und Kulturgeschichte,Germany,255
60,Museum Boijmans Van Beuningen,Netherlands,255
61,Phoenix Art Museum,USA,256
62,Schloss Sanssouci,Germany,257
63,National Gallery of Canada,Canada,261
64,"Gem?ldegalerie, Staatliche Museen zu Berlin",Germany,265
65,North Carolina Museum of Art,USA,265
66,John and Mable Ringling Museum of Art,USA,270
67,Kunst- und Ausstellungshalle der Bundesrepublik Deutschland,Germany,270
68,Dallas Museum of Art,USA,272
69,Germanisches Nationalmuseum,Germany,274
70,Sz?pm?v?szeti M?zeum,Hungary,277
71,Landesmuseum Joanneum - Alte Galerie,Austria,286
72,Mus?e Jacquemart-Andr?,France,289
73,Koninklijke Musea voor Schone Kunsten van Belgi?,Belgium,290
74,British Museum,United Kingdom,292
75,Mus?e National d'Histoire et d'Art,Luxembourg,292
76,Van Gogh Museum,Netherlands,293
77,City Museums and Art Gallery,United Kingdom,293
78,G?teborgs Konstmuseum,Sweden,293
79,Chatsworth House,United Kingdom,294
80,Peter the Great Museum of Anthropology and Ethnography,Russia,295
81,Sterling and Francine Clark Art Institute,USA,309
82,Kunstareal Munchen,Germany,316
83,Kr?ller-M?ller Museum,Netherlands,316
84,Slovensk? N?rodn? Gal?ria,Slovak Republic,316
85,Museum Gustavianum Uppsala,Sweden,317
86,Toledo Museum of Art,USA,319
87,San Diego Museum of Art,USA,319
88,Mauritshuis,Netherlands,320
89,Museum der bildenden K?nste Leipzig,Germany,325
90,Kunsthaus Z?rich,Switzerland,329
91,Pushkin State Museum of Fine Arts,Russia,330
92,Museo Nacional de Bellas Artes,Argentina,330
93,Joods Historisch Museum,Netherlands,333
94,Van Abbemuseum,Netherlands,336
95,Erfgoedcentrum DiEP,Netherlands,339
96,N?rodn? galerie v Praze,Czech Republic,340
97,Amsterdams Historisch Museum (AHM),Netherlands,344
98,New Orleans Museum of Art (NOMA),USA,347
99,Staatsgalerie Stuttgart,Germany,347
100,Ackland Art Museum,USA,352
101,Chrysler Museum of Art,USA,354
102,Blanton Museum of Art,USA,356
103,Museo Nacional de Bellas Artes de Cuba,Cuba,357
104,Mus?e des Beaux-Arts de Lyon,France,358
105,Auckland Art Gallery Toi o T??maki,New Zealand,359
106,Muzeum Narodowe w Warszawie,Poland,359
107,Galleria Borghese,Italy,366
108,Kunstmuseum Liechtenstein,Liechtenstein,368
109,Kunstmuseum Basel,Switzerland,378
110,Staatliche Kunstsammlungen Dresden,Germany,385
111,Centraal Museum,Netherlands,386
112,Mus?e des Beaux-Arts de Montr?al,Canada,392
113,Firenze Musei,Italy,398
114,Mus?e d'Art et d'Histoire,Switzerland,402
115,Israel Museum,Israel,403
116,Von der Heydt-Museum,Germany,404
117,Ober?sterreichisches Landesmuseum,Austria,407
118,Liechtenstein Museum,Austria,407
119,Williams College Museum of Art,USA,407
120,Baltimore Museum of Art,USA,408
121,National Museum of Fine Arts,Malta,411
122,Dayton Art Institute,USA,412
123,Museu de Arte,Brazil,412
124,Crocker Art Museum,USA,414
125,National Gallery of Ireland,Ireland,417
126,Wadsworth Atheneum Museum of Art,USA,418
127,Museo Nacional de Escultura,Spain,419
128,Bilboko Arte Eder Museoa,Spain,420
129,Stedelijk Museum,Netherlands,432
130,Palazzo Strozzi,Italy,433
131,Kulturgeschichtliches Museum,Germany,440
132,Sprengel Museum,Germany,441
133,Groninger Museum,Netherlands,443
134,Museum Het Valkhof,Netherlands,450
