Journal Name,PMC Deposit Policy,Who Deposits to PMC,Embargo Period in Months,Optional Fee for Immediate Access,Publisher Link to NIH Policy Page or Related Policy
ACADEMIC EMERGENCY MEDICINE,Yes,Publisher Only,12,Yes,WILEY-BLACKWELL
AMERICAN JOURNAL OF GASTROENTEROLOGY,Yes,Publisher OR Author,6,Yes,NATURE PUBLISHING GROUP
AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY,Yes,Publisher Only,12,Yes,AMERICAN PHYSIOLOGICAL SOCIETY
AMERICAN SURGEON,No Specific Policy,No Specific Information,No Specific Information,No Specific Information,SOUTHEASTERN SURGICAL CONGRESS
ANALYTICAL CHEMISTRY,Yes,Publisher OR Author,12,Yes,AMERICAN CHEMICAL SOCIETY
ANNALS OF EMERGENCY MEDICINE,Yes,Publisher Only,12,Yes,ELSEVIER
APPLIED PHYSICS LETTERS,Yes,Publisher Only,12,Yes,AMERICAN INSTITUTE OF PHYSICS
ASTROPHYSICAL JOURNAL,Yes,Author Only,12,No Specific Information,UNIVERSITY OF CHICAGO PRESS
ATMOSPHERIC ENVIRONMENT,Yes,Publisher Only,12,Yes,ELSEVIER
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,Yes,Publisher Only,12,Yes,ELSEVIER
BIOCHEMISTRY,Yes,Publisher OR Author,12,Yes,AMERICAN CHEMICAL SOCIETY
BIOLOGICAL PSYCHIATRY,Yes,Publisher Only,12,Yes,ELSEVIER
BIOPHYSICAL JOURNAL,Yes,Publisher Only,12,Yes,CELL PRESS
BRAIN RESEARCH,Yes,Publisher Only,12,Yes,ELSEVIER
CANCER,Yes,Publisher Only,12,Yes,WILEY
"CANCER EPIDEMIOLOGY, BIOMARKERS & PREVENTION",Yes,Publisher OR Author,12,No,AMERICAN ASSOCIATION OF CANCER RESEARCH
CANCER RESEARCH,Yes,Publisher OR Author,12,No,AMERICAN ASSOCIATION OF CANCER RESEARCH
CHEST,Yes,Publisher Only,12,Yes,AMERICAN COLLEGE OF CHEST PHYSICIANS
CIRCULATION,Yes,Publisher Only,12,No Specific Information,WOLTERS KLUWER HEALTH / LIPPINCOTT
CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES,No Specific Policy,No Specific Information,No Specific Information,No Specific Information,TECH SCIENCE PRESS
DEVELOPMENT,Yes,Publisher Only,6,Yes,THE COMPANY OF BIOLOGISTS LTD
DEVELOPMENTAL BIOLOGY,Yes,Publisher Only,12,Yes,ELSEVIER
ENVIRONMENTAL SCIENCE & TECHNOLOGY,Yes,Publisher OR Author,12,Yes,AMERICAN CHEMICAL SOCIETY
EPILEPSIA,Yes,Publisher Only,12,Yes,WILEY-BLACKWELL
EUROPEAN JOURNAL OF NEUROSCIENCE,Yes,Publisher Only,12,Yes,WILEY-BLACKWELL
EXPERIMENTAL NEUROLOGY,Yes,Publisher Only,12,Yes,ELSEVIER
FASEB JOURNAL,Yes,Publisher Only,12,Yes,FEDERATION OF AMERICAN SOCIETIES FOR EXPERIMENTAL BIOLOGISTS
