No.,Name,Feet,Met,Grid Ref,Area,?,Trips
1,Scafell Pike,3209,978,NY215072,S Fells,8,123456
2,Sca Fell,3163,964,NY206064,S Fells,6,1234
3,Helvellyn,3117,950,NY342151,E Fells,4,1
4,Skiddaw,3054,931,NY260290,N Fells,3,1
5,Great End,2986,910,NY226083,S Fells,9,1234567
6,Bow Fell,2959,902,NY244064,S Fells,6,1234
7,Great Gable,2949,899,NY211103,W Fells,5,123
8,Pillar,2927,892,NY171121,W Fells,9,1234
9,Nethermost Pike,2923,891,NY343142,E Fells,4,1
10,Catstye Cam,2920,890,NY348158,E Fells,2,-
11,Esk Pike,2904,885,NY236075,S Fells,8,12345
12,Raise,2897,883,NY342174,E Fells,5,12
13,Fairfield,2864,873,NY358117,E Fells,4,1
14,Blencathra,2848,868,NY323277,N Fells,4,12
15,Skiddaw Little Man,2838,865,NY266277,N Fells,3,1
16,White Side,2831,863,NY337166,E Fells,4,1
17,Crinkle Crags,2818,859,NY248048,S Fells,5,1234
18,Dollywaggon Pike,2815,858,NY346130,E Fells,4,1
19,Great Dodd,2812,857,NY341205,E Fells,5,12
20,Grasmoor,2795,852,NY174203,NW Fells,4,12
21,Stybarrow Dodd,2766,843,NY343189,E Fells,5,12
22,St Sunday Crag,2759,841,NY369134,E Fells,3,1
23,Scoat Fell,2759,841,NY159113,W Fells,9,123456
24,Crag Hill (Eel Crag),2753,839,NY192203,NW Fells,5,12
25,High Street,2717,828,NY440110,Far E Fells,11,1234567
26,Red Pike (Wasdale),2710,826,NY165106,W Fells,4,12
27,Hart Crag,2697,822,NY368112,E Fells,5,12
28,Steeple,2687,819,NY157116,W Fells,3,1
29,Lingmell,2648,807,NY209081,S Fells,3,12
30,High Stile,2648,807,NY170148,W Fells,5,123
31,The Old Man of Coniston,2635,803,SD272978,S Fells,6,1234
32,High Raise (Far E Fells),2631,802,NY448134,Far E Fells,6,1234
33,Swirl How,2631,802,NY272005,S Fells,5,1234
34,Kirk Fell,2631,802,NY194104,W Fells,4,12
35,Green Gable,2628,801,NY214107,W Fells,4,12
36,Haycock,2615,797,NY144107,W Fells,8,123456
37,Brim Fell,2612,796,SD270985,S Fells,5,1234
38,Dove Crag,2598,792,NY374104,E Fells,5,12
39,Rampsgill Head,2598,792,NY442128,Far E Fells,6,1234
40,Grisedale Pike,2595,791,NY198225,NW Fells,4,12
41,Watson's Dodd,2589,789,NY335195,E Fells,4,1
42,Great Carrs,2575,785,NY270008,S Fells,4,123
43,Allen Crags,2575,785,NY236085,S Fells,12,123456789
44,Thornthwaite Crag,2572,784,NY431100,Far E Fells,7,1234
45,Glaramara,2569,783,NY246104,S Fells,9,123456
46,Kidsty Pike,2559,780,NY447125,Far E Fells,4,123
47,Dow Crag,2552,778,SD262977,S Fells,3,1
48,Harter Fell (Far E Fells),2552,778,NY459093,Far E Fells,7,1234
49,Red Screes,2546,776,NY396087,E Fells,3,1
50,Grey Friar,2536,773,NY259003,S Fells,3,12
51,Sail,2536,773,NY198202,NW Fells,3,12
52,Wandope,2533,772,NY188197,NW Fells,3,1
53,Hopegill Head,2526,770,NY185221,NW Fells,5,1
54,Great Rigg,2513,766,NY355103,E Fells,2,-
55,Stony Cove Pike (Caudale Moor),2503,763,NY417100,Far E Fells,4,12
56,Wetherlam,2503,763,NY288011,S Fells,4,123
57,Slight Side,2500,762,NY210050,S Fells,2,1
58,High Raise (C Fells),2500,762,NY280095,C Fells,8,1234567
59,Mardale Ill Bell,2493,760,NY448101,Far E Fells,5,1233
60,Ill Bell,2484,757,NY436077,Far E Fells,3,12
61,Hart Side,2480,756,NY359197,E Fells,3,-
62,Red Pike (Buttermere),2477,755,NY160154,W Fells,5,123
63,Dale Head,2470,753,NY223153,NW Fells,8,123456
64,Carl Side,2448,746,NY255280,N Fells,2,1
65,High Crag,2441,744,NY180140,W Fells,5,123
66,The Knott,2425,739,NY437127,Far E Fells,2,1
67,Robinson,2418,737,NY201168,NW Fells,6,1234
68,Sergeant Man,2415,736,NY286089,C Fells,4,123
69,Harrison Stickle,2415,736,NY281074,C Fells,4,123
70,Seat Sandal,2415,736,NY343115,E Fells,2,1
71,Long Side,2408,734,NY248284,N Fells,2,1
72,Kentmere Pike,2395,730,NY465077,Far E Fells,5,123
73,Hindscarth,2385,727,NY215165,NW Fells,6,1234
74,Clough Head,2382,726,NY333225,E Fells,5,12
75,Ullscarf,2382,726,NY291121,C Fells,3,1
76,Thunacar Knott,2372,723,NY279079,C Fells,10,123456789
77,Froswick,2362,720,NY435085,Far E Fells,5,123
