"publisher","videogame","genre","platform","releaseDate"
"Capcom","Resident Evil (2002 video game)","Survival horror","Xbox One","1930-04-02"
"Acclaim Entertainment","Turok: Dinosaur Hunter","First-person shooter","Xbox One","1997-03-04"
"Acclaim Entertainment","Turok 2: Seeds of Evil","First-person shooter","Xbox One","1998-10-21"
"Nicalis","1001 Spikes","Adventure game","Xbox One","1925-11-14"
"Nicalis","1001 Spikes","Platform game","Xbox One","1925-11-14"
"The Behemoth","Castle Crashers","Beat 'em up","Xbox One","1925-11-10"
"The Behemoth","Castle Crashers","Beat 'em up","Xbox One","2008-08-27"
"The Behemoth","Castle Crashers","Action game","Xbox One","1925-11-10"
"The Behemoth","Castle Crashers","Action game","Xbox One","2008-08-27"
"The Behemoth","Castle Crashers","Role-playing video game","Xbox One","1925-11-10"
"The Behemoth","Castle Crashers","Role-playing video game","Xbox One","2008-08-27"
"Ubisoft","Assassin's Creed Chronicles","Action-adventure game","Xbox One","1922-04-15"
"Ubisoft","Assassin's Creed Chronicles","Stealth game","Xbox One","1922-04-15"
"Ubisoft","Assassin's Creed Chronicles","Platform game","Xbox One","1922-04-15"
"Activision","Call of Duty 4: Modern Warfare","First-person shooter","Xbox One","1928-01-08"
"Activision","Call of Duty 4: Modern Warfare","First-person shooter","Xbox One","2007-11-05"
"Activision","Call of Duty 4: Modern Warfare","First-person shooter","Xbox One","2009-11-10"
"Activision","Transformers: Fall of Cybertron","Third-person shooter","Xbox One","1924-08-12"
"Ubisoft","Uno (video game)","Card game","Xbox One","2006-05-09"
"Ubisoft","Uno (video game)","Card game","Xbox One","2008-11-14"
"Ubisoft","Uno (video game)","Card game","Xbox One","2009-10-01"
"Gameloft","Uno (video game)","Card game","Xbox One","2006-05-09"
"Gameloft","Uno (video game)","Card game","Xbox One","2008-11-14"
"Gameloft","Uno (video game)","Card game","Xbox One","2009-10-01"
"Activision","Prototype (video game)","Action-adventure game","Xbox One","2009-06-09"
"Microsoft Studios","Grabbed by the Ghoulies","Beat 'em up","Xbox One","2009-02-16"
"Microsoft Studios","Grabbed by the Ghoulies","Action adventure game","Xbox One","2009-02-16"
"Nintendo","Killer Instinct 2","Fighting game","Xbox One","1996-11-25"
"Midway Games","Killer Instinct 2","Fighting game","Xbox One","1996-11-25"
"Ubisoft","Assassin's Creed II","Action-adventure game","Xbox One","2009-11-17"
"Microsoft Studios","Halo 3: ODST","First-person shooter","Xbox One","2009-09-22"
"Electronic Arts","NBA Live 14","Sports game","Xbox One","1929-11-13"
"2K Games","Borderlands: The Handsome Collection","Action role-playing video game","Xbox One","1927-03-15"
"2K Games","Borderlands: The Handsome Collection","First-person shooter","Xbox One","1927-03-15"
"Disney Interactive Studios","Disney Infinity","Action-adventure game","Xbox One","1923-08-13"
"Disney Interactive Studios","Disney Infinity","Sandbox mode","Xbox One","1923-08-13"
"Disney Interactive Studios","Disney Infinity","Toys-to-life","Xbox One","1923-08-13"
"Klei Entertainment","Don't Starve","Action-adventure game","Xbox One","1924-06-15"
"Klei Entertainment","Don't Starve","Survival game","Xbox One","1924-06-15"
"EA Sports","FIFA 14","Sports game","Xbox One","1924-09-13"
"Deep Silver","Saints Row IV","Action-adventure game","Xbox One","1923-01-15"
"2K Sports","WWE 2K15","Fighting game","Xbox One","1921-11-14"
"2K Sports","WWE 2K15","Fighting game","Xbox One","1931-10-14"
"Digital Extremes","Warframe","Third-person shooter","Xbox One","1929-11-13"
"Deep Silver","Saints Row: Gat out of Hell","Action-adventure game","Xbox One","1923-01-15"
"EA Sports","Madden NFL 25","Sports video game","Xbox One","1929-11-13"
"2K Sports","NBA 2K14","Sports game","Xbox One","1922-11-13"
"2K Sports","NBA 2K14","Sports game","Xbox One","1929-11-13"
"Deep Silver","Mighty No. 9","Action game","Xbox One","1924-06-16"
"Deep Silver","Mighty No. 9","Platform game","Xbox One","1924-06-16"
"THQ","Metro 2033 (video game)","First-person shooter","Xbox One","1929-08-14"
"Deep Silver","Metro 2033 (video game)","First-person shooter","Xbox One","1929-08-14"
"THQ","Metro 2033 (video game)","Survival horror","Xbox One","1929-08-14"
"Deep Silver","Metro 2033 (video game)","Survival horror","Xbox One","1929-08-14"
"Activision","Prototype 2","Action-adventure game","Xbox One","1927-07-12"
"2K Games","XCOM 2","Turn-based tactics","Xbox One","1930-09-16"
"Focus Home Interactive","Contrast (video game)","Puzzle game","Xbox One","1929-11-13"
"Focus Home Interactive","Contrast (video game)","Platform game","Xbox One","1929-11-13"
"Capcom","Dead Rising (video game)","Beat 'em up","Xbox One","2006-08-08"
"Capcom","Dead Rising (video game)","Survival horror","Xbox One","2006-08-08"
"Capcom","Devil May Cry 4","Action-adventure game","Xbox One","1923-06-15"
"Capcom","Devil May Cry 4","Action-adventure game","Xbox One","2008-01-31"
"Capcom","Devil May Cry 4","Action-adventure game","Xbox One","2008-07-08"
"Capcom","Devil May Cry 4","Hack and slash","Xbox One","1923-06-15"
"Capcom","Devil May Cry 4","Hack and slash","Xbox One","2008-01-31"
"Capcom","Devil May Cry 4","Hack and slash","Xbox One","2008-07-08"
"Capcom","Resident Evil 5","Third-person shooter","Xbox One","2009-03-05"
"Capcom","Resident Evil 5","Survival horror","Xbox One","2009-03-05"
"Capcom","Resident Evil Zero","Survival horror","Xbox One","2002-11-12"
"Image & Form","SteamWorld Heist","Action-adventure game","Xbox One","1930-09-16"
