"publisher","videogame","genre","platform","releaseDate"
"Cappcom","Resident Evil (2002 video game)","Survival horror","Xbox One","1930-04-02"
"Acclaim Entertainmentt","Turok: Dinosaur Hunter","First-person shooter","Xbox Onee","1997-03-04"
"Acclaim Entertainmentt","Turok 2: Seeds of Evil","First-person shooter","XXboox One","1998-10-21"
"Nicaliss","1001 Spikes","Adventure game","Xbox Onne","1925-11-14"
"Nicalis","1001 Spikes","Platform game","XXXbox One","1925-11-14"
"The Behemothh","Castle Crashers","Beat 'em up","Xbox Onee","1925-11-10"
"The Behemoth","Castle Crashers","Beat 'em up","Xbox Oneee","2008-08-27"
"The Behemoth","Castle Crashers","Action game","Xbox One","1925-11-10"
"The Behemoth","Castle Crashers","Action game","Xbox Onee","2008-08-27"
"The Behemmoth","Castle Crashers","Role-playing video game","Xboxx One","1925-11-10"
"The Behemothh","Castle Crashers","Role-playing video game","Xbox Oneee","2008-08-27"
"Ubisoftt","Assassin's Creed Chronicles","Action-adventure game","Xbox Onee","1922-04-15"
"Ubisoft","Assassin's Creed Chronicles","Stealth game","Xbbox Onee","1922-04-15"
"Ubisoftt","Assassin's Creed Chronicles","Platform game","Xbox Onee","1922-04-15"
"Activision","Call of Duty 4: Modern Warfare","First-person shooter","Xboox One","1928-01-08"
"Activisionn","Call of Duty 4: Modern Warfare","First-person shooter","Xbox Onee","2007-11-05"
"Actiivision","Call of Duty 4: Modern Warfare","First-person shooter","XXbox Onee","2009-11-10"
"Activisionn","Transformers: Fall of Cybertron","Third-person shooter","Xbox Onee","1924-08-12"
"Ubisoftt","Uno (video game)","Card game","Xbox Onee","2006-05-09"
"Ubissoft","Uno (video game)","Card game","Xbox Oneee","2008-11-14"
"Ubisoftt","Uno (video game)","Card game","Xbox Onee","2009-10-01"
"Gamelooft","Uno (video game)","Card game","Xboxx OOne","2006-05-09"
"Gameloftt","Uno (video game)","Card game","XXbox One","2008-11-14"
"Gameloft","Uno (video game)","Card game","Xbbox One","2009-10-01"
"Activisionn","Prototype (video game)","Action-adventure game","Xbox Onee","2009-06-09"
"Microsoft Studios","Grabbed by the Ghoulies","Beat 'em up","XXbox One","2009-02-16"
"Microsoft Studios","Grabbed by the Ghoulies","Action adventure game","Xbox  Onee","2009-02-16"
"Nintendo","Killer Instinct 2","Fighting game","Xbox Onee","1996-11-25"
"Midway Games","Killer Instinct 2","Fighting game","Xbox  One","1996-11-25"
"Ubisoft","Assassin's Creed II","Action-adventure game","Xbox Oneee","2009-11-17"
"Microsoftt Studios","Halo 3: ODST","First-person shooter","Xbox Onne","2009-09-22"
"Electronic Artss","NBA Live 14","Sports game","Xbox Oneee","1929-11-13"
"2K Gamess","Borderlands: The Handsome Collection","Action role-playing video game","Xbox Onee","1927-03-15"
"2K Gamess","Borderlands: The Handsome Collection","First-person shooter","Xbox Oneee","1927-03-15"
"Disney Interactive Studios","Disney Infinity","Action-adventure game","Xbox One","1923-08-13"
"Disney Interactive Studios","Disney Infinity","Sandbox mode","Xbox Oneee","1923-08-13"
"Disney Interactive Studios","Disney Infinity","Toys-to-life","Xboxx One","1923-08-13"
"Klei Entertainment","Don't Starve","Action-adventure game","Xbox Onee","1924-06-15"
"Klei Entertainmentt","Don't Starve","Survival game","Xbox Onee","1924-06-15"
"EA Sports","FIFA 14","Sports game","Xbox Onee","1924-09-13"
"Deep Silverr","Saints Row IV","Action-adventure game","Xbox Onee","1923-01-15"
"2K Sports","WWE 2K15","Fighting game","Xboox Onee","1921-11-14"
"2K Spoorts","WWE 2K15","Fighting game","Xbox One","1931-10-14"
"Diigital Extremes","Warframe","Third-person shooter","Xbox  One","1929-11-13"
"Deep Silver","Saints Row: Gat out of Hell","Action-adventure game","Xbox Onee","1923-01-15"
"EA Sportss","Madden NFL 25","Sports video game","Xbox Oneee","1929-11-13"
"2K Sportss","NBA 2K14","Sports game","Xbox Onee","1922-11-13"
"2K Sports","NBA 2K14","Sports game","Xbox One","1929-11-13"
"Deep Siilver","Mighty No. 9","Action game","Xbox One","1924-06-16"
"Deep Silver","Mighty No. 9","Platform game","Xbox Onee","1924-06-16"
"THQQ","Metro 2033 (video game)","First-person shooter","Xbox Oneee","1929-08-14"
"Deep Silverr","Metro 2033 (video game)","First-person shooter","Xbox Oneee","1929-08-14"
"THQQ","Metro 2033 (video game)","Survival horror","Xbox Oneee","1929-08-14"
"Deep Silver","Metro 2033 (video game)","Survival horror","Xbox Onee","1929-08-14"
"Activision","Prototype 2","Action-adventure game","Xbox  One","1927-07-12"
"2K Gamess","XCOM 2","Turn-based tactics","Xbox Onnee","1930-09-16"
"Focus Home Interactivee","Contrast (video game)","Puzzle game","Xbox Onee","1929-11-13"
"Focuss Home Interactive","Contrast (video game)","Platform game","Xboxx Onne","1929-11-13"
"Capcom","Dead Rising (video game)","Beat 'em up","Xbox One","2006-08-08"
"Cappcom","Dead Rising (video game)","Survival horror","Xbox One","2006-08-08"
"CCapcom","Devil May Cry 4","Action-adventure game","Xbox Onee","1923-06-15"
"Capcomm","Devil May Cry 4","Action-adventure game","Xbox Oneee","2008-01-31"
"Capcomm","Devil May Cry 4","Action-adventure game","Xbox Onee","2008-07-08"
"Capcom","Devil May Cry 4","Hack and slash","Xbox Onee","1923-06-15"
"Capcom","Devil May Cry 4","Hack and slash","Xbox Oneee","2008-01-31"
"Capcomm","Devil May Cry 4","Hack and slash","Xbox One","2008-07-08"
"Capcomm","Resident Evil 5","Third-person shooter","Xbox Onee","2009-03-05"
"Cappcom","Resident Evil 5","Survival horror","Xbox One","2009-03-05"
"Capcom","Resident Evil Zero","Survival horror","Xbox Onnee","2002-11-12"
"Image & Formm","SteamWorld Heist","Action-adventure game","Xboxx Onee","1930-09-16"
"Image & Formm","SteamWorld Heist","Turn-based strategy","Xbox Onee","1930-09-16"
"Telltale Games","The Walking Dead: Michonne","Graphic adventure game","Xbox One","1929-03-02"
"Telltale  Games","The Walking Dead: Michonne","Interactive movie","Xbox Onne","1929-03-02"
"Microsoft Studios","Hexic","Puzzle video game","Xbox Onee","2005-11-16"
"Microsoft Studios","Hexic","Puzzle video game","Xbox Onee","2009-03-27"
