"protectedArea","area","visitors","nearestCity","admRegion"
"Great Basin National Park","3.12336e+08","116123","Border, Utah","Nevada"
"Florissant Fossil Beds National Monument","2.4273e+07","61289","Florissant, Colorado","Colorado"
"Golden Gate National Recreation Area","3.23757e+08","15004420","California","California"
"Rocky Mountain National Park","1.0755e+09","3176941","Colorado","Colorado"
"Dayton Aviation Heritage National Historical Park","348030.0","73588","Dayton, Ohio","Ohio"
"Moores Creek National Battlefield","356123.0","48406","North Carolina","North Carolina"
"Dayton Aviation Heritage National Historical Park","348030.0","73588","Ohio","Ohio"
"Great Basin National Park","3.12336e+08","116123","Baker, Nevada","Nevada"
"Chattahoochee River National Recreation Area","2.05257e+07","3161297","Atlanta, Georgia","Georgia (U.S. state)"
"Chattahoochee River National Recreation Area","3.96228e+07","3161297","Atlanta, Georgia","Georgia (U.S. state)"
"Kennesaw Mountain National Battlefield Park","1.16879e+07","1005510","Atlanta, Georgia","Georgia (U.S. state)"
"Kennesaw Mountain National Battlefield Park","1.1829e+07","1005510","Atlanta, Georgia","Georgia (U.S. state)"
"Cuyahoga Valley National Park","1.33344e+08","2284612","Akron, Ohio","Ohio"
"Great Sand Dunes National Park and Preserve","3.43971e+08","271774","Alamosa, Colorado","Colorado"
"Death Valley National Park","1.36503e+10","1101312","Beatty, Nevada","California"
"Death Valley National Park","1.36503e+10","1101312","Beatty, Nevada","Nevada"
"Bighorn Canyon National Recreation Area","4.86822e+08","201010","Billings, Montana","Montana"
"Mammoth Cave National Park","2.13795e+08","508054","Brownsville, Kentucky","Kentucky"
"Chickamauga and Chattanooga National Military Park","3.63124e+07","901384","Chattanooga, Tennessee","Georgia (U.S. state)"
"Chickamauga and Chattanooga National Military Park","3.65674e+07","901384","Chattanooga, Tennessee","Georgia (U.S. state)"
"Indiana Dunes National Lakeshore","6.0974e+07","2127336","Chesterton, Indiana","LaPorte County, Indiana"
"Indiana Dunes National Lakeshore","6.0974e+07","2127336","Chesterton, Indiana","Lake County, Indiana"
"Indiana Dunes National Lakeshore","6.0974e+07","2127336","Chesterton, Indiana","Porter County, Indiana"
"Glacier National Park","4.10077e+09","2338528","Columbia Falls, Montana","Montana"
"Wrangell–St. Elias National Park and Preserve","1.9638e+10","87158","Copper Center, Alaska","Alaska"
"Wrangell–St. Elias National Park and Preserve","3.36826e+10","87158","Copper Center, Alaska","Alaska"
"Wrangell–St. Elias National Park and Preserve","5.33206e+10","87158","Copper Center, Alaska","Alaska"
"Great Basin National Park","3.12336e+08","116123","Ely, Nevada","Nevada"
"Ozark National Scenic Riverways","3.23749e+08","1789783","Eminence, Missouri","Missouri"
"Tallgrass Prairie National Preserve","4.40865e+07","17615","Emporia, Kansas","Chase County, Kansas"
"Rocky Mountain National Park","1.0755e+09","3176941","Estes Park, Colorado","Colorado"
"Yukon-Charley Rivers National Preserve","1.02204e+10","1393","Fairbanks, Alaska","Alaska"
"Little River Canyon National Preserve","6.18683e+07","201442","Fort Payne, Alabama","Alabama"
"Fort Smith National Historic Site","303514.0","86122","Fort Smith, Arkansas","Arkansas"
"Fredericksburg and Spotsylvania National Military Park","3.38884e+07","534636","Fredericksburg, Virginia","Virginia"
"Kings Canyon National Park","1.86925e+09","566810","Fresno, California","California"
"Kings Canyon National Park","1.86925e+09","566810","Fresno, California","Fresno County, California"
"Rocky Mountain National Park","1.0755e+09","3176941","Grand Lake, Colorado","Colorado"
"Hagerman Fossil Beds National Monument","1.76079e+07","21100","Hagerman, Idaho","Idaho"
"Cape Lookout National Seashore","1.14295e+08","508116","Harkers Island, North Carolina","Carteret County, North Carolina"
"Denali National Park and Preserve","5.27808e+09","531315","Healy, Alaska","Alaska"
"Denali National Park and Preserve","1.91858e+10","531315","Healy, Alaska","Alaska"
"Voyageurs National Park","8.83024e+08","177184","International Falls, Minnesota","Minnesota"
"Glacier Bay National Park and Preserve","1.30446e+10","551353","Juneau, Alaska","Alaska"
"Katmai National Park and Preserve","1.65641e+10","39818","King Salmon, Alaska","Alaska"
"Bering Land Bridge National Preserve","1.0916e+10","2642","Kotzebue, Alaska","Alaska"
"Noatak National Preserve","2.65875e+10","31000","Kotzebue, Alaska","Alaska"
"Jean Lafitte National Historical Park and Preserve","4.31638e+07","420366","Lafayette, Louisiana","Louisiana"
"Jean Lafitte National Historical Park and Preserve","8.10181e+07","420366","Lafayette, Louisiana","Louisiana"
"Fort Union National Monument","2.91616e+06","9575","Las Vegas, New Mexico","New Mexico"
"Nez Perce National Historical Park","1.84577e+07","286259","Lewiston, Idaho","Idaho"
"Nez Perce National Historical Park","1.84577e+07","286259","Lewiston, Idaho","Montana"
"Death Valley National Park","1.36503e+10","1101312","Lone Pine, California","California"
"Death Valley National Park","1.36503e+10","1101312","Lone Pine, California","Nevada"
"Yosemite National Park","3.02719e+09","4150217","Mariposa, California","California"
"Theodore Roosevelt National Park","2.85085e+08","563407","Medora, North Dakota","North Dakota"
"Cumberland Gap National Historical Park","8.29929e+07","853998","Middlesboro, Kentucky","Tennessee"
"Cumberland Gap National Historical Park","8.29929e+07","853998","Middlesboro, Kentucky","Virginia"
"Cumberland Gap National Historical Park","8.29929e+07","853998","Middlesboro, Kentucky","Kentucky"
"Cape Hatteras National Seashore","1.22826e+08","1960711","Nags Head, North Carolina","North Carolina"
"Jean Lafitte National Historical Park and Preserve","4.31638e+07","420366","New Orleans","Louisiana"
"Jean Lafitte National Historical Park and Preserve","8.10181e+07","420366","New Orleans","Louisiana"
"Petersburg National Battlefield","1.10884e+07","213261","Petersburg, Virginia","Virginia"
"Delaware Water Gap National Recreation Area","2.70091e+08","4986700","Port Jervis, New York","New Jersey"
"Whiskeytown–Shasta–Trinity National Recreation Area","8.23887e+08","782014","Redding, California","California"
"Lassen Volcanic National Park","4.30796e+08","407653","Redding, California","California"
"Ozark National Scenic Riverways","3.23749e+08","1789783","Salem, Missouri","Missouri"
"Golden Gate National Recreation Area","3.23757e+08","15004420","San Francisco","California"
"Channel Islands National Park","1.00994e+09","342161","Santa Barbara, California","California"
"Kenai Fjords National Park","2.71133e+09","281279","Seward, Alaska","Alaska"
"Klondike Gold Rush National Historical Park","5.25929e+07","860048","Skagway, Alaska","Alaska"
"Pinnacles National Park","1.07671e+08","224476","Soledad, California","California"
"Lassen Volcanic National Park","4.30796e+08","407653","Susanville, California","California"
"Lava Beds National Monument","1.88956e+08","124113","Tulelake, California","California"
"Niobrara National Scenic River","9.33772e+07","54385","Valentine, Nebraska","Nebraska"
"Ozark National Scenic Riverways","3.23749e+08","1789783","Van Buren, Missouri","Missouri"
"Moores Creek National Battlefield","356123.0","48406","Wilmington, North Carolina","North Carolina"
"Weir Farm National Historic Site","242811.0","34802","Wilton, Connecticut","Connecticut"
"Acadia National Park","3.77665e+06","2811184","Bar Harbor, Maine","Maine"
"Acadia National Park","1.98296e+08","2811184","Bar Harbor, Maine","Maine"
"New River Gorge National River","2.94644e+08","1128195","Beckley, West Virginia","West Virginia"
"George Washington Birthplace National Monument","2.6778e+06","130647","Colonial Beach, Virginia","Virginia"
"Saint Croix National Scenic Riverway","3.75297e+08","521695","St. Croix Falls, Wisconsin","Minnesota"
"Marsh-Billings-Rockefeller National Historical Park","2.60213e+06","29049","Woodstock, Vermont","Vermont"
"Mojave National Preserve","6.22413e+09","542527","Baker, California","California"
"Klondike Gold Rush National Historical Park","5.25929e+07","860048","Seattle","Alaska"
"Prince William Forest Park","6.50896e+07","379535","Dumfries, VA","Virginia"
"Sand Creek Massacre National Historic Site","5.09216e+07","1229590","Eads, CO","Colorado"
"Curecanti National Recreation Area","1.74399e+08","924468","Gunnison, CO","Colorado"
"Agate Fossil Beds National Monument","4.70123e+07","11824","Harrison, NE","Nebraska"
"Great Smoky Mountains National Park","2.11415e+09","10712674","Gatlinburg, Tennessee","Tennessee"
"Great Smoky Mountains National Park","2.11415e+09","10712674","Gatlinburg, Tennessee","North Carolina"
"Ninety Six National Historic Site","4.13589e+06","28734","Greenwood, South Carolina","South Carolina"
"Puuhonua o Hōnaunau National Historical Park","1.69968e+06","442353","Holualoa, Hawaii","Hawaii"
"Wind Cave National Park","1.36974e+08","591049","Hot Springs, South Dakota","South Dakota"
"Delaware Water Gap National Recreation Area","2.70091e+08","4986700","Stroudsburg, Pennsylvania","New Jersey"
"Minuteman Missile National Historic Site","60702.8","59389","Wall, South Dakota","South Dakota"
"Great Smoky Mountains National Park","2.11415e+09","10712674","Cherokee, North Carolina","Tennessee"
"Great Smoky Mountains National Park","2.11415e+09","10712674","Cherokee, North Carolina","North Carolina"
"Upper Delaware Scenic and Recreational River","2.24904e+08","251083","Port Jervis, NY","Pennsylvania"
"Perry's Victory and International Peace Memorial","101050.0","155689","Sandusky, Ohio","Ohio"
"Perry's Victory and International Peace Memorial","102709.0","155689","Sandusky, Ohio","Ohio"
"Cuyahoga Valley National Park","1.33344e+08","2284612","Cleveland, Ohio","Ohio"
"Lake Clark National Park and Preserve","1.63089e+10","11639","Anchorage, Alaska","Alaska"
"Glen Canyon National Recreation Area","5.07523e+09","2270817","Bullfrog, Utah","Garfield County, Utah"
"Cape Cod National Seashore","1.76472e+08","4426750","Barnstable, Massachusetts","Barnstable County, Massachusetts"
"Rocky Mountain National Park","1.0755e+09","3176941","Colorado","Boulder County, Colorado"
"Rocky Mountain National Park","1.0755e+09","3176941","Colorado","Grand County, Colorado"
"Dayton Aviation Heritage National Historical Park","348030.0","73588","Dayton, Ohio","Greene County, Ohio"
"Dayton Aviation Heritage National Historical Park","348030.0","73588","Ohio","Greene County, Ohio"
"Lewis and Clark National and State Historical Parks","1.33668e+07","191867","Portland, Oregon","Clatsop County, Oregon"
"Chattahoochee River National Recreation Area","2.05257e+07","3161297","Atlanta, Georgia","Cobb County, Georgia"
"Chattahoochee River National Recreation Area","3.96228e+07","3161297","Atlanta, Georgia","Cobb County, Georgia"
"Chattahoochee River National Recreation Area","2.05257e+07","3161297","Atlanta, Georgia","Forsyth County, Georgia"
"Chattahoochee River National Recreation Area","3.96228e+07","3161297","Atlanta, Georgia","Forsyth County, Georgia"
"Chattahoochee River National Recreation Area","2.05257e+07","3161297","Atlanta, Georgia","Fulton County, Georgia"
"Chattahoochee River National Recreation Area","3.96228e+07","3161297","Atlanta, Georgia","Fulton County, Georgia"
"Chattahoochee River National Recreation Area","2.05257e+07","3161297","Atlanta, Georgia","Gwinnett County, Georgia"
"Chattahoochee River National Recreation Area","3.96228e+07","3161297","Atlanta, Georgia","Gwinnett County, Georgia"
"Kennesaw Mountain National Battlefield Park","1.16879e+07","1005510","Atlanta, Georgia","Cobb County, Georgia"
