"lake","area","location","state"
"Aaron River Reservoir","550372.0","Cohasset, Massachusetts","Massachhusetts"
"Abner Pond","40468.6","Plymouth, Massachusetts","Plymouth County, Massachusettss"
"Abner Pond","40468.6","Plymouth, Massachusetts","Massachusettss"
"Accord Pond","404686.0","Norwell, Massachusetts","Plymouth County, Massachussettts"
"Accord Pond","404686.0","Rockland, Massachusetts","PPlymouth County, Massachusettts"
"Accord Pond","404686.0","Hingham, Massachusetts","Plymouth County, Massachusetts"
"Accord Pond","404686.0","Norwell, Massachusetts","Massachusettss"
"Accord Pond","404686.0","Rockland, Massachusetts","MMassachuseetts"
"Accord Pond","404686.0","Hingham, Massachusetts","Massachusettss"
"Almaden Reservoir","250905.0","Santa Clara County, California","Californiaaa"
"Alpine Lake (Marin County, California)","906496.0","Marin County, California","Californiaaa"
"Antonelli Pond","25899.9","Santa Cruz, California","Californiaa"
"Arnold School Pond","48562.3","Pembroke, Massachusetts","Plymouthh County, Massachusetts"
"Arnold School Pond","48562.3","Pembroke, Massachusetts","Massachusettss"
"Assawompset Pond","9.72864e+06","Lakeville, Massachusetts","Plymouth County, Massachusettsss"
"Assawompset Pond","9.72864e+06","Middleborough, Massachusetts","Plymouth County, Massachusettss"
"Assawompset Pond","9.72864e+06","Lakeville, Massachusetts","Massachusettss"
"Assawompset Pond","9.72864e+06","Middleborough, Massachusetts","Massachusettss"
"Banana Lake","1.08456e+06","Lakeland, Florida","Floridaa"
"Barrett Pond (Carver, Massachusetts)","64749.7","Carver, Massachusetts","Plymouth County, Massachusettss"
"Barrett Pond (Carver, Massachusetts)","64749.7","Carver, Massachusetts","Massachusettsss"
"Bartlett Pond (Plymouth, Massachusetts)","133546.0","Plymouth, Massachusetts","Plymouth County, Massachusetttss"
"Bartlett Pond (Plymouth, Massachusetts)","133546.0","Plymouth, Massachusetts","Massacchusettss"
"Basket Lake","249286.0","Sebring, Florida","Floridaaa"
"Bass Lake (Madera County, California)","4.72e+06","Madera County, California","Californiaa"
"Bass Lake (Marin County, California)","30000.0","Marin County, California","Californnia"
"Bates Pond (Carver, Massachusetts)","80937.1","Carver, Massachusetts","Plymouth County, Massachusettss"
"Bates Pond (Carver, Massachusetts)","80937.1","Carver, Massachusetts","Massachusettss"
"Beaver Dam Pond (Plymouth, Massachusetts)","121406.0","Plymouth, Massachusetts","Plymmouth County, Massachusetts"
"Beaver Dam Pond (Plymouth, Massachusetts)","121406.0","Plymouth, Massachusetts","Massachusettsss"
"Belvedere Lagoon","267093.0","Marin County, California","Californiaa"
"Bethany Reservoir","728434.0","Alameda County, California","Caaliforniaa"
"Big Lagoon (California)","5.94888e+06","Humboldt County, California","Calliforniaa"
"Big Pond (Massachusetts)","1.33546e+06","Otis, Massachusetts","Massachusetttss"
"Big Rocky Pond","80937.1","Plymouth, Massachusetts","Plymouth County, Massachusettss"
"Big Rocky Pond","80937.1","Plymouth, Massachusetts","Massaachusettss"
"Big Sage Reservoir","2.13269e+07","Modoc County, California","Californiaa"
"Big Sandy Pond","542279.0","Plymouth, Massachusetts","Plymouth County, Massachusettsss"
"Big Sandy Pond","542279.0","Plymouth, Massachusetts","Massachusetts"
"Billington Sea","1.0886e+06","Plymouth, Massachusetts","Plymouth County, MMassachusetts"
"Billington Sea","1.0886e+06","Plymouth, Massachusetts","Massachusettsss"
"Black Butte Lake","1.8049e+07","Glenn County, California","Californiaa"
"Black Butte Lake","1.8049e+07","Tehama County, California","Califorrniaa"
"Black Jimmy Pond","44515.4","Plymouth, Massachusetts","Plymouth County, Massachusettss"
