"band","startYear","label","labelFounder","occupation"
"Glen Campbell","1958","Capitol Records","Buddy DeSylva","Songwriter"
"Glen Campbell","1958","Atlantic Records","Ahmet Ertegün","Songwriter"
"Glen Campbell","1958","Atlantic Records","Ahmet Ertegun","Songwriter"
"Glen Campbell","1958","Capitol Records","Johnny Mercer","Songwriter"
"Glen Campbell","1958","Atlantic Records","Ahmet Ertegün","Composer"
"Glen Campbell","1958","Atlantic Records","Ahmet Ertegun","Composer"
"The Beatles","1960","Capitol Records","Buddy DeSylva","Songwriter"
"The Beatles","1960","Capitol Records","Johnny Mercer","Songwriter"
"The Beach Boys","1961","Capitol Records","Buddy DeSylva","Songwriter"
"The Beach Boys","1961","Capitol Records","Johnny Mercer","Songwriter"
"The Rolling Stones","1962","Virgin Records","Tom Newman","Musician"
"The Hollies","1962","Capitol Records","Buddy DeSylva","Songwriter"
"Labelle","1962","Cameo-Parkway Records","Kal Mann","Songwriter"
"The Magic Lanterns","1962","Atlantic Records","Ahmet Ertegün","Songwriter"
"The Magic Lanterns","1962","Atlantic Records","Ahmet Ertegun","Songwriter"
"Labelle","1962","Atlantic Records","Ahmet Ertegun","Songwriter"
"Labelle","1962","Atlantic Records","Ahmet Ertegün","Songwriter"
"The Hollies","1962","Capitol Records","Johnny Mercer","Songwriter"
"The Magic Lanterns","1962","Atlantic Records","Ahmet Ertegün","Composer"
"The Magic Lanterns","1962","Atlantic Records","Ahmet Ertegun","Composer"
"Labelle","1962","Atlantic Records","Ahmet Ertegun","Composer"
"Labelle","1962","Atlantic Records","Ahmet Ertegün","Composer"
"Terry Knight","1963","Capitol Records","Buddy DeSylva","Songwriter"
"David and the Giants","1963","Capitol Records","Buddy DeSylva","Songwriter"
"Five Man Electrical Band","1963","Capitol Records","Buddy DeSylva","Songwriter"
"The Animals","1963","Atlantic Records","Ahmet Ertegun","Songwriter"
"The Animals","1963","Atlantic Records","Ahmet Ertegün","Songwriter"
"Terry Knight","1963","Capitol Records","Johnny Mercer","Songwriter"
"David and the Giants","1963","Capitol Records","Johnny Mercer","Songwriter"
"Five Man Electrical Band","1963","Capitol Records","Johnny Mercer","Songwriter"
"The Animals","1963","Atlantic Records","Ahmet Ertegün","Composer"
"The Animals","1963","Atlantic Records","Ahmet Ertegun","Composer"
"The Who","1964","Virgin Records","Tom Newman","Musician"
"The Human Beinz","1964","Capitol Records","Buddy DeSylva","Songwriter"
"MC5","1964","Atlantic Records","Ahmet Ertegün","Songwriter"
"MC5","1964","Atlantic Records","Ahmet Ertegun","Songwriter"
"The Human Beinz","1964","Capitol Records","Johnny Mercer","Songwriter"
"MC5","1964","Atlantic Records","Ahmet Ertegün","Composer"
"MC5","1964","Atlantic Records","Ahmet Ertegun","Composer"
"Copperpenny","1965","Capitol Records","Buddy DeSylva","Songwriter"
"The Move","1965","Capitol Records","Buddy DeSylva","Songwriter"
"Stone Poneys","1965","Capitol Records","Buddy DeSylva","Songwriter"
"Terry Knight and the Pack","1965","Cameo-Parkway Records","Kal Mann","Songwriter"
"The Rascals","1965","Atlantic Records","Ahmet Ertegun","Songwriter"
"Small Faces","1965","Atlantic Records","Ahmet Ertegün","Songwriter"
"The Rascals","1965","Atlantic Records","Ahmet Ertegün","Songwriter"
"Small Faces","1965","Atlantic Records","Ahmet Ertegun","Songwriter"
"Daryl Hall","1965","Atlantic Records","Ahmet Ertegun","Songwriter"
"Daryl Hall","1965","Atlantic Records","Ahmet Ertegün","Songwriter"
"Copperpenny","1965","Capitol Records","Johnny Mercer","Songwriter"
"The Move","1965","Capitol Records","Johnny Mercer","Songwriter"
"Stone Poneys","1965","Capitol Records","Johnny Mercer","Songwriter"
"Small Faces","1965","Atlantic Records","Ahmet Ertegun","Composer"
"The Rascals","1965","Atlantic Records","Ahmet Ertegun","Composer"
"The Rascals","1965","Atlantic Records","Ahmet Ertegün","Composer"
"Small Faces","1965","Atlantic Records","Ahmet Ertegün","Composer"
"Daryl Hall","1965","Atlantic Records","Ahmet Ertegün","Composer"
"Daryl Hall","1965","Atlantic Records","Ahmet Ertegun","Composer"
"Genesis","1967","Virgin Records","Tom Newman","Musician"
"Dr. Hook & the Medicine Show","1967","Capitol Records","Buddy DeSylva","Songwriter"
"The J. Geils Band","1967","Atlantic Records","Ahmet Ertegun","Songwriter"
"The J. Geils Band","1967","Atlantic Records","Ahmet Ertegün","Songwriter"
"Cartoone","1967","Atlantic Records","Ahmet Ertegun","Songwriter"
"Cartoone","1967","Atlantic Records","Ahmet Ertegün","Songwriter"
"Genesis","1967","Atlantic Records","Ahmet Ertegun","Songwriter"
"Genesis","1967","Atlantic Records","Ahmet Ertegün","Songwriter"
"Dr. Hook & the Medicine Show","1967","Capitol Records","Johnny Mercer","Songwriter"
"The J. Geils Band","1967","Atlantic Records","Ahmet Ertegün","Composer"
"The J. Geils Band","1967","Atlantic Records","Ahmet Ertegun","Composer"
"Genesis","1967","Atlantic Records","Ahmet Ertegun","Composer"
"Genesis","1967","Atlantic Records","Ahmet Ertegün","Composer"
"Cartoone","1967","Atlantic Records","Ahmet Ertegun","Composer"
"Cartoone","1967","Atlantic Records","Ahmet Ertegün","Composer"
"Ashton, Gardner and Dyke","1968","Capitol Records","Buddy DeSylva","Songwriter"
"Goose Creek Symphony","1968","Capitol Records","Buddy DeSylva","Songwriter"
"Crosby, Stills, Nash & Young","1968","Atlantic Records","Ahmet Ertegün","Songwriter"
"Crosby, Stills, Nash & Young","1968","Atlantic Records","Ahmet Ertegun","Songwriter"
"Ashton, Gardner and Dyke","1968","Capitol Records","Johnny Mercer","Songwriter"
"Goose Creek Symphony","1968","Capitol Records","Johnny Mercer","Songwriter"
"Crosby, Stills, Nash & Young","1968","Atlantic Records","Ahmet Ertegun","Composer"
"Crosby, Stills, Nash & Young","1968","Atlantic Records","Ahmet Ertegün","Composer"
"Brinsley Schwarz","1969","Capitol Records","Buddy DeSylva","Songwriter"
"Lydia Pense and Cold Blood","1969","Atlantic Records","Ahmet Ertegün","Songwriter"
"Lydia Pense and Cold Blood","1969","Atlantic Records","Ahmet Ertegun","Songwriter"
"Brownsville Station","1969","Atlantic Records","Ahmet Ertegun","Songwriter"
"Brownsville Station","1969","Atlantic Records","Ahmet Ertegün","Songwriter"
"Brinsley Schwarz","1969","Capitol Records","Johnny Mercer","Songwriter"
"Brownsville Station","1969","Atlantic Records","Ahmet Ertegun","Composer"
"Lydia Pense and Cold Blood","1969","Atlantic Records","Ahmet Ertegün","Composer"
"Brownsville Station","1969","Atlantic Records","Ahmet Ertegün","Composer"
"Lydia Pense and Cold Blood","1969","Atlantic Records","Ahmet Ertegun","Composer"
"Eela Craig","1970","Virgin Records","Tom Newman","Musician"
"The Bloomfields","1970","Capitol Records","Buddy DeSylva","Songwriter"
"America","1970","Capitol Records","Buddy DeSylva","Songwriter"
"Queen","1970","Capitol Records","Buddy DeSylva","Songwriter"
"The Doobie Brothers","1970","Capitol Records","Buddy DeSylva","Songwriter"
"Crosby & Nash","1970","Atlantic Records","Ahmet Ertegun","Songwriter"
"Crosby & Nash","1970","Atlantic Records","Ahmet Ertegün","Songwriter"
"The Bloomfields","1970","Capitol Records","Johnny Mercer","Songwriter"
"America","1970","Capitol Records","Johnny Mercer","Songwriter"
"Queen","1970","Capitol Records","Johnny Mercer","Songwriter"
"The Doobie Brothers","1970","Capitol Records","Johnny Mercer","Songwriter"
"Crosby & Nash","1970","Atlantic Records","Ahmet Ertegun","Composer"
"Crosby & Nash","1970","Atlantic Records","Ahmet Ertegün","Composer"
"Wings","1971","Capitol Records","Buddy DeSylva","Songwriter"
"Wings","1971","Capitol Records","Johnny Mercer","Songwriter"
"Heavy Metal Kids","1972","Capitol Records","Buddy DeSylva","Songwriter"
"The Tubes","1972","Capitol Records","Buddy DeSylva","Songwriter"
"The Rockets","1972","Capitol Records","Buddy DeSylva","Songwriter"
"Mama's Pride","1972","Atlantic Records","Ahmet Ertegun","Songwriter"
"Mama's Pride","1972","Atlantic Records","Ahmet Ertegün","Songwriter"
"Average White Band","1972","Atlantic Records","Ahmet Ertegün","Songwriter"
"Average White Band","1972","Atlantic Records","Ahmet Ertegun","Songwriter"
"Heavy Metal Kids","1972","Capitol Records","Johnny Mercer","Songwriter"
"The Tubes","1972","Capitol Records","Johnny Mercer","Songwriter"
"The Rockets","1972","Capitol Records","Johnny Mercer","Songwriter"
"Mama's Pride","1972","Atlantic Records","Ahmet Ertegun","Composer"
"Mama's Pride","1972","Atlantic Records","Ahmet Ertegün","Composer"
"Average White Band","1972","Atlantic Records","Ahmet Ertegün","Composer"
"Average White Band","1972","Atlantic Records","Ahmet Ertegun","Composer"
"Terry Draper","1973","Capitol Records","Buddy DeSylva","Songwriter"
"Television","1973","Capitol Records","Buddy DeSylva","Songwriter"
"Bad Company","1973","Atlantic Records","Ahmet Ertegun","Songwriter"
"Bad Company","1973","Atlantic Records","Ahmet Ertegün","Songwriter"
"Terry Draper","1973","Capitol Records","Johnny Mercer","Songwriter"
"Television","1973","Capitol Records","Johnny Mercer","Songwriter"
"Bad Company","1973","Atlantic Records","Ahmet Ertegun","Composer"
"Bad Company","1973","Atlantic Records","Ahmet Ertegün","Composer"
"Heart","1974","Capitol Records","Buddy DeSylva","Songwriter"
"Beau Dommage","1974","Capitol Records","Buddy DeSylva","Songwriter"
"Mink DeVille","1974","Capitol Records","Buddy DeSylva","Songwriter"
"Mink DeVille","1974","Atlantic Records","Ahmet Ertegün","Songwriter"
