"musician","genre","instrument"
"""Baby Face"" Leroy Foster","Blues","Human voice"
"""Baby Face"" Leroy Foster","Blues","Drum"
"""Baby Face"" Leroy Foster","Blues","Guitar"
"""Blue"" or ""The Lion of the Blues""","R&B","Harmonica"
"""Blue"" or ""The Lion of the Blues""","R&B","Singing"
"""Blue"" or ""The Lion of the Blues""","Blues","Harmonica"
"""Blue"" or ""The Lion of the Blues""","Blues","Singing"
"""Blue"" or ""The Lion of the Blues""","Soul blues","Harmonica"
"""Blue"" or ""The Lion of the Blues""","Soul blues","Singing"
"""Blue"" or ""The Lion of the Blues""","Soul music","Harmonica"
"""Blue"" or ""The Lion of the Blues""","Soul music","Singing"
"""Brownsville"" Son Bonds, Brother Son Bonds","Country blues","Human voice"
"""Brownsville"" Son Bonds, Brother Son Bonds","Country blues","Guitar"
"""Brownsville"" Son Bonds, Brother Son Bonds","Country blues","Kazoo"
"""Ragtime"" Bob Roberts","Vaudeville","Vocal"
"""Ragtime"" Bob Roberts","Novelty song","Vocal"
"""Robert Junior"" Lockwood","Chicago blues","Guitar"
"""Robert Junior"" Lockwood","Chicago blues","Organ (music)"
"""Robert Junior"" Lockwood","Country blues","Guitar"
"""Robert Junior"" Lockwood","Country blues","Organ (music)"
"""Robert Junior"" Lockwood","Delta blues","Guitar"
"""Robert Junior"" Lockwood","Delta blues","Organ (music)"
"""Robert Junior"" Lockwood","Electric blues","Guitar"
"""Robert Junior"" Lockwood","Electric blues","Organ (music)"
"""Sneaky Pete""","Country music","Pedal steel guitar"
"""Snuffy"" Jenkins","Bluegrass music","Banjo"
"""Snuffy"" Jenkins","Bluegrass music","Fiddle"
"""Snuffy"" Jenkins","Bluegrass music","Guitar"
"""Snuffy"" Jenkins","Old time music","Banjo"
"""Snuffy"" Jenkins","Old time music","Fiddle"
"""Snuffy"" Jenkins","Old time music","Guitar"
"""Sooty"" Jones","Hard rock","Bass guitar"
"""Sooty"" Jones","Blues-rock","Bass guitar"
"""Spider"" John Koerner","Blues","Guitar"
"""Spider"" John Koerner","Blues","Human voice"
"""Spider"" John Koerner","Blues","Harmonica"
"""The Stork""","Cool jazz","Alto saxophone"
"""The Stork""","Cool jazz","Clarinet"
"""The Stork""","Mainstream jazz","Alto saxophone"
"""The Stork""","Mainstream jazz","Clarinet"
"""The Stork""","West Coast jazz","Alto saxophone"
"""The Stork""","West Coast jazz","Clarinet"
"""Uncle"" Lionel Batiste","Blues","Bass drum"
"""Uncle"" Lionel Batiste","Blues","Singing"
"""Uncle"" Lionel Batiste","Jazz","Bass drum"
"""Uncle"" Lionel Batiste","Jazz","Singing"
"* ChaseNDough","R&B","FL Studio"
"* ChaseNDough","R&B","Pro Tools"
"* ChaseNDough","Drill (music genre)","FL Studio"
"* ChaseNDough","Drill (music genre)","Pro Tools"
"* ChaseNDough","Trap music","FL Studio"
"* ChaseNDough","Trap music","Pro Tools"
"* ChaseNDough","Hip hop music","FL Studio"
"* ChaseNDough","Hip hop music","Pro Tools"
"* G-Eazy","Hip hop music","Vocals"
"* Jamaal Davis","Rhythm and blues","Vocals"
"* Jamaal Davis","Trap music","Vocals"
"* Jamaal Davis","Hip hop music","Vocals"
"* Lead Belly","Country blues","Stella (guitar)"
"* Lead Belly","Country blues","Accordion"
"* Lead Belly","Country blues","Guitar"
"* Lead Belly","Country blues","Piano"
"* Lead Belly","Country blues","Vocals"
"* Lead Belly","Country blues","Lap steel guitar"
"* Lead Belly","Folk music","Stella (guitar)"
"* Lead Belly","Folk music","Accordion"
"* Lead Belly","Folk music","Guitar"
"* Lead Belly","Folk music","Piano"
"* Lead Belly","Folk music","Vocals"
"* Lead Belly","Folk music","Lap steel guitar"
"* Lead Belly","Songster","Stella (guitar)"
"* Lead Belly","Songster","Accordion"
"* Lead Belly","Songster","Guitar"
"* Lead Belly","Songster","Piano"
"* Lead Belly","Songster","Vocals"
"* Lead Belly","Songster","Lap steel guitar"
"* Leadbelly","Country blues","Stella (guitar)"
"* Leadbelly","Country blues","Accordion"
"* Leadbelly","Country blues","Guitar"
"* Leadbelly","Country blues","Piano"
"* Leadbelly","Country blues","Vocals"
"* Leadbelly","Country blues","Lap steel guitar"
"* Leadbelly","Folk music","Stella (guitar)"
"* Leadbelly","Folk music","Accordion"
"* Leadbelly","Folk music","Guitar"
"* Leadbelly","Folk music","Piano"
"* Leadbelly","Folk music","Vocals"
"* Leadbelly","Folk music","Lap steel guitar"
"* Leadbelly","Songster","Stella (guitar)"
"* Leadbelly","Songster","Accordion"
