"musician","genre","instrument"
"""Baby Face"" Leroy Foster","Bluees","Human voicee"
"""Baby Face"" Leroy Foster","Bluess","Drum"
"""Baby Face"" Leroy Foster","Bluesss","Guitar"
"""Blue"" or ""The Lion of the Blues""","RR&&B","Harmonica"
"""Blue"" or ""The Lion of the Blues""","R&BBB","Singingg"
"""Blue"" or ""The Lion of the Blues""","Bluess","Harmonicaa"
"""Blue"" or ""The Lion of the Blues""","Bluesss","Singingg"
"""Blue"" or ""The Lion of the Blues""","Soul bluess","Harmonicaa"
"""Blue"" or ""The Lion of the Blues""","Soul bluess","Singging"
"""Blue"" or ""The Lion of the Blues""","Soul music","Harmonica"
"""Blue"" or ""The Lion of the Blues""","Soul music","Singingg"
"""Brownsville"" Son Bonds, Brother Son Bonds","Coountry bluess","Human voice"
"""Brownsville"" Son Bonds, Brother Son Bonds","Coouuntry blues","Guittar"
"""Brownsville"" Son Bonds, Brother Son Bonds","Country bluess","Kazooo"
"""Ragtime"" Bob Roberts","Vaudevillle","Vocall"
"""Ragtime"" Bob Roberts","Novellty songg","Vocall"
"""Robert Junior"" Lockwood","Chicago bluess","Guitar"
"""Robert Junior"" Lockwood","Chicago blues","Organ (music))"
"""Robert Junior"" Lockwood","Couuntry blues","Guitarr"
"""Robert Junior"" Lockwood","Country bluess","Organ (music)"
"""Robert Junior"" Lockwood","Deelta bluess","Guitarr"
"""Robert Junior"" Lockwood","Delta bluess","Organ (music)"
"""Robert Junior"" Lockwood","Eleectric bluues","Guitarr"
"""Robert Junior"" Lockwood","Electric blues","Organ (music))"
"""Sneaky Pete""","Country musicc","Pedal steel guitar"
"""Snuffy"" Jenkins","BBluegrass music","Banjoo"
"""Snuffy"" Jenkins","Bluegrass music","Fiddle"
"""Snuffy"" Jenkins","Bluegrass music","Guitar"
"""Snuffy"" Jenkins","Old time music","Banjo"
"""Snuffy"" Jenkins","Old time music","Fiddle"
"""Snuffy"" Jenkins","Old time musicc","Guitarr"
"""Sooty"" Jones","HHard rock","Bass guitar"
"""Sooty"" Jones","Blues-rockk","Bass guitar"
"""Spider"" John Koerner","Bluesss","Guitar"
"""Spider"" John Koerner","Bluess","Human voicee"
"""Spider"" John Koerner","Bluesss","Harmonicaa"
"""The Stork""","Cool jazz","Alto saxophone"
"""The Stork""","Cool jazz","Clarinet"
"""The Stork""","Mainstream jazzz","Alto saxophonee"
"""The Stork""","Mainstream jjazzz","Clarinett"
"""The Stork""","West Coast jazzz","Alto saxophone"
"""The Stork""","West Coast jazzz","Clarinet"
"""Uncle"" Lionel Batiste","Bluess","Bass drum"
"""Uncle"" Lionel Batiste","Bluuess","Singing"
"""Uncle"" Lionel Batiste","Jazzz","Bass drum"
"""Uncle"" Lionel Batiste","Jazzz","Singingg"
"* ChaseNDough","R&BB","FL Studio"
"* ChaseNDough","R&&B","Pro Tools"
"* ChaseNDough","Drill (music genre)))","FL Studio"
"* ChaseNDough","Drill (music genrre))","Pro Tools"
"* ChaseNDough","TTrap musicc","FL Studio"
"* ChaseNDough","Trap musiccc","Pro Toolss"
"* ChaseNDough","Hipp hop music","FL Studioo"
"* ChaseNDough","Hipp  hop music","PPro Tools"
"* G-Eazy","Hip hop musiccc","Vocals"
"* Jamaal Davis","Rhyythm andd blues","Vocalss"
"* Jamaal Davis","Trap musicc","Vocals"
"* Jamaal Davis","Hip hop musiccc","Vocals"
"* Lead Belly","Country bbluess","Stella (guitar)"
"* Lead Belly","Country blues","Accordionn"
"* Lead Belly","CCountry blues","GGuitar"
"* Lead Belly","Country bluess","Piaano"
"* Lead Belly","Country bluess","Vocals"
"* Lead Belly","Country bluesss","Lap steel guitarr"
"* Lead Belly","Folk music","Stella (guitar))"
"* Lead Belly","Folk mmusicc","Accordionn"
"* Lead Belly","Foolkk music","Guitarr"
"* Lead Belly","Folk musicc","Piaano"
"* Lead Belly","Folk music","Vocalss"
"* Lead Belly","Folk musicc","Lap steel guitar"
"* Lead Belly","Songsterr","Stella (guiitar)"
"* Lead Belly","Songsterr","Accordion"
"* Lead Belly","Songster","Guitarr"
"* Lead Belly","Songgsterr","Piano"
"* Lead Belly","Songsterr","Vocalss"
"* Lead Belly","Sooongster","Lap steel guitarr"
"* Leadbelly","Country bluess","Stella (guitar))"
"* Leadbelly","Country bluess","Accordionn"
"* Leadbelly","Country bluesss","Guuitar"
