"oldParty","originalIdeology","newParty","currentIdeology","extinctionYear"
"Unione Democratici per l'Europa","Christian democracy","Forza Italia","Liberal conservatism","2013"
"Democrazia Cristiana","Christian democracy","Forza Italia","Liberal conservatism","2013"
"Movimento Repubblicani Europei","Social liberalism","Italian Republican Party","Republicanism","2011"
"Movimento Repubblicani Europei","Social liberalism","Partito Repubblicano Italiano","Republicanism","2011"
"Movimento Repubblicani Europei","Social liberalism","Italian Republican Party","Liberalism","2011"
"Movimento Repubblicani Europei","Social liberalism","Partito Repubblicano Italiano","Liberalism","2011"
"Movimento per la Sinistra","Communism","Sinistra Ecologia Libertà","Eco-socialism","2010"
"Movimento per la Sinistra","Communism","Sinistra Ecologia Libertà","Democratic socialism","2010"
"Sinistra Democratica","Democratic socialism","Sinistra Ecologia Libertà","Eco-socialism","2010"
"Sinistra Democratica","Green politics","Sinistra Ecologia Libertà","Eco-socialism","2010"
"Sinistra Democratica","Green politics","Sinistra Ecologia Libertà","Democratic socialism","2010"
"Riformatori Liberali","Libertarianism","The People of Freedom","Liberal conservatism","2009"
"Riformatori Liberali","Libertarianism","Il Popolo della Libertà","Liberal conservatism","2009"
"Forza Italia","Christian democracy","The People of Freedom","Liberal conservatism","2009"
"Forza Italia","Christian democracy","Il Popolo della Libertà","Liberal conservatism","2009"
"Democrazia Cristiana per le Autonomie","Christian democracy","The People of Freedom","Liberal conservatism","2009"
"Democrazia Cristiana per le Autonomie","Christian democracy","Il Popolo della Libertà","Liberal conservatism","2009"
"Forza Italia","Liberalism","The People of Freedom","Liberal conservatism","2009"
"Forza Italia","Liberalism","Il Popolo della Libertà","Liberal conservatism","2009"
"Riformatori Liberali","Liberalism","The People of Freedom","Liberal conservatism","2009"
"Riformatori Liberali","Liberalism","Il Popolo della Libertà","Liberal conservatism","2009"
"Forza Italia","Liberal conservatism","The People of Freedom","Christian democracy","2009"
"Forza Italia","Liberal conservatism","Il Popolo della Libertà","Christian democracy","2009"
"Riformatori Liberali","Libertarianism","The People of Freedom","Christian democracy","2009"
"Riformatori Liberali","Libertarianism","Il Popolo della Libertà","Christian democracy","2009"
"Forza Italia","Liberalism","The People of Freedom","Christian democracy","2009"
"Forza Italia","Liberalism","Il Popolo della Libertà","Christian democracy","2009"
"Riformatori Liberali","Liberalism","The People of Freedom","Christian democracy","2009"
"Riformatori Liberali","Liberalism","Il Popolo della Libertà","Christian democracy","2009"
"Forza Italia","Liberal conservatism","The People of Freedom","Liberalism","2009"
"Forza Italia","Liberal conservatism","Il Popolo della Libertà","Liberalism","2009"
"Riformatori Liberali","Libertarianism","The People of Freedom","Liberalism","2009"
"Riformatori Liberali","Libertarianism","Il Popolo della Libertà","Liberalism","2009"
"Forza Italia","Christian democracy","The People of Freedom","Liberalism","2009"
"Forza Italia","Christian democracy","Il Popolo della Libertà","Liberalism","2009"
"Democrazia Cristiana per le Autonomie","Christian democracy","The People of Freedom","Liberalism","2009"
"Democrazia Cristiana per le Autonomie","Christian democracy","Il Popolo della Libertà","Liberalism","2009"
"Democrazia è Libertà – La Margherita","Christian democracy","Partito Democratico","Social liberalism","2007"
"Democratici di Sinistra","Democratic socialism","Partito Democratico","Social liberalism","2007"
"Democrats of the Left","Democratic socialism","Partito Democratico","Social liberalism","2007"
"Democrazia è Libertà – La Margherita","Social democracy","Partito Democratico","Social liberalism","2007"
"Democratici di Sinistra","Social democracy","Partito Democratico","Social liberalism","2007"
"Democrats of the Left","Social democracy","Partito Democratico","Social liberalism","2007"
"Democrats of the Left","Democratic socialism","Partito Democratico","Social democracy","2007"
"Democrazia è Libertà – La Margherita","Social liberalism","Partito Democratico","Social democracy","2007"
"Democrazia è Libertà – La Margherita","Christian democracy","Partito Democratico","Social democracy","2007"
"Democratici di Sinistra","Democratic socialism","Partito Democratico","Social democracy","2007"
"Associazione per la Rosa bel Pugno","Liberalism","Partito Socialista Italiano","Social democracy","2007"
"Lista per Trieste","Environmentalism","Forza Italia","Liberal conservatism","2006"
"Lista per Trieste","Social democracy","Forza Italia","Liberal conservatism","2006"
"Lista per Trieste","Regionalism (politics)","Forza Italia","Liberal conservatism","2006"
"Lista per Trieste","Social liberalism","Forza Italia","Liberal conservatism","2006"
"Lista per Trieste","Environmentalism","Forza Italia","Christian democracy","2006"
"Lista per Trieste","Social democracy","Forza Italia","Christian democracy","2006"
"Lista per Trieste","Regionalism (politics)","Forza Italia","Christian democracy","2006"
"Lista per Trieste","Social liberalism","Forza Italia","Christian democracy","2006"
"Lista per Trieste","Environmentalism","Forza Italia","Liberalism","2006"
"Lista per Trieste","Social democracy","Forza Italia","Liberalism","2006"
"Lista per Trieste","Regionalism (politics)","Forza Italia","Liberalism","2006"
"Lista per Trieste","Social liberalism","Forza Italia","Liberalism","2006"
"Rinnovamento Italiano","Liberalism","Democrazia è Libertà – La Margherita","Christian democracy","2002"
"Partito Popolare Italiano","Christian democracy","Democrazia è Libertà – La Margherita","Social liberalism","2002"
"Rinnovamento Italiano","Liberalism","Democrazia è Libertà – La Margherita","Social liberalism","2002"
"Rinnovamento Italiano","Liberalism","Democrazia è Libertà – La Margherita","Social democracy","2002"
"Partito Popolare Italiano","Christian democracy","Democrazia è Libertà – La Margherita","Social democracy","2002"
"I Democratici","Social liberalism","Democrazia è Libertà – La Margherita","Christian democracy","2002"
"I Democratici","Social democracy","Democrazia è Libertà – La Margherita","Christian democracy","2002"
"The Democrats","Social democracy","Democrazia è Libertà – La Margherita","Christian democracy","2002"
"The Democrats","Social liberalism","Democrazia è Libertà – La Margherita","Christian democracy","2002"
"I Democratici","Social democracy","Democrazia è Libertà – La Margherita","Social liberalism","2002"
"The Democrats","Social democracy","Democrazia è Libertà – La Margherita","Social liberalism","2002"
"I Democratici","Social liberalism","Democrazia è Libertà – La Margherita","Social democracy","2002"
"The Democrats","Social liberalism","Democrazia è Libertà – La Margherita","Social democracy","2002"
"Partito Socialista","Social democracy","Nuovo Partito Socialista Italiano","Social liberalism","2001"
"Unione Democratica","Social liberalism","I Democratici","Social democracy","1999"
"Unione Democratica","Social liberalism","The Democrats","Social democracy","1999"
"Movimento dei Comunisti Unitari","Communism","Democratici di Sinistra","Democratic socialism","1998"
"Movimento dei Comunisti Unitari","Communism","Democrats of the Left","Democratic socialism","1998"
"Movimento dei Comunisti Unitari","Communism","Democrats of the Left","Social democracy","1998"
"Movimento dei Comunisti Unitari","Communism","Democratici di Sinistra","Social democracy","1998"
"Unione di Centro","Liberalism","Forza Italia","Liberal conservatism","1998"
"Unione di Centro","Liberalism","Forza Italia","Christian democracy","1998"
"Polo Liberal Democratico","Liberalism","Forza Italia","Liberal conservatism","1994"
"Polo Liberal Democratico","Liberalism","Forza Italia","Christian democracy","1994"
"Democrazia Proletaria","Eco-socialism","Partito della Rifondazione Comunista","Communism","1991"
"Verdi Arcobaleno","Eco-socialism","Federazione dei Verdi","Green politics","1990"
"Liste Verdi","Eco-socialism","Federazione dei Verdi","Green politics","1990"
"Verdi Arcobaleno","Green politics","Federazione dei Verdi","Eco-socialism","1990"
"Liste Verdi","Green politics","Federazione dei Verdi","Eco-socialism","1990"
"Radical Party","Social liberalism","Verdi Arcobaleno","Green politics","1989"
"Partito Radicale","Social liberalism","Verdi Arcobaleno","Green politics","1989"
"Radical Party","Social liberalism","Pannella List","Libertarianism","1989"
"Radical Party","Social liberalism","Lista Pannella","Libertarianism","1989"
"Partito Radicale","Social liberalism","Pannella List","Libertarianism","1989"
"Partito Radicale","Social liberalism","Lista Pannella","Libertarianism","1989"
"Radical Party","Social liberalism","Verdi Arcobaleno","Eco-socialism","1989"
"Partito Radicale","Social liberalism","Verdi Arcobaleno","Eco-socialism","1989"
"Radical Party","Social liberalism","Pannella List","Liberalism","1989"
"Radical Party","Social liberalism","Lista Pannella","Liberalism","1989"
"Partito Radicale","Social liberalism","Pannella List","Liberalism","1989"
"Partito Radicale","Social liberalism","Lista Pannella","Liberalism","1989"
"Partito di Unità Proletaria","Communism","Italian Communist Party","Democratic socialism","1984"
"Partito di Unità Proletaria","Communism","Partito Comunista Italiano","Democratic socialism","1984"
"Partito Democratico del Lavoro","Social democracy","Partito Socialista Italiano","Democratic socialism","1948"
"Partito Democratico del Lavoro","Social liberalism","Partito Socialista Italiano","Democratic socialism","1948"
"Partito Democratico del Lavoro","Social liberalism","Partito Socialista Italiano","Social democracy","1948"
"Partito Socialista Unitario","Social democracy","Partito Socialista Italiano","Democratic socialism","1930"
"Partito Democratico Sociale Italiano","Liberalism","Partito Democratico del Lavoro","Social liberalism","1926"
"Partito Democratico Sociale Italiano","Liberalism","Partito Democratico del Lavoro","Social democracy","1926"
"Partito Democratico Sociale Italiano","Social liberalism","Partito Democratico del Lavoro","Social democracy","1926"
"Associazione Nazionalista Italiana","Italian irredentism","National Fascist Party","Italian Fascism","1923"
"Associazione Nazionalista Italiana","Corporatism","National Fascist Party","Italian Fascism","1923"
"Associazione Nazionalista Italiana","Italian irredentism","Partito Nazionale Fascista","Italian Fascism","1923"
"Associazione Nazionalista Italiana","Corporatism","Partito Nazionale Fascista","Italian Fascism","1923"
"Partito Radicale Italiano","Republicanism","Partito Liberale Democratico","Progressivism","1922"
"Partito Radicale Italiano","Liberalism","Partito Liberale Democratico","Progressivism","1922"
"Partito Radicale Italiano","Social liberalism","Partito Liberale Democratico","Progressivism","1922"
"Partito Radicale Italiano","Republicanism","Partito Liberale Democratico","Social liberalism","1922"
"Partito Radicale Italiano","Liberalism","Partito Liberale Democratico","Social liberalism","1922"
"Fasci Italiani di Combattimento","Republicanism","National Fascist Party","Italian Fascism","1921"
"Fasci Italiani di Combattimento","Republicanism","Partito Nazionale Fascista","Italian Fascism","1921"
"Partito Costituzionale Democratico","Social liberalism","Partito Democratico Sociale Italiano","Liberalism","1919"
"Partito Democratico","Social liberalism","Partito Democratico Sociale Italiano","Liberalism","1919"
"Partito Democratico","Social democracy","Partito Democratico Sociale Italiano","Liberalism","1919"
"Partito Democratico","Social democracy","Partito Democratico Sociale Italiano","Social liberalism","1919"
"Sinistra Storica","Protectionism","Unione Liberale","Liberalism","1913"
"Sinistra Storica","Progressivism","Unione Liberale","Liberalism","1913"
"La Pentarchia","Protectionism","Sinistra Storica","Progressivism","1887"
"La Pentarchia","Social liberalism","Sinistra Storica","Progressivism","1887"
"La Pentarchia","Protectionism","Sinistra Storica","Liberalism","1887"
"La Pentarchia","Progressivism","Sinistra Storica","Liberalism","1887"
"La Pentarchia","Social liberalism","Sinistra Storica","Liberalism","1887"
"La Pentarchia","Progressivism","Sinistra Storica","Protectionism","1887"
"La Pentarchia","Social liberalism","Sinistra Storica","Protectionism","1887"
