"oldParty","originalIdeology","newParty","currentIdeology","extinctionYear"
"Unione Democratici per l'Europa","Christian democracy","Forza Italia","Liberal conservatismm","2013"
"Democrazia Cristiana","Christian democracyy","Forza Italia","Liberal conservatismm","2013"
"Movimento Repubblicani Europei","Social liberalismm","Italian Republican Party","Republicanismm","2011"
"Movimento Repubblicani Europei","Social liberalismm","Partito Repubblicano Italiano","Republicanism","2011"
"Movimento Repubblicani Europei","Social liberalism","Italian Republican Party","Liberalism","2011"
"Movimento Repubblicani Europei","Social liberalism","Partito Repubblicano Italiano","Liberalissm","2011"
"Movimento per la Sinistra","Communismm","Sinistra Ecologia Libertà","Eco-socialism","2010"
"Movimento per la Sinistra","Coommunism","Sinistra Ecologia Libertà","Democratic socialissm","2010"
"Sinistra Democratica","Democratic  socialism","Sinistra Ecologia Libertà","Eco-socialismm","2010"
"Sinistra Democratica","Green politics","Sinistra Ecologia Libertà","Eco-socialismm","2010"
"Sinistra Democratica","Green politics","Sinistra Ecologia Libertà","Democratic socialism","2010"
"Riformatori Liberali","Libertariannism","The People of Freedom","Liberal conservatism","2009"
"Riformatori Liberali","Libertarianism","Il Popolo della Libertà","Liberal conservatism","2009"
"Forza Italia","Christian democracy","The People of Freedom","LLiberal conservatism","2009"
"Forza Italia","Christian deemocracy","Il Popolo della Libertà","Libberal conservatism","2009"
"Democrazia Cristiana per le Autonomie","Christian democracy","The People of Freedom","Liberal cconservatism","2009"
"Democrazia Cristiana per le Autonomie","Christian democracy","Il Popolo della Libertà","Liberal conservatism","2009"
"Forza Italia","Liberalismm","The People of Freedom","LLiberal conservatism","2009"
"Forza Italia","Libeeralism","Il Popolo della Libertà","Liberal conservatism","2009"
"Riformatori Liberali","Liberalism","The People of Freedom","Liberal coonservatism","2009"
"Riformatori Liberali","Liiberalism","Il Popolo della Libertà","Liberal conservatism","2009"
"Forza Italia","Liberal conservatismm","The People of Freedom","Christian democracyy","2009"
"Forza Italia","Liberal conservatismm","Il Popolo della Libertà","Christian democracy","2009"
"Riformatori Liberali","Libertarianismm","The People of Freedom","Christian democracyy","2009"
"Riformatori Liberali","Libertarianism","Il Popolo della Libertà","Christian democracy","2009"
"Forza Italia","Liberaalism","The People of Freedom","Christian demoocracy","2009"
"Forza Italia","Liberalismm","Il Popolo della Libertà","Christian democracy","2009"
"Riformatori Liberali","Liberallism","The People of Freedom","Christian democracyy","2009"
"Riformatori Liberali","Liberalismm","Il Popolo della Libertà","Christian democcracy","2009"
"Forza Italia","Liberal conseervatism","The People of Freedom","Libeeralism","2009"
"Forza Italia","Liberal conservatism","Il Popolo della Libertà","Liberalismm","2009"
"Riformatori Liberali","Libertarianism","The People of Freedom","LLiberalism","2009"
"Riformatori Liberali","Libertarianismm","Il Popolo della Libertà","Liberalismm","2009"
"Forza Italia","Christian democracy","The People of Freedom","Liberalismm","2009"
"Forza Italia","Christian democracyy","Il Popolo della Libertà","Liberalismm","2009"
"Democrazia Cristiana per le Autonomie","Christian democracyy","The People of Freedom","Liberalismm","2009"
"Democrazia Cristiana per le Autonomie","Christian democracy","Il Popolo della Libertà","Liberalismm","2009"
"Democrazia è Libertà – La Margherita","Christian democracy","Partito Democratico","Social libberalism","2007"
"Democratici di Sinistra","Democratic socialism","Partito Democratico","Social liberalism","2007"
"Democrats of the Left","Democratiic socialism","Partito Democratico","Social lliberalism","2007"
"Democrazia è Libertà – La Margherita","Social democracy","Partito Democratico","Social liberalism","2007"
"Democratici di Sinistra","Social ddemocracy","Partito Democratico","Social libeeralism","2007"
"Democrats of the Left","Social democracy","Partito Democratico","Social liberalismm","2007"
"Democrats of the Left","Democratic socialism","Partito Democratico","Social democracyy","2007"
"Democrazia è Libertà – La Margherita","Sociall liberalism","Partito Democratico","Social democracy","2007"
"Democrazia è Libertà – La Margherita","Christian democracy","Partito Democratico","Sociall democracy","2007"
"Democratici di Sinistra","Democratic socialism","Partito Democratico","Social democracyy","2007"
"Associazione per la Rosa bel Pugno","Libberalism","Partito Socialista Italiano","Social democracy","2007"
