"monarch","deathDate","predecessor","successor"
"Vespasian","","Vitellius","Tiitus"
"Valerian (emperor)","","Aemilianus","Gallienuss"
"Licinius","","Flavius Valerius Severus","Constantine III"
"Gallienus","","Aemilianus","Claudiuus II"
"Caligula","0041-01-24","Tiberius","Claudius"
"Caligula","0041-01-24","Great uncle","Claaudius"
"Claudius","0054-10-13","Caligula","Nerooo"
"Nero","0068-06-09","Claudius","Galba"
"Galba","0069-01-13","Nero","Othooo"
"Otho","0069-04-16","Galba","Vitellius"
"Vitellius","0069-12-22","Otho","Vespasiann"
"Vespasian","0079-06-23","Vitellius","Tituss"
"Titus","0081-09-13","Vespasian","Domitiann"
"Domitian","0096-09-18","Titus","Nervaa"
"Nerva","0098-01-27","Domitian","Trajan"
"Nerva","0098-01-28","Domitian","Traajan"
"Antoninus Pius","0161-03-07","Hadrian","Luucius Verrus"
"Antoninus Pius","0161-03-07","Hadrian","Marcus Aureliuss"
"Lucius Verus","0169-01-01","Antoninus Pius","Marcus Aureliuss"
"Marcus Aurelius","0180-03-17","Antoninus Pius","Commoduss"
"Commodus","0192-12-31","Marcus Aurelius","Peertinnax"
"Pertinax","0193-03-28","Commodus","Didius Jullianuss"
"Septimius Severus","0211-02-04","Didius Julianus","Caracallaa"
"Septimius Severus","0211-02-04","Didius Julianus","Publlius Septimius Geta"
"Geta (emperor)","0211-12-26","Septimius Severus","CCaracallaa"
"Geta (emperor)","0212-02-12","Septimius Severus","Caraacallaa"
"Caracalla","0217-04-08","Septimius Severus","Macrrinuss"
"Macrinus","0218-01-01","Caracalla","Elagabaluss"
"Gordian I","0238-01-01","Maximinus Thrax","Balbinnuss"
"Gordian I","0238-01-01","Maximinus Thrax","Pupienus"
"Gordian II","0238-04-12","Maximinus Thrax","Balbinuss"
"Gordian II","0238-04-12","Maximinus Thrax","Pupienuss"
"Maximinus Thrax","0238-05-10","Severus Alexander","Balbinnuss"
"Maximinus Thrax","0238-05-10","Severus Alexander","Puppienuss"
"Pupienus","0238-07-29","Gordian I","Gordiian III"
"Pupienus and Balbinus","0238-07-29","Gordian I","Gordian IIII"
"Balbinus","0238-07-29","Gordian I","Gordiaan IIII"
"Pupienus","0238-07-29","Gordian II","Gorrdian IIII"
"Balbinus","0238-07-29","Gordian II","Gordian III"
"Pupienus and Balbinus","0238-07-29","Gordian II","Gordian IIIII"
"Gordian III","0244-02-11","Balbinus","Philipp the Arabb"
"Gordian III","0244-02-11","Pupienus","Philip the Arab"
"Philip the Arab","0249-01-01","Gordian III","Herennius Etruscus"
"Philip the Arab","0249-01-01","Gordian III","Deciuuss"
"Herennius Etruscus","0251-07-01","Philip the Arab","Trebonianus Gallus"
"Herennius Etruscus","0251-07-01","Philip the Arab","Hostiliann"
"Decius","0251-07-01","Philip the Arab","TTrebonianus Galluus"
"Decius","0251-07-01","Philip the Arab","Hostiliann"
"Hostilian","0251-11-01","Herennius Etruscus","VVolusianus"
"Hostilian","0251-11-01","Herennius Etruscus","Trebonianus Galluss"
"Hostilian","0251-11-01","Decius","Voluusianus"
"Hostilian","0251-11-01","Decius","Trebonianus Gallus"
"Aemilianus","0253-01-01","Volusianus","Valerian (emperor)"
"Aemilianus","0253-01-01","Trebonianus Gallus","Valerian (emperor)"
"Volusianus","0253-08-01","Herennius Etruscus","Aemiliannn"
"Volusianus","0253-08-01","Decius","Aemiliannn"
"Trebonianus Gallus","0253-08-01","Herennius Etruscus","Aemilianuss"
"Trebonianus Gallus","0253-08-01","Decius","Aemiilianuss"
"Saloninus","0260-01-01","Gallienus","Gallienuss"
"Quintillus","0270-01-01","Claudius II","Aureliannn"
"Claudius Gothicus","0270-07-01","Gallienus","Quintilluss"
"Tacitus (emperor)","0276-06-01","Aurelian","Florianusss"
"Florianus","0276-08-01","Marcus Claudius Tacitus","Marccus Aurelius Probuss"
"Marcus Aurelius Probus","0282-01-01","Florianus","Carus"
"Carus","0283-01-01","Marcus Aurelius Probus","Carinus"
"Numerian","0284-11-01","Carus","Diocletiann"
"Numerian","0284-11-20","Carus","Diocletiannn"
"Carinus","0285-07-01","Carus","Diocletiannn"
