"player","startYear","team","position"
"Alan Anderson (basketball)","2011","Brooklyn Nets","Shooting guard"
"Alan Anderson (basketball)","2011","Los Angeles Clippers","Shooting guard"
"Alan Anderson (basketball)","2011","Canton Charge","Shooting guard"
"Alan Anderson (basketball)","2011","Toronto Raptors","Shooting guard"
"Alan Anderson (basketball)","2011","Washington Wizards","Shooting guard"
"Alan Anderson (basketball)","2011","Washington Wizards","Small forward"
"Alan Anderson (basketball)","2011","Toronto Raptors","Small forward"
"Alan Anderson (basketball)","2011","Los Angeles Clippers","Small forward"
"Alan Anderson (basketball)","2011","Brooklyn Nets","Small forward"
"Alan Anderson (basketball)","2011","Canton Charge","Small forward"
"Alan Anderson (basketball)","2010","Brooklyn Nets","Shooting guard"
"Alan Anderson (basketball)","2010","Los Angeles Clippers","Shooting guard"
"Alan Anderson (basketball)","2010","Canton Charge","Shooting guard"
"Alan Anderson (basketball)","2010","Toronto Raptors","Shooting guard"
"Alan Anderson (basketball)","2010","Washington Wizards","Shooting guard"
"Alan Anderson (basketball)","2010","Washington Wizards","Small forward"
"Alan Anderson (basketball)","2010","Toronto Raptors","Small forward"
"Alan Anderson (basketball)","2010","Los Angeles Clippers","Small forward"
"Alan Anderson (basketball)","2010","Brooklyn Nets","Small forward"
"Alan Anderson (basketball)","2010","Canton Charge","Small forward"
"Alan Anderson (basketball)","2009","Brooklyn Nets","Shooting guard"
"Alan Anderson (basketball)","2009","Los Angeles Clippers","Shooting guard"
"Alan Anderson (basketball)","2009","Canton Charge","Shooting guard"
"Alan Anderson (basketball)","2009","Toronto Raptors","Shooting guard"
"Alan Anderson (basketball)","2009","Washington Wizards","Shooting guard"
"Alan Anderson (basketball)","2009","Washington Wizards","Small forward"
"Alan Anderson (basketball)","2009","Toronto Raptors","Small forward"
"Alan Anderson (basketball)","2009","Los Angeles Clippers","Small forward"
"Alan Anderson (basketball)","2009","Brooklyn Nets","Small forward"
"Alan Anderson (basketball)","2009","Canton Charge","Small forward"
"Alan Anderson (basketball)","2008","Brooklyn Nets","Shooting guard"
"Alan Anderson (basketball)","2008","Los Angeles Clippers","Shooting guard"
"Alan Anderson (basketball)","2008","Canton Charge","Shooting guard"
"Alan Anderson (basketball)","2008","Toronto Raptors","Shooting guard"
"Alan Anderson (basketball)","2008","Washington Wizards","Shooting guard"
"Alan Anderson (basketball)","2008","Washington Wizards","Small forward"
"Alan Anderson (basketball)","2008","Toronto Raptors","Small forward"
"Alan Anderson (basketball)","2008","Los Angeles Clippers","Small forward"
"Alan Anderson (basketball)","2008","Brooklyn Nets","Small forward"
"Alan Anderson (basketball)","2008","Canton Charge","Small forward"
"Alan Anderson (basketball)","2007","Brooklyn Nets","Shooting guard"
"Alan Anderson (basketball)","2007","Los Angeles Clippers","Shooting guard"
"Alan Anderson (basketball)","2007","Canton Charge","Shooting guard"
"Alan Anderson (basketball)","2007","Toronto Raptors","Shooting guard"
"Alan Anderson (basketball)","2007","Washington Wizards","Shooting guard"
"Alan Anderson (basketball)","2007","Washington Wizards","Small forward"
"Alan Anderson (basketball)","2007","Toronto Raptors","Small forward"
"Alan Anderson (basketball)","2007","Los Angeles Clippers","Small forward"
"Alan Anderson (basketball)","2007","Brooklyn Nets","Small forward"
"Alan Anderson (basketball)","2007","Canton Charge","Small forward"
"Alan Anderson (basketball)","2006","Brooklyn Nets","Shooting guard"
"Alan Anderson (basketball)","2006","Los Angeles Clippers","Shooting guard"
"Alan Anderson (basketball)","2006","Canton Charge","Shooting guard"
"Alan Anderson (basketball)","2006","Toronto Raptors","Shooting guard"
"Alan Anderson (basketball)","2006","Washington Wizards","Shooting guard"
"Alan Anderson (basketball)","2006","Washington Wizards","Small forward"
"Alan Anderson (basketball)","2006","Toronto Raptors","Small forward"
"Alan Anderson (basketball)","2006","Los Angeles Clippers","Small forward"
"Alan Anderson (basketball)","2006","Brooklyn Nets","Small forward"
"Alan Anderson (basketball)","2006","Canton Charge","Small forward"
"Alan Anderson (basketball)","2005","Brooklyn Nets","Shooting guard"
"Alan Anderson (basketball)","2005","Los Angeles Clippers","Shooting guard"
"Alan Anderson (basketball)","2005","Canton Charge","Shooting guard"
"Alan Anderson (basketball)","2005","Toronto Raptors","Shooting guard"
"Alan Anderson (basketball)","2005","Washington Wizards","Shooting guard"
"Alan Anderson (basketball)","2005","Washington Wizards","Small forward"
"Alan Anderson (basketball)","2005","Toronto Raptors","Small forward"
"Alan Anderson (basketball)","2005","Los Angeles Clippers","Small forward"
"Alan Anderson (basketball)","2005","Brooklyn Nets","Small forward"
"Alan Anderson (basketball)","2005","Canton Charge","Small forward"
"Allen Crabbe","2014","Portland Trail Blazers","Shooting guard"
"Allen Crabbe","2013","Portland Trail Blazers","Shooting guard"
"Anthony Morrow","2014","Oklahoma City Thunder","Shooting guard"
"Anthony Morrow","2013","Oklahoma City Thunder","Shooting guard"
"Anthony Morrow","2012","Oklahoma City Thunder","Shooting guard"
"Anthony Morrow","2010","Oklahoma City Thunder","Shooting guard"
"Anthony Morrow","2008","Oklahoma City Thunder","Shooting guard"
