"Rank","Name","Industry","Revenue (USD millions)","Profit (USD millions)","Employees","Country"
"1","Walmart","Retail","$514,405","$6,670","2,200,000","United States"
"2","Sinopec","Oil and gas","$414,649","$5,845","619,151","China"
"3","Royal Dutch Shell","Oil and gas","$396,556","$23,352","81,000","Netherlands"
"3","Royal Dutch Shell","Oil and gas","$396,556","$23,352","81,000","United Kingdom"
"4","China National Petroleum","Oil and gas","$392,976","$2,270","1,382,401","China"
"5","State Grid","Electricity","$387,056","$8,174","917,717","China"
"6","Saudi Aramco","Oil and gas","$355,905","$110,974","76,418","Saudi Arabia"
"7","BP","Oil and gas","$303,738","$9,383","73,000","United Kingdom"
"8","ExxonMobil","Oil and gas","$290,212","$20,840","71,000","United States"
"9","Volkswagen","Automotive","$278,341","$14,332","664,496","Germany"
"10","Toyota","Automotive","$272,612","$16,982","370,870","Japan"
"11","Apple","Electronics","$265,595","$59,531","132,000","United States"
"12","Berkshire Hathaway","Conglomerate","$247,837","$4,021","389,000","United States"
"13","Amazon","Retail","$232,887","$10,073","647,000","United States"
"14","UnitedHealth","Healthcare","$226,247","$11,986","300,000","United States"
"15","Samsung Electronics","Electronics","$221,579","$39,895","221,579","South Korea"
"16","Glencore","Commodities","$219,754","$3,408","85,504","Switzerland"
"17","McKesson","Healthcare","$214,319","$34","70,000","United States"
"18","Daimler","Automotive","$197,515","$8,555","298,683","Germany"
"19","CVS Health","Healthcare","$194,579","-$594","295,000","United States"
"20","Total","Oil and gas","$184,106","$11,446","104,460","France"
"21","China State Construction","Construction","$181,524","$3,159","302,827","China"
"22","Trafigura","Commodities","$180,744","$849","4,316","Singapore"
"23","Foxconn","Electronics","$175,617","$4,281","667,680","Taiwan"
"24","Exor","Financials","$175,009","$1,589","314,790","Netherlands"
"25","AT&T","Telecommunications","$170,756","$19,370","254,000","United States"
"26","ICBC","Financials","$168,979","$45,002","449,296","China"
"27","AmerisourceBergen","Pharmaceuticals","$167,939","$1,658","20,500","United States"
"28","Chevron","Oil and gas","$166,339","$14,824","48,600","United States"
"29","Ping An Insurance","Financials","$163,597","$16,237","342,550","China"
"30","Ford","Automotive","$160,338","$3,677","199,000","United States"
"31","China Construction Bank","Financials","$151,110","$38,498","366,996","China"
"32","General Motors","Automotive","$147,049","$8,014","173,000","United States"
"33","Mitsubishi","Conglomerate","$145,243","$5,328","79,994","Japan"
"34","Honda","Automotive","$143,302","$5,504","219,772","Japan"
"35","Costco","Retail","$141,576","$3,134","194,000","United States"
"36","Agricultural Bank of China","Financials","$139,523","$30,656","477,526","China"
"37","Alphabet","Internet","$136,819","$30,736","98,771","United States"
"38","Cardinal Health","Pharmaceuticals","$136,809","$256","50,200","United States"
"39","SAIC Motor","Automotive","$136,392","$5,443","147,738","China"
"40","Walgreens Boots Alliance","Retail","$131,537","$5,024","299,000","United States"
"41","JPMorgan Chase","Financials","$131,412","$32,474","256,105","United States"
"42","Gazprom","Oil and gas","$131,302","$23,199","466,100","Russia"
"43","Verizon","Telecommunications","$130,863","$15,528","144,500","United States"
"44","Bank of China","Financials","$127,714","$27,255","310,119","China"
"45","Allianz","Financials","$126,779","$8,806","142,460","Germany"
"46","AXA","Financials","$125,578","$2,525","104,065","France"
"47","Kroger","Retail","$121,162","$3,110","453,000","United States"
"48","General Electric","Conglomerate","$120,268","-$22,355","283,000","United States"
"49","Fannie Mae","Financials","$120,101","$15,959","7,400","United States"
"50","Lukoil","Oil and gas","$119,145","$9,863","102,500","Russia"
