"Country or territory","Capital","Largest city (or metropolitan area)","Second largest city (or metropoitan area)"
"Abkhazia","Sukhumi","Sukhumi","Gagra"
"Afghanistan","Kabul","Kabul","Kandahar"
"Akrotiri and Dhekelia (UK)","Episkopi Cantonment","Episkopi Cantonment","Ayios Nikolaos"
"Åland Islands (Finland)","Mariehamn","Mariehamn","Jomala"
"Albania","Tirana","Tirana","Durrës"
"Algeria","Algiers","Algiers","Oran"
"American Samoa (US)","Pago Pago","Tafuna","Nu'uuli"
"Andorra","Andorra la Vella","Andorra la Vella","Escaldes-Engordany"
"Angola","Luanda","Luanda","Huambo"
"Anguilla (UK)","The Valley","North Side","The Valley"
"Antigua and Barbuda","St. John's","St. John's","All Saints"
"Argentina","Buenos Aires","Buenos Aires","Córdoba"
"Armenia","Yerevan","Yerevan","Gyumri"
"Artsakh","Stepanakert","Stepanakert","Shusha"
"Aruba (Netherlands)","Oranjestad","Oranjestad","Sint Nicolaas"
"Australia","Canberra","Sydney","Melbourne"
"Austria","Vienna","Vienna","Graz"
"Azerbaijan","Baku","Baku","Ganja"
"Bahamas","Nassau","Nassau","Freeport"
"Bahrain","Manama","Manama","Riffa"
"Bangladesh","Dhaka","Dhaka","Chittagong"
"Barbados","Bridgetown","Bridgetown","Speightstown"
"Belarus","Minsk","Minsk","Gomel"
"Belgium","Brussels","Brussels","Antwerp"
"Belize","Belmopan","Belize City","San Ignacio"
"Benin","Porto-Novo","Cotonou","Abomey-Calavi"
"Bermuda (UK)","Hamilton","St. George's","Hamilton"
"Bhutan","Thimphu","Thimphu","Phuntsholing"
"Bolivia","Sucre","Santa Cruz de la Sierra","El Alto"
"Bolivia","La Paz","Santa Cruz de la Sierra","El Alto"
"Bosnia and Herzegovina","Sarajevo","Sarajevo","Banja Luka"
"Botswana","Gaborone","Gaborone","Francistown"
"Brazil","Brasília","São Paulo","Rio de Janeiro"
"Brunei","Bandar Seri Begawan","Bandar Seri Begawan","Kuala Belait"
"Bulgaria","Sofia","Sofia","Plovdiv"
"Burkina Faso","Ouagadougou","Ouagadougou","Bobo-Dioulasso"
"Burundi","Gitega","Bujumbura","Muyinga"
"Cambodia","Phnom Penh","Phnom Penh","Siem Reap"
"Cameroon","Yaoundé","Douala","Yaoundé"
"Canada","Ottawa","Toronto","Montreal"
"Cape Verde","Praia","Praia","Mindelo"
"Cayman Islands (UK)","George Town","George Town","Bodden Town"
"Central African Republic","Bangui","Bangui","Bimbo"
"Chad","N'Djamena","N'Djamena","Moundou"
"Chile","Santiago","Santiago","Puente Alto"
"China, People's Republic of","Beijing","Shanghai","Beijing"
"Christmas Island (Australia)","Flying Fish Cove","Flying Fish Cove","Poon Saan"
"Cocos (Keeling) Islands (Australia)","West Island","Bantam","West Island"
"Colombia","Bogotá","Bogotá","Medellín"
"Comoros","Moroni","Moroni","Mutsamudu"
"Congo, Democratic Republic of the","Kinshasa","Kinshasa","Lubumbashi"
"Congo, Republic of the","Brazzaville","Brazzaville","Pointe-Noire"
"Cook Islands (New Zealand)","Avarua","Avarua","Amuri"
"Costa Rica","San José","San José","Alajuela"
"Côte d'Ivoire","Yamoussoukro","Abidjan","Bouaké"
"Croatia","Zagreb","Zagreb","Split"
