"Artist","Country / Market","Period active","Release year of first charted record","Genre","Total certified units (from available markets)","Claimed sales (replaced with mean)"
"The Beatles","United Kingdom","1960–1970","1962","Rock","Total available certified units: 278.4 million","550 million"
"The Beatles","United Kingdom","1960–1970","1962","Pop","Total available certified units: 278.4 million","550 million"
"Elvis Presley","United States","1954–1977","1954","Rock and roll","Total available certified units: 225.2 million","550 million"
"Elvis Presley","United States","1954–1977","1954","Pop","Total available certified units: 225.2 million","550 million"
"Elvis Presley","United States","1954–1977","1954","Country","Total available certified units: 225.2 million","550 million"
"Michael Jackson","United States","1964–2009","1971","Pop","Total available certified units: 231.8 million","325 million"
"Michael Jackson","United States","1964–2009","1971","Rock","Total available certified units: 231.8 million","325 million"
"Michael Jackson","United States","1964–2009","1971","Dance","Total available certified units: 231.8 million","325 million"
"Michael Jackson","United States","1964–2009","1971","Soul","Total available certified units: 231.8 million","325 million"
"Michael Jackson","United States","1964–2009","1971","R&B","Total available certified units: 231.8 million","325 million"
"Elton John","United Kingdom","1964–present","1969","Pop","Total available certified units: 186.3 million","275 million"
"Elton John","United Kingdom","1964–present","1969","Rock","Total available certified units: 186.3 million","275 million"
"Madonna","United States","1979–present","1982","Pop","Total available certified units: 173.6 million","287.5 million"
"Madonna","United States","1979–present","1982","Dance","Total available certified units: 173.6 million","287.5 million"
"Madonna","United States","1979–present","1982","Electronica","Total available certified units: 173.6 million","287.5 million"
"Led Zeppelin","United Kingdom","1968–1980","1969","Hard rock","Total available certified units: 140.2 million","250 million"
"Led Zeppelin","United Kingdom","1968–1980","1969","Blues rock","Total available certified units: 140.2 million","250 million"
"Led Zeppelin","United Kingdom","1968–1980","1969","Folk rock","Total available certified units: 140.2 million","250 million"
"Rihanna","Barbados","2005–present","2005","R&B","Total available certified units: 272.2 million","240 million"
"Rihanna","Barbados","2005–present","2005","Pop","Total available certified units: 272.2 million","240 million"
"Rihanna","Barbados","2005–present","2005","Dance","Total available certified units: 272.2 million","240 million"
"Rihanna","Barbados","2005–present","2005","Hip-hop","Total available certified units: 272.2 million","240 million"
"Rihanna","United States","2005–present","2005","R&B","Total available certified units: 272.2 million","240 million"
"Rihanna","United States","2005–present","2005","Pop","Total available certified units: 272.2 million","240 million"
"Rihanna","United States","2005–present","2005","Dance","Total available certified units: 272.2 million","240 million"
"Rihanna","United States","2005–present","2005","Hip-hop","Total available certified units: 272.2 million","240 million"
"Pink Floyd","United Kingdom","1965–1996, 2014","1967","Progressive rock","Total available certified units: 120.9 million","225 million"
"Pink Floyd","United Kingdom","1965–1996, 2014","1967","Psychedelic rock","Total available certified units: 120.9 million","225 million"
