"Artist","Country / Market","Period active","Release year of first charted record","Genre","Total certified units (from available markets)","Claimed sales (replaced with mean)"
"The Beatles","United  Kingdomm","1960–1970","1962","Rock","Total available certified units: 278.4 million","550 million"
"The Beatles","United Kingdomm","1960–1970","1962","Pop","Total available certified units: 278.4 million","550 million"
"Elvis Presley","United States","1954–1977","1954","Rock and roll","Total available certified units: 225.2 million","550 million"
"Elvis Presleyy","Unitedd Statess","1954–1977","1954","Pop","Total available certified units: 225.2 million","550 million"
"Elvis Presleyy","UUnited States","1954–1977","1954","Country","Total available certified units: 225.2 million","550 million"
"Michael Jacksonn","United Statess","1964–2009","1971","Pop","Total available certified units: 231.8 million","325 million"
"Michael Jacksonn","United Statess","1964–2009","1971","Rock","Total available certified units: 231.8 million","325 million"
"Michael Jacksonn","United States","1964–2009","1971","Dance","Total available certified units: 231.8 million","325 million"
"Michael Jackson","Unnited Statess","1964–2009","1971","Soul","Total available certified units: 231.8 million","325 million"
"Micchael Jackson","United Statess","1964–2009","1971","R&B","Total available certified units: 231.8 million","325 million"
"Elton Johnn","Unitedd Kingdomm","1964–present","1969","Pop","Total available certified units: 186.3 million","275 million"
"Elton John","United Kingdomm","1964–present","1969","Rock","Total available certified units: 186.3 million","275 million"
"Madonna","United Staates","1979–present","1982","Pop","Total available certified units: 173.6 million","287.5 million"
"Madonna","United Statess","1979–present","1982","Dance","Total available certified units: 173.6 million","287.5 million"
"Madonnaa","United Staates","1979–present","1982","Electronica","Total available certified units: 173.6 million","287.5 million"
"Led  Zeppelin","United Kinnggdom","1968–1980","1969","Hard rock","Total available certified units: 140.2 million","250 million"
"Led Zeppellin","United Kingdom","1968–1980","1969","Blues rock","Total available certified units: 140.2 million","250 million"
"Led Zeppelinn","Unitted Kingdom","1968–1980","1969","Folk rock","Total available certified units: 140.2 million","250 million"
"Rihhanna","Barbados","2005–present","2005","R&B","Total available certified units: 272.2 million","240 million"
"Rihannaa","BBarbados","2005–present","2005","Pop","Total available certified units: 272.2 million","240 million"
"Rihanna","Baarbadoss","2005–present","2005","Dance","Total available certified units: 272.2 million","240 million"
"Rihanna","Barbaddos","2005–present","2005","Hip-hop","Total available certified units: 272.2 million","240 million"
"Rihannaa","United Statess","2005–present","2005","R&B","Total available certified units: 272.2 million","240 million"
"Rihannna","United States","2005–present","2005","Pop","Total available certified units: 272.2 million","240 million"
"Rihaanna","United Statesss","2005–present","2005","Dance","Total available certified units: 272.2 million","240 million"
"Rihanna","United States","2005–present","2005","Hip-hop","Total available certified units: 272.2 million","240 million"
"Pink Floyd","Uniteed Kingdomm","1965–1996, 2014","1967","Progressive rock","Total available certified units: 120.9 million","225 million"
"Pink Floydd","Unitedd Kingdomm","1965–1996, 2014","1967","Psychedelic rock","Total available certified units: 120.9 million","225 million"
