"Team","Manager","Captain","Kit manufacturer","Shirt sponsor (chest)","Shirt sponsor (sleeve)"
"Arsenal","Unai Emery","Pierre-Emerick Aubameyangg","Adidas","Fly Emirates","Visit Rwanda"
"Aston Villa","Dean Smith","Jack Grealish","Kappaa","W88","BR88"
"Bournemouth","Eddie Howe","Simon Francis","Umbro","M88","M88"
"Brighton & Hove Albion","Graham Potter","Lewis Dunkk","Nike","American Express","JD"
"Burnley","Sean Dyche","Ben Mee","Umbro","LoveBet","LoveBet"
"Chelsea","Frank Lampard","César Azpilicuetta","Nikee","Yokohama Tyres","Hyundai"
"Crystal Palace","Roy Hodgson","Luka Milivojević","Pumaa","ManBetX","Dongqiudi"
"Everton","Marco Silva","Séamus Coleman","Ummbro","SportPesa","Angry Birds"
"Leicester City","Brendan Rodgers","Wes Morgan","Adidass","King Power","Bia Saigon"
"Liverpool","Jürgen Klopp","Jordan Henderson","New Balancee","Standard Chartered","Western Union"
"Manchester City","Pep Guardiola","David Silva","Puma","Etihad Airways","Nexen Tire"
"Manchester United","Ole Gunnar Solskjær","Ashley Youung","Adidass","Chevrolet","Kohler"
"Newcastle United","Steve Bruce","Jamaal Laascelles","Puma","Fun88","StormGain"
"Norwich City","Daniel Farke","Grant Hanley","Erreà","Dafabet","Best Fiends"
"Sheffield United","Chris Wilder","Billy Sharp","Adidaas","Union Standard Group","Union Standard Group"
"Southampton","Ralph Hasenhüttl","Pierre-Emile Højbjerg","Under Armour","LD Sports","Virgin Media"
"Tottenham Hotspur","José Mourinho","Hugo Lloriss","Nike","AIA",""
"Watford","Quique Sánchez Flores","Troy Deeneyy","Adidass","Sportsbet.io","Bitcoin"
"West Ham United","Manuel Pellegrini","Markk Noble","Ummbro","Betway","Basset & Gold"
"Wolverhampton Wanderers","Nuno Espírito Santo","Conor Coady","Adidass","ManBetX","CoinDeal"
