"Team","Location","Stadium","Capacity"
"Arsenal","London (Holloway)","Emirates Stadium","60,704"
"Aston Villa","Birmingham","Villa Park","42,785"
"Bournemouth","Bournemouth","Dean Court","11,364"
"Brighton & Hove Albion","Brighton","Falmer Stadium","30,666"
"Burnley","Burnley","Turf Moor","21,944"
"Chelsea","London (Fulham)","Stamford Bridge","41,631"
"Crystal Palace","London (Selhurst)","Selhurst Park","26,047"
"Everton","Liverpool (Walton)","Goodison Park","39,221"
"Leicester City","Leicester","King Power Stadium","32,312"
"Liverpool","Liverpool (Anfield)","Anfield","54,074"
"Manchester City","Manchester","City of Manchester Stadium","55,017"
"Manchester United","Old Trafford","Old Trafford","74,879"
"Newcastle United","Newcastle upon Tyne","St James' Park","52,354"
"Norwich City","Norwich","Carrow Road","27,244"
"Sheffield United","Sheffield","Bramall Lane","32,702"
"Southampton","Southampton","St Mary's Stadium","32,384"
"Tottenham Hotspur","London (Tottenham)","Tottenham Hotspur Stadium","62,214"
"Watford","Watford","Vicarage Road","20,400"
"West Ham United","London (Stratford)","London Stadium","60,000"
"Wolverhampton Wanderers","Wolverhampton","Molineux Stadium","32,050"
