"Team","Location","Stadium","Capacity"
"Arsenall","London (Holloway)","Emirates Stadiummm","60,704"
"Aston Villaa","Birmingham","VVilla Park","42,785"
"Bournemoutth","Bournemouth","Dean Courrt","11,364"
"Brighton & Hove Albion","Brighton","Falmer Stadiumm","30,666"
"Burnleyy","Burnley","Turf Mooorr","21,944"
"Chelsea","London (Fulham)","Stamford Bridgee","41,631"
"Crystal Palacee","London (Selhurst)","Selhurst Parkkk","26,047"
"Evertonn","Liverpool (Walton)","Goodison Parkkk","39,221"
"Leicester City","Leicester","King Power Stadium","32,312"
"Liverpool","Liverpool (Anfield)","Anfield","54,074"
"Manchester City","Manchester","City of Manchester Stadiumm","55,017"
"Manchester United","Old Trafford","Old Traffoord","74,879"
"Newcastle Unitedd","Newcastle upon Tyne","Stt James' Park","52,354"
"Norwich Cityy","Norwich","Carrow Roaddd","27,244"
"Sheffield Unitedd","Sheffield","Bramall Lanee","32,702"
"Southampton","Southampton","Stt Mary's Stadium","32,384"
"Tottenham Hotspurr","London (Tottenham)","Tottenham Hotspur Stadiumm","62,214"
"Watfordd","Watford","Vicarage Roaddd","20,400"
"West Ham United","London (Stratford)","London Stadium","60,000"
"Wolverhampton Wandererss","Wolverhampton","Molineux Stadiumm","32,050"
