"Team","Home city","Stadium","Capacity","2018–19 season"
"Atalanta","Bergamo","Gewiss Stadium","21,300","3rd in Serie A"
"Bologna","Bologna","Stadio Renato Dall'Ara","38,279","10th in Serie A"
"Brescia","Brescia","Stadio Mario Rigamonti","16,743","Serie B champions"
"Cagliari","Cagliari","Sardegna Arena","16,233","15th in Serie A"
"Fiorentina","Florence","Stadio Artemio Franchi","43,147","16th in Serie A"
"Genoa","Genoa","Stadio Luigi Ferraris","36,685","17th in Serie A"
"Hellas Verona","Verona","Stadio Marc'Antonio Bentegodi","39,211","Serie B Playoff champions"
"Internazionale","Milan","San Siro","80,018","4th in Serie A"
"Juventus","Turin","Allianz Stadium","41,507","Serie A champions"
"Lazio","Rome","Stadio Olimpico","72,698","8th in Serie A"
"Lecce","Lecce","Stadio Via del Mare","33,876","2nd in Serie B"
"Milan","Milan","San Siro","80,018","5th in Serie A"
"Napoli","Naples","Stadio San Paolo","60,240","2nd in Serie A"
"Parma","Parma","Stadio Ennio Tardini","27,906","14th in Serie A"
"Roma","Rome","Stadio Olimpico","72,698","6th in Serie A"
"Sampdoria","Genoa","Stadio Luigi Ferraris","36,685","9th in Serie A"
"Sassuolo","Sassuolo","Mapei Stadium – Città del Tricolore","23,717","11th in Serie A"
"SPAL","Ferrara","Stadio Paolo Mazza","16,164","13th in Serie A"
"Torino","Turin","Stadio Olimpico Grande Torino","27,994","7th in Serie A"
"Udinese","Udine","Stadio Friuli","25,132","12th in Serie A"
