"player","team"
"Paul Cleary","New York Yankees"
"Gary Mullen","Denver Dynamite"
"Bob Beattie","New York Yankees"
"Edward B. Gallagher","New York Yankees"
"Brian Ross","Airdrieonians F.C."
"Stuart Taylor","Airdrieonians F.C."
"Chris Bennett","Cleveland Force"
"Roger Davies","Seattle Sounders"
"David Farrell","Airdrieonians F.C."
"Johnny Moore","San Francisco Fog"
"Eddie Henderson","Seattle Storm"
"Martin Nash","Vancouver Whitecaps"
"Chris Bennett","Seattle Sounders"
"Martin Nash","Montreal Impact"
"Carlos Rivera","Leones de Ponce"
"Charles Thomas","Maccabi Rishon LeZion"
"Carlos Morais","S.L. Benfica"
"Joe Jackson","Maccabi Rishon LeZion"
"Dániel Kiss","Újpesti TE"
"Kyle Rank","Peoria Rivermen"
"David Urquhart","Hamilton Bulldogs"
"Andrew Watt","Peterborough Lakers"
"Pat Baker","Peterborough Lakers"
"John Tavares","Peterborough Lakers"
"Shawn Evans","Peterborough Lakers"
"James Walker","Liverpool F.C."
"Ben Lewis","Ospreys"
"Jean Laurent","Toulouse FC"
"Robert Dunn","Airdrieonians F.C."
"Hiroshi Saito","Esporte Clube XV de Novembro"
"Charles Elliott","Rotherham Town F.C."
"Simon Thomas","Vancouver Whitecaps"
"David Doyle","Dallas Sidekicks"
"Peter Carr","Cleveland Force"
"John Hill","Airdrieonians F.C."
"John Rowlands","Cape Town City F.C."
"Terry Brown","St. Louis Ambush"
"John Ackroyd","Rotherham Town F.C."
"John Rowlands","Seattle Sounders"
"Gordon McLeod","Airdrieonians F.C."
"Matthew Turner","Ilkeston Town F.C."
"Walter Bruce","Detroit Cougars"
"Scott Barrett","Ilkeston Town F.C."
"James Sheridan","Ireland national football team"
"Ian Reid","Airdrieonians F.C."
"Pat McMahon","Portland Timbers"
"Stephen Grant","Boston Bulldogs"
"James Duncan","Strathmore F.C."
"David Bradford","Seattle Sounders"
"Samuel Young","Airdrieonians F.C."
"Leon Kelly","Ilkeston Town F.C."
"Michael Good","Airdrieonians F.C."
"Ian Clarke","St. Louis Ambush"
"Ian Cameron","Airdrieonians F.C."
"Robert Reilly","Airdrieonians F.C."
"David Butler","Seattle Sounders"
"John Flood","Airdrieonians F.C."
"Michael Roach","St. Louis Ambush"
"Paul Hammond","Seattle Sounders"
"Saša Ilić","Galatasaray S.K."
"Ian Clarke","Montreal Impact"
"Paul Keegan","Boston Bulldogs"
"Colin McDonald","Airdrieonians F.C."
"James Price","Airdrieonians F.C."
"Percy Watson","Rotherham Town F.C."
"John Lapsley","Airdrieonians F.C."
"David Butler","Portland Timbers"
"Brandon McDonald","Rovers FC"
"Craig Nelson","Airdrieonians F.C."
"John Murdoch","Airdrieonians F.C."
"William Wilkinson","Rotherham Town F.C."
"William Glen","Ireland national football team"
"Tom Taylor","Portland Timbers"
"John Kennedy","Detroit Cougars"
"Barry Elliot","Airdrieonians F.C."
"John Tudor","Ilkeston Town F.C."
"David Morris","Vancouver Whitecaps"
"Paul Wright","San Diego Sockers"
"Brian Lewis","Hastings United F.C."
"Peter Neilson","Airdrieonians F.C."
"József Horváth","New Jersey Rockets"
"Alan Thompson","Portland Timbers"
"Greg Shaw","Airdrieonians F.C."
"Kevin Ellis","Orlando City SC"
"Robert Scott","Airdrieonians F.C."
"Alexander Thom","Airdrieonians F.C."
"Caroline Müller","Grasshopper Club Zürich"
"James Brown","Cape Town City F.C."
"John Findlay","Airdrieonians F.C."
"Alfred Brown","Rotherham Town F.C."
"John MacDonald","Airdrieonians F.C."
"Paweł Kaczmarek","Stomil Olsztyn"
"Samuel Young","Ireland national football team"
"Peter Bennett","St. Louis Stars"
"Alan Davidson","Airdrieonians F.C."
"John Miller","Airdrieonians F.C."
"George Brown","Airdrieonians F.C."
"James Hamilton","Airdrieonians F.C."
"John Webb","Edmonton Drillers"
"John Hinton","Thornycrofts"
"Alexander Thomson","Airdrieonians F.C."
"Trevor Thompson","Detroit Cougars"
"Jorge Flores","Boston Bulldogs"
"John Henry","Airdrieonians F.C."
"Peter Millar","Cleveland Force"
"Ryan Harper","CD Guadalajara"
"Alexander Wood","Airdrieonians F.C."
"David Ellis","Airdrieonians F.C."
"John Anton","Edmonton Drillers"
"Tony Powell","Seattle Sounders"
"James Connor","Airdrieonians F.C."
"Tommy Walker","Airdrieonians F.C."
"Adriano Facchini","Associação Atlética Portuguesa"
"Harold Hall","Rotherham Town F.C."
"Colin Campbell","Airdrieonians F.C."
"Justin Jackson","Ilkeston Town F.C."
"Cem Sultan","Galatasaray S.K."
"George Forbes","Ireland national football team"
"George Anderson","Airdrieonians F.C."
"James Hopkins","Ireland national football team"
"William Findlay","New York Nationals"
"David Doyle","St. Louis Ambush"
"Craig Allen","New Jersey Rockets"
"John Edgar","Airdrieonians F.C."
"Charles Webb","Airdrieonians F.C."
"Rezaul Karim","Abahani Limited"
"Steve Reid","Philadelphia Fury"
"Ryan Ford","Ilkeston Town F.C."
