"player","team"
"George Anderson","Airdrieonians F.C."
"Samuel Young","Ireland national football team"
"James Price","Airdrieonians F.C."
"Alfred Brown","Rotherham Town F.C."
"Tom Taylor","Portland Timbers"
"John Miller","Airdrieonians F.C."
"Andrew Watt","Peterborough Lakers"
"James Hopkins","Ireland national football team"
"Eddie Henderson","Seattle Storm"
"József Horváth","New Jersey Rockets"
"David Butler","Seattle Sounders"
"David Urquhart","Hamilton Bulldogs"
"Paul Keegan","Boston Bulldogs"
"Alexander Wood","Airdrieonians F.C."
"Pat McMahon","Portland Timbers"
"John Hinton","Thornycrofts"
"George Brown","Airdrieonians F.C."
"Stuart Taylor","Airdrieonians F.C."
"Colin McDonald","Airdrieonians F.C."
"Brian Ross","Airdrieonians F.C."
"Colin Campbell","Airdrieonians F.C."
"George Forbes","Ireland national football team"
"John Edgar","Airdrieonians F.C."
"Hiroshi Saito","Esporte Clube XV de Novembro"
"Simon Thomas","Vancouver Whitecaps"
"Steve Reid","Philadelphia Fury"
"Craig Nelson","Airdrieonians F.C."
"Michael Roach","St. Louis Ambush"
"James Brown","Cape Town City F.C."
"Bob Beattie","New York Yankees"
"Ian Cameron","Airdrieonians F.C."
"Kyle Rank","Peoria Rivermen"
"David Bradford","Seattle Sounders"
"Brian Lewis","Hastings United F.C."
"John Kennedy","Detroit Cougars"
"Ryan Ford","Ilkeston Town F.C."
"John Anton","Edmonton Drillers"
"Robert Reilly","Airdrieonians F.C."
"Jean Laurent","Toulouse FC"
"David Morris","Vancouver Whitecaps"
"Samuel Young","Airdrieonians F.C."
"Gordon McLeod","Airdrieonians F.C."
"Peter Carr","Cleveland Force"
"Robert Scott","Airdrieonians F.C."
"Martin Nash","Montreal Impact"
"Justin Jackson","Ilkeston Town F.C."
"John Murdoch","Airdrieonians F.C."
"Charles Webb","Airdrieonians F.C."
"Greg Shaw","Airdrieonians F.C."
"James Sheridan","Ireland national football team"
"Michael Good","Airdrieonians F.C."
"Paul Hammond","Seattle Sounders"
"Martin Nash","Vancouver Whitecaps"
"John MacDonald","Airdrieonians F.C."
"James Duncan","Strathmore F.C."
"David Farrell","Airdrieonians F.C."
"Chris Bennett","Seattle Sounders"
"Adriano Facchini","Associação Atlética Portuguesa"
"John Hill","Airdrieonians F.C."
"William Findlay","New York Nationals"
"Ian Clarke","Montreal Impact"
"Matthew Turner","Ilkeston Town F.C."
"David Doyle","St. Louis Ambush"
"John Rowlands","Seattle Sounders"
"Alexander Thomson","Airdrieonians F.C."
"David Butler","Portland Timbers"
"David Doyle","Dallas Sidekicks"
"Kevin Ellis","Orlando City SC"
"John Tavares","Peterborough Lakers"
"Brandon McDonald","Rovers FC"
"John Rowlands","Cape Town City F.C."
"Carlos Morais","S.L. Benfica"
"Cem Sultan","Galatasaray S.K."
"Gary Mullen","Denver Dynamite"
"Scott Barrett","Ilkeston Town F.C."
"Saša Ilić","Galatasaray S.K."
"Peter Neilson","Airdrieonians F.C."
"Joe Jackson","Maccabi Rishon LeZion"
"William Wilkinson","Rotherham Town F.C."
"James Walker","Liverpool F.C."
"James Connor","Airdrieonians F.C."
"Paul Cleary","New York Yankees"
"Charles Elliott","Rotherham Town F.C."
"John Henry","Airdrieonians F.C."
"David Ellis","Airdrieonians F.C."
"Dániel Kiss","Újpesti TE"
"Alexander Thom","Airdrieonians F.C."
"Alan Thompson","Portland Timbers"
"Trevor Thompson","Detroit Cougars"
"Carlos Rivera","Leones de Ponce"
"John Flood","Airdrieonians F.C."
"Harold Hall","Rotherham Town F.C."
"Caroline Müller","Grasshopper Club Zürich"
"John Lapsley","Airdrieonians F.C."
"Chris Bennett","Cleveland Force"
"Percy Watson","Rotherham Town F.C."
"Johnny Moore","San Francisco Fog"
"Ian Reid","Airdrieonians F.C."
"Charles Thomas","Maccabi Rishon LeZion"
"Terry Brown","St. Louis Ambush"
"Rezaul Karim","Abahani Limited"
"Paweł Kaczmarek","Stomil Olsztyn"
"John Ackroyd","Rotherham Town F.C."
"John Findlay","Airdrieonians F.C."
"John Tudor","Ilkeston Town F.C."
"John Webb","Edmonton Drillers"
"Roger Davies","Seattle Sounders"
"Ryan Harper","CD Guadalajara"
"Leon Kelly","Ilkeston Town F.C."
"Robert Dunn","Airdrieonians F.C."
"Peter Millar","Cleveland Force"
"William Glen","Ireland national football team"
"Barry Elliot","Airdrieonians F.C."
"Jorge Flores","Boston Bulldogs"
"Tommy Walker","Airdrieonians F.C."
"Edward B. Gallagher","New York Yankees"
"Shawn Evans","Peterborough Lakers"
"Ian Clarke","St. Louis Ambush"
"Ben Lewis","Ospreys"
"Craig Allen","New Jersey Rockets"
"Paul Wright","San Diego Sockers"
"Alan Davidson","Airdrieonians F.C."
"James Hamilton","Airdrieonians F.C."
"Peter Bennett","St. Louis Stars"
"Walter Bruce","Detroit Cougars"
"Tony Powell","Seattle Sounders"
"Pat Baker","Peterborough Lakers"
"Stephen Grant","Boston Bulldogs"
