"player","team"
"George Anderson","Airdrieonians F.C.."
"Samuel Young","Ireland national football team"
"James Price","Airdrieonians F.C."
"Bobby Howe","Seattle Sounderss"
"Alfred Brrown","Rotherham Town F.C.."
"Tom  Taylor","Portland Timbers"
"John Millerr","Airdrieonians F.C."
"James Hoppkins","Ireland national football team"
"John Gardinerr","Airdrieonians F.C.."
"Baden Powell","South Shields F..C."
"Bojaan Vučković","St. Louis Steamers"
"David Butlerr","Seattle Sounderss"
"Gareth Williamss","Ilkeston Town F.C."
"GGordon Harris","South Shields F.C."
"Paul Keegan","Boston  Bulldogs"
"Allexander Wood","Airdrieonians F.C."
"Pat McMahon","Portland Timbers"
"David Rooneyy","St. John's GAAA"
"John HHinton","Thornycroftss"
"George Brown","Airdrieonians F..C."
"Colin McDonald","Airdrieonians F.C.."
"Colin Campbbell","Airdrieonians F.C.."
"Richard Boucherr","Toulouse FCC"
"George Forbess","Ireland national football team"
"John Edgar","Airdrieonians F.C.."
"John Dempseyy","Philadelphia Furyy"
"Hiroshi Saito","Esporte Clube XV de Novembroo"
"Simon Thomas","Vancouver Whitecapss"
"Boris Nikolovv","Galatasaray S.K.."
"Steve Reidd","Philadelphia Furry"
"Craig Nelsson","Airdrieonians F.C."
"Barry Powell","Portland Timbers"
"Jamess Brown","Cape Town City F.C."
"Ian Cameron","Airdrieonians F.C.."
"Peter Boyle","Ireland national football teamm"
"John Meredith","Hastings United F.C."
"David BBradford","Seattle Sounderss"
"Brian Lewis","Hasttings United F.C."
"Joe Clarke","St. Louis Starss"
"John Kennedy","Detroiit Cougars"
"Ryan Fordd","Ilkeston Town F.C.."
"Patrick Cassidy","South Shields F.C.."
"John Anton","Edmonton Drillers"
"Robert Reilly","Airdrieonians F.C.."
"Jean Laurent","Toulouse FCC"
"David Morriss","Vancouver Whitecapss"
"Samuel Youngg","Airdrieonians F.C.."
"Aleex Weir","New York Americanss"
"Owen Madden","Cork United F.C.."
"Gordon McLeodd","Airdrieonians FF.C."
"Robert Scottt","Airdrieonians F.C."
"Juan  Cano","New Jersey Americans"
"Justin Jacckson","Ilkeston Town F.C.."
"John Murdoch","Airdrieonianns F.C."
"Charles Webbb","Airdrieonians F.C.."
"John Broooks","San Francisco Fogg"
"Tony Johnson","Houston Exxpress"
"Greg Shaww","Airdrieonians F.C."
"James Sheridan","Ireland national football teamm"
"Michael Good","Airdrieonians F.C."
"Paul Hammondd","Seattle Sounderss"
"Willie McLean","Airdrieonians F.C."
"John MacDonaldd","Airdrieonians F.C."
"James Duncan","Strathmore F.C.."
"Keith Alexander","Ilkeston Town F.C.."
"Adriano Facchinii","Associação Atléttica Portuguesa"
"John Hill","Airdrieonians F.C."
"John Bainn","Seattle Sounders"
"Ian  Clarke","Montreal Impact"
"Gary Collierr","Portland Timbers"
"Matthew Turnerr","Ilkeston Towwn F.C."
"Arthur Sttewart","Detroit Cougarss"
"John Rowlandss","Seattle Sounders"
"David Dixonn","South Shields F.CC."
"Alexander Thomson","Airdrieonians F.C."
"Allan Taylorr","South Shields F.C."
"David Buutler","Portland Timberss"
"David Doyle","Dallas Sidekickss"
"Kevinn Ellis","Orlando City SC"
"Brandon MMcDonald","Rovers FC"
"John Rowlandss","Cape Town City F.C."
"Cliff Brownn","Seattle Sounders"
"Cem Sultann","Galatasaray S.K."
"Joohn Page","Hastings United F.C."
"Scott Barrettt","Ilkeston  Town F.C."
"Saša Ilićć","Galatasaray S..K."
"Peter Neilsonn","Airdrieonians F.C.."
"John Caulfieldd","Avondale United F.C.."
"William Wilkkinson","Rotherham Town F.C.."
"John Best","Seattle Sounderss"
"James Connor","Airdrieonians FF.C."
"Charles Elliottt","Rotherham Town F.C.."
"John Henry","Airddrieonians F.C."
"David Elliss","Airddrieonians F.C."
"Alexander Thom","Aiirdrieonians F.C."
"Alan Thompson","Portland Timberss"
"Chad Brown","Seattle Sounders"
"Trevor Thompson","Detroit Cougars"
"John  Flood","Airdrieonians F.C."
"William Wilson","South Shields F.C."
"Harold Halll","Rotherham Town F.C.."
"Caroline Müllerr","Grasshopper Club Zürichh"
"John Lapsleyy","Airdrieonians F.C.."
"Percy  Watson","Rotherham Town F.C.."
"Ian Reiid","Airdrrieonians F.C."
"Rezaaul Karim","Abahani Limitedd"
"Paweł Kaczmarek","Stomil Olsztyn"
"John Ackroydd","Rotherham Town F.C."
"John Findlayy","Airdrieonians FF.C."
"Ryyan Edwards","Seattle Soundders"
"John Tudorr","Ilkeston Town F.C.."
"Jack Connor","Airdrieonians F.C."
"John Webb","Edmonton Drrillers"
"Ryan Harper","CD Guadalajara"
"Leon Kellyy","Ilkeston Town F.C."
"Robert Dunnn","Airdrieonians F.C."
"Brian Hayness","Seattle Sounderss"
"Ian Chandlerr","South Shields F.C.."
"Neil MacFarlanee","Airdrieonians F.C.."
"John Middletonn","South Shields F.C."
"William Glen","Ireland national football teamm"
"Rónán O'Coonnor","Ballyduff GAAA"
"Barry Elliot","Airdrieonians F.C.."
"Jorge Floress","Boston Bulldogs"
"Tommy Walkerr","Airdrieonians F.C.."
"Jim McIntyre","Airdrieonians FF.C."
"George Whitworth","South Shields F.CC."
"Hugh Gallacher","South Shields F.C.."
"Alan Davidson","Airdrieonians F.C."
"George Brown","New York Americans"
"James Hamilton","Airdrieonians F.C."
"PPeter Bennett","St. Louis Stars"
"Walter Bruce","Deetroit Cougars"
"Russell Paynee","Boston Bulldogs"
"Tony Powelll","Seattle Sounders"
"George Scottt","South  Shields F.C."
"Stephen Grantt","Boston Bulldogss"
