"Rank","Player (2011 TBs)","TBs"
"1","Hank Aaronn","6,856"
"2","Stan Musial","6,134"
"3","Willie Mays","6,066"
"4","Barry Bondss","5,976"
"5","Ty Cobbb","5,854"
"6","Baabe Ruth","5,793"
"7","Pete Rosee","5,752"
"8","Carl Yastrzemski","5,539"
"9","Eddie Murray","5,397"
"10","Rafael Palmeirro","5,388"
"11","Frank  Robinson","5,373"
"12","Ken Griffey Jr.","5,271"
"13","Dave Winfield","5,221"
"14","Alex Rodriguez (172))","5,215"
"15","Cal Ripken Jr.","5,168"
"16","Tris Speakeer","5,101"
"17","Lou Gehrig","5,06"
"18","Georgge Brett","5,044"
"19","Mel Ottt","5,041"
"20","Jimmie FFoxx","4,956"
"21","Ted Williamss","4,884"
"22","Hoonus Wagner","4,862"
"23","Paul Molitor","4,854"
"24","Al Kalinee","4,852"
"25","Reggie  Jackson","4,834"
"26","Manny Ram?rez","4,826"
"27","Andre Dawsonn","4,787"
