"Nickname","Team","BirthPlace"
"Air Gordon","Orlando Magic","San Jose, California"
"Ace","Denver Nuggets","Chicago"
"A.I.","Philadelphia 76ers","Hampton, Virginia"
"Bubba Chuck","Philadelphia 76ers","Hampton, Virginia"
"Steven John Ray the Third","Philadelphia 76ers","Hampton, Virginia"
"The Answer","Philadelphia 76ers","Hampton, Virginia"
"Zo","Charlotte Hornets","Chesapeake, Virginia"
"STAT","Phoenix Suns","Lake Wales, Florida"
"Wild Thing","Golden State Warriors","Colatina"
"Iggy","Miami Heat","Springfield, Illinois"
"Il Mago","Toronto Raptors","Rome"
"AK47","Utah Jazz","Izhevsk"
"killing","Philadelphia 76ers","Birmingham, Alabama"
"The Boston Strangler","Philadelphia 76ers","Birmingham, Alabama"
"Maple Jordan","Golden State Warriors","Thornhill"
"Double A","Saint John Mill Rats","Lynn, Massachusetts"
"AD","New Orleans Hornets","Chicago"
"Brow","New Orleans Hornets","Chicago"
"Glass","New Orleans Hornets","Chicago"
"Big Dawg","Detroit Pistons","Oklahoma City"
"Dice","Los Angeles Clippers","Quitman, Mississippi"
"The Hammer","Phoenix Suns","Bethel Park, Pennsylvania"
"A Train","Chicago Bulls","Chipley, Florida"
"Sabas","Portland Trail Blazers","Kaunas"
"Madison Square Gordon","Chicago Bulls","London"
"Big Ben","Philadelphia 76ers","Victoria (Australia)"
"Fresh Prince","Philadelphia 76ers","Victoria (Australia)"
"Big Ben","Detroit Pistons","White Hall, Alabama"
"Bevo","Philadelphia Warriors","Hammondsville, Ohio"
"Dollar Bill","New York Knicks","Crystal City, Missouri"
"Mr. President","New York Knicks","Crystal City, Missouri"
"The Secretary of State","New York Knicks","Crystal City, Missouri"
"The Owl without a Vowel","Philadelphia Warriors","Palmerton, Pennsylvania"
"Russ","St. Louis Hawks","Monroe, Louisiana"
"Kangaroo Kid","Philadelphia 76ers","Brooklyn"
"The Whopper","San Diego Rockets","River Edge, New Jersey"
"Bimbo","Sacramento Kings","Covington, Virginia"
"Bingo","San Diego Rockets","Memphis, Tennessee"
"BB-8","Orlando Magic","Lubumbashi"
"Big Bizness","Orlando Magic","Lubumbashi"
"Biznation","Orlando Magic","Lubumbashi"
