"Country","Region","City"
"Nigeria","Oyo","Bara"
"Sweden","Skane","Bara"
"Sweden","Soedermanland","Bara"
"Romania","Timis","Bara"
"Nigeria","Yobe","Bara"
"Romania","Neamt","Bâra"
"Venezuela","Anzoategui","Barcelona"
"Philippines","Bicol","Barcelona"
"Philippines","Caraga","Barcelona"
"Spain","Catalonia","Barcelona"
"Philippines","Zamboanga Peninsula","Barcelona"
"United Kingdom","England","Cambridge"
"Canada","Ontario","Cambridge"
"Jamaica","St James","Cambridge"
"Australia","Tasmania","Cambridge"
"New Zealand","Waikato","Cambridge"
"Italy","Lombardy","Como"
"Australia","New South Wales","Como"
"Australia","Western Australia","Como"
"Ireland","Leinster","Dublin"
"Australia","New South Wales","Hamilton"
"Canada","Ontario","Hamilton"
"United Kingdom","Scotland","Hamilton"
"Australia","Victoria","Hamilton"
"New Zealand","Waikato","Hamilton"
"Canada","Ontario","Kingston"
"New Zealand","Otago","Kingston"
"Australia","South Australia","Kingston"
"Australia","Tasmania","Kingston"
"Portugal","Lisbon","Lisbon"
"United Kingdom","England","London"
"Canada","Ontario","London"
"Spain","Aragon","Luna"
"Philippines","Bicol","Luna"
"Philippines","Cagayan Valley","Luna"
"Philippines","Caraga","Luna"
"Romania","Cluj","Luna"
"Philippines","Ilocos","Luna"
"Philippines","Western Visayas","Luna"
"United Kingdom","England","Manchester"
"Saudi Arabia","Al Madinah al Munawwarah","Medina"
"Colombia","Cundinamarca","Medina"
"Mexico","Guanajuato","Medina"
"Brazil","Minas Gerais","Medina"
"Philippines","Northern Mindanao","Medina"
"Australia","Western Australia","Medina"
"Italy","Lombardy","Milan"
"Colombia","Caqueta","Milán"
"France","Corsica","Monticello"
"Italy","Lombardy","Monticello"
"Italy","Campania","Naples"
"New Zealand","Canterbury","Oxford"
"United Kingdom","England","Oxford"
"Canada","Nova Scotia","Oxford"
"Philippines","Bicol","Pamplona"
"Philippines","Cagayan Valley","Pamplona"
"Philippines","Central Visayas","Pamplona"
"Spain","Navarre","Pamplona"
"Colombia","Norte de Santander","Pamplona"
"France","Ile-de-France","Paris"
"Canada","Ontario","Paris"
"Panama","Herrera","París"
"Brazil","Rio Grande do Sul","Rio Grande"
"Panama","Cocle","Río Grande"
"Peru","Ica","Río Grande"
"Mexico","Michoacan","Río Grande"
"Dominican Republic","Puerto Plata","Río Grande"
"Puerto Rico","Rio Grande","Río Grande"
"Argentina","Tierra del Fuego","Río Grande"
"Panama","Veraguas","Río Grande"
"Mexico","Zacatecas","Río Grande"
"Philippines","Cavite","Rosario"
"Philippines","Batangas","Rosario"
"Italy","Calabria","Rosario"
"Philippines","Caraga","Rosario"
"Uruguay","Colonia","Rosario"
"Philippines","Eastern Visayas","Rosario"
"Philippines","Ilocos","Rosario"
"Argentina","Santa Fe","Rosario"
"Mexico","Sonora","Rosario"
"Philippines","Western Visayas","Rosario"
"Colombia","Antioquia","San Francisco"
"Honduras","Atlantida","San Francisco"
"Peru","Ayacucho","San Francisco"
"Mexico","Baja California Sur","San Francisco"
"Philippines","Bicol","San Francisco"
"Philippines","Calabarzon","San Francisco"
"Philippines","Caraga","San Francisco"
"Philippines","Central Luzon","San Francisco"
"Philippines","Central Visayas","San Francisco"
"Argentina","Cordoba","San Francisco"
"Colombia","Cundinamarca","San Francisco"
"Philippines","Eastern Visayas","San Francisco"
"Mexico","Guerrero","San Francisco"
"Costa Rica","Heredia","San Francisco"
"El Salvador","Chalatenango","San Francisco"
"Guatemala","Peten","San Francisco"
"Colombia","Putumayo","San Francisco"
"Mexico","Veracruz","San Francisco"
"Panama","Veraguas","San Francisco"
"Philippines","Western Visayas","San Francisco"
"Venezuela","Zulia","San Francisco"
"Philippines","Camarines Sur","San Jose"
"Philippines","Catanduanes","San Jose"
"Philippines","Calabarzon","San Jose"
"Philippines","Caraga","San Jose"
"Philippines","Central Luzon","San Jose"
"Philippines","Central Visayas","San Jose"
"Philippines","Eastern Visayas","San Jose"
"Philippines","Mimaropa","San Jose"
"Philippines","Northern Mindanao","San Jose"
"Philippines","Western Visayas","San Jose"
"Costa Rica","Alajuela","San José"
"Spain","Andalusia","San José"
"Paraguay","Caaguazu","San José"
"Colombia","Caldas","San José"
"Argentina","Catamarca","San José"
"Mexico","Hidalgo","San José"
"Honduras","La Paz","San José"
"Peru","Lambayeque","San José"
"Panama","Los Santos","San José"
"Argentina","Misiones","San José"
"Colombia","Narino","San José"
"Panama","Panama Oeste","San José"
"Guatemala","Peten","San José"
"Mexico","Puebla","San José"
"Costa Rica","San Jose","San José"
"Panama","Veraguas","San José"
"Honduras","Yoro","San José"
"Philippines","Calabarzon","Santa Lucia"
"Italy","Campania","Santa Lucia"
"Philippines","Central Luzon","Santa Lucia"
"Panama","Chiriqui","Santa Lucia"
"Philippines","Ilocos","Santa Lucia"
"Italy","Latium","Santa Lucia"
"Italy","Tuscany","Santa Lucia"
"Colombia","Atlantico","Santa Lucía"
"Venezuela","Barinas","Santa Lucía"
"Nicaragua","Boaco","Santa Lucía"
"Spain","Canary Islands","Santa Lucía"
"Uruguay","Canelones","Santa Lucía"
"Argentina","Corrientes","Santa Lucía"
"Honduras","Francisco Morazan","Santa Lucía"
"Ecuador","Guayas","Santa Lucía"
"Cuba","Holguin","Santa Lucía"
"Honduras","Ocotepeque","Santa Lucía"
"Peru","Puno","Santa Lucía"
"Argentina","San Juan","Santa Lucía"
"Colombia","Antioquia","Santo Domingo"
"Philippines","Bicol","Santo Domingo"
"Philippines","Cagayan Valley","Santo Domingo"
"Philippines","Central Luzon","Santo Domingo"
"Mexico","Chiapas","Santo Domingo"
"Panama","Chiriqui","Santo Domingo"
"Nicaragua","Chontales","Santo Domingo"
"Costa Rica","Heredia","Santo Domingo"
"Philippines","Ilocos","Santo Domingo"
"Panama","Los Santos","Santo Domingo"
"Venezuela","Merida","Santo Domingo"
"Dominican Republic","Nacional","Santo Domingo"
"Peru","Piura","Santo Domingo"
"Mexico","San Luis Potosi","Santo Domingo"
"Cuba","Villa Clara","Santo Domingo"
"Australia","Queensland","Springfield"
"Chile","Araucania","Victoria"
"Romania","Botosani","Victoria"
"Romania","Braila","Victoria"
"Romania","Brasov","Victoria"
"Canada","British Columbia","Victoria"
"El Salvador","Cabanas","Victoria"
"Philippines","Calabarzon","Victoria"
"Colombia","Caldas","Victoria"
"Philippines","Central Luzon","Victoria"
"Philippines","Eastern Visayas","Victoria"
"Seychelles","English River","Victoria"
"Argentina","Entre Rios","Victoria"
"Mexico","Guanajuato","Victoria"
"Romania","Iasi","Victoria"
"Malaysia","Labuan","Victoria"
"Philippines","Mimaropa","Victoria"
"Grenada","Saint Mark","Victoria"
"Malta","Gozo","Victoria"
"United Kingdom","Wales","Victoria"
"Honduras","Yoro","Victoria"
