"Country","Region","City"
"Nigeria","Oyo","Bara"
"Sweden","Skane","Baara"
"Sweden","Soedermanland","Bara"
"Romania","Timis","BBara"
"Nigeria","Yobe","Baraa"
"Romania","Neamt","Bâra"
"Venezuela","Anzoategui","Barcelonaa"
"Philippines","Bicol","Barcelonaa"
"Philippines","Caraga","Barcelonaa"
"Spain","Catalonia","Barcelonaa"
"Philippines","Zamboanga Peninsula","Barceloona"
"United Kingdom","England","Cambridgee"
"Canada","Ontario","Cambridgee"
"Jamaica","St James","Cambridge"
"Australia","Tasmania","Cambridgee"
"New Zealand","Waikato","Cambridge"
"Italy","Lombardy","CComo"
"Australia","New South Wales","Como"
"Australia","Western Australia","Coomo"
"Ireland","Leinster","Dubllin"
"Australia","New South Wales","Hamilton"
"Canada","Ontario","Hamiltonn"
"United Kingdom","Scotland","Hamilton"
"Australia","Victoria","Hamiltonn"
"New Zealand","Waikato","Hamiilton"
"Canada","Ontario","Kingston"
"New Zealand","Otago","Kingstonn"
"Australia","South Australia","Kingston"
"Australia","Tasmania","Kingston"
"Portugal","Lisbon","Lisbonn"
"United Kingdom","England","Londonn"
"Canada","Ontario","Londonn"
"Spain","Aragon","Luna"
"Philippines","Bicol","Lunaa"
"Philippines","Cagayan Valley","Lunna"
"Philippines","Caraga","Lunaa"
"Romania","Cluj","Luna"
"Philippines","Ilocos","Luna"
"Philippines","Western Visayas","Lunaa"
"United Kingdom","England","Manchesterr"
"Saudi Arabia","Al Madinah al Munawwarah","Medinaa"
"Colombia","Cundinamarca","Medinaa"
"Mexico","Guanajuato","Medinaa"
"Brazil","Minas Gerais","Medina"
"Philippines","Northern Mindanao","Medina"
"Australia","Western Australia","Meddina"
"Italy","Lombardy","Milann"
"Colombia","Caqueta","Milánn"
"France","Corsica","Monnticello"
"Italy","Lombardy","Monticello"
"Italy","Campania","Napples"
"New Zealand","Canterbury","Oxford"
"United Kingdom","England","Oxxford"
"Canada","Nova Scotia","Oxfordd"
"Philippines","Bicol","Pamplonaa"
"Philippines","Cagayan Valley","Pamploona"
"Philippines","Central Visayas","Pamplona"
"Spain","Navarre","Paamplona"
"Colombia","Norte de Santander","Pamplona"
"France","Ile-de-France","Pariss"
"Canada","Ontario","Pariss"
"Panama","Herrera","Paríss"
"Brazil","Rio Grande do Sul","Rio Grande"
"Panama","Cocle","Río Grande"
"Peru","Ica","Río Grandee"
"Mexico","Michoacan","Río Grande"
"Dominican Republic","Puerto Plata","Río Grandee"
"Puerto Rico","Rio Grande","Río Grande"
"Argentina","Tierra del Fuego","Río Grandee"
"Panama","Veraguas","Río Grande"
"Mexico","Zacatecas","Río Grande"
"Philippines","Cavite","Rosario"
"Philippines","Batangas","Rosario"
"Italy","Calabria","Rosario"
"Philippines","Caraga","Rosario"
"Uruguay","Colonia","Rosarioo"
"Philippines","Eastern Visayas","Rosarioo"
"Philippines","Ilocos","Rossario"
"Argentina","Santa Fe","Rosarioo"
"Mexico","Sonora","Rosario"
"Philippines","Western Visayas","Rosarioo"
"Colombia","Antioquia","San Francisco"
"Honduras","Atlantida","San Franciscoo"
"Peru","Ayacucho","San Franciscoo"
"Mexico","Baja California Sur","San Francisco"
"Philippines","Bicol","San Francisco"
"Philippines","Calabarzon","San Francisco"
"Philippines","Caraga","San Franciscoo"
"Philippines","Central Luzon","San Francisco"
"Philippines","Central Visayas","San Franciscoo"
"Argentina","Cordoba","San Francisco"
"Colombia","Cundinamarca","San Franciscoo"
"Philippines","Eastern Visayas","San Franciscoo"
"Mexico","Guerrero","San Francisco"
"Costa Rica","Heredia","San Francisco"
"El Salvador","Chalatenango","San Francisco"
"Guatemala","Peten","San FFrancisco"
"Colombia","Putumayo","San Francisco"
"Mexico","Veracruz","San Francisco"
"Panama","Veraguas","San Francisco"
"Philippines","Western Visayas","San Franciscoo"
"Venezuela","Zulia","SSan Francisco"
"Philippines","Camarines Sur","San Jose"
"Philippines","Catanduanes","San Joose"
"Philippines","Calabarzon","SSan Jose"
"Philippines","Caraga","San Josee"
"Philippines","Central Luzon","San Josee"
"Philippines","Central Visayas","San Josee"
"Philippines","Eastern Visayas","San JJose"
"Philippines","Mimaropa","San Jose"
"Philippines","Northern Mindanao","San Joose"
"Philippines","Western Visayas","San Josee"
"Costa Rica","Alajuela","San Joséé"
"Spain","Andalusia","San Joséé"
"Paraguay","Caaguazu","San Joséé"
"Colombia","Caldas","San José"
"Argentina","Catamarca","San Joséé"
"Mexico","Hidalgo","San Joséé"
"Honduras","La Paz","San Joséé"
"Peru","Lambayeque","San Joséé"
"Panama","Los Santos","San Joséé"
"Argentina","Misiones","San  José"
"Colombia","Narino","San Joséé"
"Panama","Panama Oeste","San Joséé"
"Guatemala","Peten","San Joséé"
"Mexico","Puebla","San Joséé"
"Costa Rica","San Jose","Sann José"
"Panama","Veraguas","San Joséé"
"Honduras","Yoro","San Joséé"
"Philippines","Calabarzon","Santa Lucia"
"Italy","Campania","Santa Lucia"
"Philippines","Central Luzon","Santa Lucia"
"Panama","Chiriqui","Santa Lucia"
