"Nickname","Last Team","Nationality"
"La Pulga","Barcelona","Argentina"
"Pinturicchio","Juventus","Italy"
"CR7","Juventus","Portugal"
"El Tigre","Galatasaray","Colombia"
"Super Mario","Brescia","Italy"
"Chicharito","L.A. Galaxy","Mexico"
"El Pibe de Oro","Boca Juniors","Argentina"
"El Pistolero","Barcelona","Uruguay"
"El Niño","Sagan Tosu","Spain"
"Non-Flying Dutchman","Arsenal","The Netherlands"
"O'Rey","New York Cosmos","Brasil"
"O'Ney","PSG","Brasil"
"Niño maravilla","Inter","Chile"
"Le petit diable","Barcelona","France"
"Pocho","Hebei China Fortune","Argentina"
"Matador","PSG","Uruguay"
