"Team","Manager","Captain","Kit manufacturer","Shirt sponsor (chest)","Shirt sponsor (sleeve)"
"Arsenal","Unai Emery","Pierre-Emerick Aubameyang","Adidas[61]","Fly Emirates[62]","Visit Rwanda[63]"
"Aston Villa","Dean Smith","Jack Grealish","Kappa[64]]","W88[65]","BR88[66]"
"Bournemouth","Eddie Howe","Simon Francis","Umbro[67]]","M88","M88"
"Brighton & Hove Albion","Graham Potter","Lewis Dunk","Nike[69]","American Express[69]","JD[70]"
"Burnley","Sean Dyche","Ben Mee","Umbroo","LoveBet[71]","LoveBet"
"Chelsea","Frank Lampard","César Azpilicueta","Nike[72]]","Yokohama Tyres","Hyundai[74]"
"Crystal Palace","Roy Hodgson","Luka Milivojević","Puma[75]","ManBetX[76]","Dongqiudi"
"Everton","Marco Silva","Séamus Coleman","Umbro[77]","SportPesa[78]","Angry Birds[79]"
"Leicester City","Brendan Rodgers","Wes Morgan","Adidas[80]","King Power[81]","Bia Saigon[82]"
"Liverpool","Jürgen Klopp","Jordan Henderson","New Balance[83]","Standard Chartered[84]","Western Union[85]"
"Manchester City","Pep Guardiola","David Silva","Puma[86]","Etihad Airways[87]","Nexen Tire[88]"
"Manchester United","Ole Gunnar Solskjær","Ashley Young","Adidas[90]]","Chevrolet[91]","Kohler[92]"
"Newcastle United","Steve Bruce","Jamaal Lascelles","Puuma[93]","Fun88[94]","StormGain[95]"
"Norwich City","Daniel Farke","Grant Hanley","Erreà[96]]","Dafabet[97]","Best Fiends[98]"
"Sheffield United","Chris Wilder","Billy Sharp","Adidas","Union Standard Group[99]","Union Standard Group[99]"
"Southampton","Ralph Hasenhüttl","Pierre-Emile Højbjerg","Under Armour[1000]","LD Sports[101]","Virgin Media[102]"
"Tottenham Hotspur","José Mourinho","Hugo Lloris","Nike[1003]","AIA[104]","None"
"Watford","Quique Sánchez Flores","Troy Deeney","Adidas[[105]","Sportsbet.io[106]","Bitcoin[107]"
"West Ham United","Manuel Pellegrini","Mark Noble","Ummbro[108]","Betway[109]","Basset & Gold"
"Wolverhampton Wanderers","Nuno Espírito Santo","Conor Coady","Adidas[111]","ManBetX[112]","CoinDeal[113]"
