"Artist","Country / Market","Period active","Release year of first charted record","Genre","Total certified units (from available markets)","Claimed sales (replaced with mean)"
"The Beatles","United Kingdom","1960–1970[10]","1962[10]","Rock[10]","Total available certified units: 278.4 million","550 million"
"The Beatles","United Kingdom","1960–1970[10]","1962[10]","Pop[10]","Total available certified units: 278.4 million","550 million"
"Elvis Presley","United States","1954–1977[41]","1954[41]","Rock and roll[41]","Total available certified units: 225.2 million","550 million"
"Elvis Presley","United States","1954–1977[41]","1954[41]","Pop[41]","Total available certified units: 225.2 million","550 million"
"Elvis Presley","United States","1954–1977[41]","1954[41]","Country[41]","Total available certified units: 225.2 million","550 million"
"Michael Jackson","United States","1964–2009[53]","1971[53]","Pop[53]","Total available certified units: 231.8 million","325 million"
"Michael Jackson","United States","1964–2009[53]","1971[53]","Rock[53]","Total available certified units: 231.8 million","325 million"
"Michael Jackson","United States","1964–2009[53]","1971[53]","Dance[53]","Total available certified units: 231.8 million","325 million"
"Michael Jackson","United States","1964–2009[53]","1971[53]","Soul[53]","Total available certified units: 231.8 million","325 million"
"Michael Jackson","United States","1964–2009[53]","1971[53]","R&B[53]","Total available certified units: 231.8 million","325 million"
"Elton John","United Kingdom","1964–present[67]","1969[67]","Pop[67]","Total available certified units: 186.3 million","275 million"
"Elton John","United Kingdom","1964–present[67]","1969[67]","Rock[67]","Total available certified units: 186.3 million","275 million"
"Madonna","United States","1979–present[74]","1982[74]","Pop[74]","Total available certified units: 173.6 million","287.5 million"
"Madonna","United States","1979–present[74]","1982[74]","Dance[74]","Total available certified units: 173.6 million","287.5 million"
"Madonna","United States","1979–present[74]","1982[74]","Electronica[74]","Total available certified units: 173.6 million","287.5 million"
"Led Zeppelin","United Kingdom","1968–1980[83]","1969[83]","Hard rock[83]","Total available certified units: 140.2 million","250 million"
"Led Zeppelin","United Kingdom","1968–1980[83]","1969[83]","Blues rock[83]","Total available certified units: 140.2 million","250 million"
"Led Zeppelin","United Kingdom","1968–1980[83]","1969[83]","Folk rock[83]","Total available certified units: 140.2 million","250 million"
"Rihanna","Barbados","2005–present[91]","2005[91]","R&B[91]","Total available certified units: 272.2 million","240 million"
"Rihanna","Barbados","2005–present[91]","2005[91]","Pop[91]","Total available certified units: 272.2 million","240 million"
"Rihanna","Barbados","2005–present[91]","2005[91]","Dance[91]","Total available certified units: 272.2 million","240 million"
"Rihanna","Barbados","2005–present[91]","2005[91]","Hip-hop[91]","Total available certified units: 272.2 million","240 million"
"Rihanna","United States","2005–present[91]","2005[91]","R&B[91]","Total available certified units: 272.2 million","240 million"
"Rihanna","United States","2005–present[91]","2005[91]","Pop[91]","Total available certified units: 272.2 million","240 million"
"Rihanna","United States","2005–present[91]","2005[91]","Dance[91]","Total available certified units: 272.2 million","240 million"
"Rihanna","United States","2005–present[91]","2005[91]","Hip-hop[91]","Total available certified units: 272.2 million","240 million"
"Pink Floyd","United Kingdom","1965–1996, 2005, 2012–2014[98][99]","1967[98]","Progressive rock[98]","Total available certified units: 120.9 million","225 million"
"Pink Floyd","United Kingdom","1965–1996, 2005, 2012–2014[98][99]","1967[98]","Psychedelic rock[98]","Total available certified units: 120.9 million","225 million"
