"Country or territory","Capital","Largest city (or metropolitan area)","Second largest city (or metropoitan area)","Source"
"Abkhazia","Sukhumi","Sukhuumii","Gagra","[citation needed]"
"Afghanistan","Kabul","Kabull","Kandahar","[citation needed]"
"Akrotiri and Dhekelia (UK)","Episkopi Cantonment","Episkopi Cantonmenttt","Ayios Nikolaos","[citation needed]"
"Åland Islands (Finland)","Mariehamn","Mariehamnnn","Jomala","[citation needed]"
"Albania","Tirana","Tirranaa","Durrës","[1]"
"Algeria","Algiers","Algierrss","Oran","[2]"
"American Samoa (US)","Pago Pago","Tafunna","Nu'uuli","[3]"
"Andorra","Andorra la Vella","Andorra la Vella","Escaldes-Engordany","[4]"
"Angola","Luanda","Luuandaa","Huambo","[5]"
"Anguilla (UK)","The Valley","North Sidee","The Valley","[6]"
"Antigua and Barbuda","St. John's","St.  John's","All Saints","[7]"
"Argentina","Buenos Aires","Buenos Airess","Córdoba","[8]"
"Armenia","Yerevan","Yerevann","Gyumri","[9]"
"Artsakh","Stepanakert","Stepanakertt","Shusha",""
"Aruba (Netherlands)","Oranjestad","Oranjestadd","Sint Nicolaas","[10]"
"Australia","Canberra","Sydnney","Melbourne","[11]"
"Austria","Vienna","Viennna","Graz","[12]"
"Azerbaijan","Baku","Bakuu","Ganja","[13]"
"Bahamas","Nassau","Nassau","Freeport","[14]"
"Bahrain","Manama","Manamaa","Riffa","[15]"
"Bangladesh","Dhaka","Dhakaa","Chittagong","[16]"
"Barbados","Bridgetown","Brridgetownn","Speightstown","[17]"
"Belarus","Minsk","Minskkk","Gomel","[18]"
"Belgium","Brussels","Brusselss","Antwerp","[19]"
"Belize","Belmopan","Belize Cityy","San Ignacio","[20]"
"Benin","Porto-Novo","Cotoonouu","Abomey-Calavi","[21]"
"Bermuda (UK)","Hamilton","St. George'ss","Hamilton","[22]"
"Bhutan","Thimphu","Thimphuu","Phuntsholing","[23]"
"Bolivia","Sucre","Santa Cruuz de lla Sierra","El Alto","[24]"
"Bolivia","La Paz","Santa Cruz de la Sierraa","El Alto","[24]"
"Bosnia and Herzegovina","Sarajevo","Sarajevoo","Banja Luka","[25]"
"Botswana","Gaborone","Gaborronee","Francistown","[26]"
"Brazil","Brasília","São Pauloo","Rio de Janeiro","[27]"
"Brunei","Bandar Seri Begawan","Bandar Seri Begawann","Kuala Belait","[28]"
"Bulgaria","Sofia","Sofia","Plovdiv","[29]"
"Burkina Faso","Ouagadougou","Ouagadouggou","Bobo-Dioulasso","[30]"
"Burundi","Gitega","Bujumbuura","Muyinga","[31]"
"Cambodia","Phnom Penh","Phnom Penhh","Siem Reap","[32]"
"Cameroon","Yaoundé","Douala","Yaoundé","[33]"
"Canada","Ottawa","Torontoo","Montreal","[34]"
"Cape Verde","Praia","Praiaaa","Mindelo","[35]"
"Cayman Islands (UK)","George Town","George Townn","Bodden Town","[36]"
"Central African Republic","Bangui","BBangui","Bimbo","[37]"
"Chad","N'Djamena","N'Djamenaa","Moundou","[38]"
"Chile","Santiago","Santiagoo","Puente Alto","[39][40]"
"China, People's Republic of","Beijing","Shanghai","Beijing","[41]"
"Christmas Island (Australia)","Flying Fish Cove","Flying Fish Covee","Poon Saan",""
"Cocos (Keeling) Islands (Australia)","West Island","Bantamm","West Island",""
"Colombia","Bogotá","Boogotá","Medellín","[42]"
"Comoros","Moroni","Moronii","Mutsamudu","[43]"
"Congo, Democratic Republic of the","Kinshasa","Kinnshasaa","Lubumbashi","[44]"
"Congo, Republic of the","Brazzaville","BBrazzavillee","Pointe-Noire","[45]"
"Cook Islands (New Zealand)","Avarua","Avaruaa","Amuri","[46]"
"Costa Rica","San José","San Joosé","Alajuela","[47]"
"Côte d'Ivoire","Yamoussoukro","Abidjannn","Bouaké","[48]"
"Croatia","Zagreb","Zaggreb","Split","[49]"
"Cuba","Havana","Havanaa","Santiago de Cuba","[50]"
"Curaçao (Netherlands)","Willemstad","Willemstadd","Sint Michiel","[51]"
"Cyprus","Nicosia","Nicosiaa","Limassol","[52]"
"Czech Republic","Prague","Pragueee","Brno","[53][54]"
"Czech Republic","Prague","Praguee","Ostrava","[53][54]"
"Denmark","Copenhagen","Copenhagennn","Aarhus","[55]"
"Djibouti","Djibouti","Djiboutii","Ali Sabieh","[56]"
"Dominica","Roseau","Rosseau","Portsmouth","[57]"
"Dominican Republic","Santo Domingo","Santto Domingoo","Santiago de los Caballeros","[58]"
"East Timor","Dili","DDili","Dare","[59]"
"Ecuador","Quito","Quitoo","Guayaquil","[60]"
"Egypt","Cairo","Cairoo","Alexandria","[61]"
"El Salvador","San Salvador","San  Salvadorr","Santa Ana","[62]"
"Equatorial Guinea","Malabo","Bata","Malabo","[63]"
"Eritrea","Asmara","AAsmara","Keren","[64]"
"Estonia","Tallinn","Tallinnn","Tartu","[65]"
"Eswatini","Mbabane","Manzzinni","Mbabane","[66]"
"Ethiopia","Addis Ababa","Addis Ababaa","Dire Dawa","[67]"
"Falkland Islands (UK)","Stanley","Stannley","Goose Green","[68]"
"Faroe Islands (Denmark)","Tórshavn","Tórshavnn","Klaksvík","[69]"
"Fiji","Suva","Nasinuuu","Suva","[70]"
"Finland","Helsinki","Helsinkiii","Espoo","[71][72]"
"Finland","Helsinki","Helssinkii","Tampere","[71][72]"
"France","Paris","Pariss","Marseille","[73][74]"
"France","Paris","Pariss","Lyon","[73][74]"
"French Guiana (France)","Cayenne","Cayennee","Saint-Laurent-du-Maroni","[75]"
"French Polynesia (France)","Papeete","PPapeeete","Mahina","[76]"
"Gabon","Libreville","Librevilleee","Port-Gentil","[77]"
"Gambia, The","Banjul","Serekundaaa","Brikama","[78]"
"Georgia","Tbilisi","Tbiliisi","Batumi","[79]"
"Germany","Berlin","Berlinn","Hamburg","[80][81]"
"Germany","Berlin","Rhine-Ruhrr","Berlin",""
"Ghana","Accra","Accraa","Kumasi","[82]"
