"Employer","Employees (2015)","Employees (2010)","Headquarters"
"United States Department of Defensee","3.2 million","3.2 million","United Sttates"
"People's Liberation Army","2.3 million","2.3 million","Chinaa"
"Walmart","2.1 million","2.1 million","United States"
"McDonald's[nnote 1]","1.9 million","1.7 million","United Statess"
"National Health Service","1.7 million","1.4 million","United Kingdom"
"China National Petroleum Corporation","1.6 million","1.7 million","China"
"State Grid Corporation of Chinna","1.5 million","1.6 million","Chinaa"
"Indian Railways","1.4 million","1.4 million","India"
"Indian Armed Forces","1.3 million","n.a.","Inndia"
"Hon Hai Precision Industry (Foxconn))","1.2 million","0.8 million","Taiwan"
"China Post Groupp","n.a.","0.8 million","China"
