"Nation","National anthem","Date adopted","Lyricist","Composer","Audio","Ref."
"Afghanistan","""Millī Surūd"" (""National Anthem"")","2006","Abdul Bari Jahani","Babrak Wassa [de]","""Millī Surūd""","[15]"
"Albania","""Betimi mbi Flamur"" (""The Pledge on the Flag"")","1912","Aleksandër Stavre Drenova","Ciprian Porumbescu","""Himni i Flamurit""","[16]"
"Algeria","""Kassaman"" (""We Pledge"")","1962","Moufdi Zakaria","Mohamed Fawzi","""Kassaman""","[17]"
"Andorra","""El Gran Carlemany"" (""The Great Charlemagne"")","1914","Enric Marfany Bons","Juan Benlloch y Vivó","""El Gran Carlemany""","[18]"
"Angola","""Angola Avante"" (""Onward Angola"")","1975","Manuel Rui Alves Monteiro","Rui Alberto Vieira Dias Mingas [pt]","""Angola Avante""","[19][20]"
"Antigua and Barbuda","""Fair Antigua, We Salute Thee""[b]","1981","Novelle Hamilton Richards","Walter Garnet Picart Chambers","""Fair Antigua, We Salute Thee""","[21][22]"
"Argentina","""Himno Nacional Argentino"" (""Argentine National Anthem"")","1813","Vicente López y Planes","Blas Parera","""Himno Nacional Argentino""","[23][24]"
"Armenia","""Mer Hayrenik"" (""Our Fatherland"")","1918","Mikael Nalbandian","Barsegh Kanachyan","""Mer Hayrenik""","[25]"
"Armenia","""Mer Hayrenik"" (""Our Fatherland"")","1991","Mikael Nalbandian","Barsegh Kanachyan","""Mer Hayrenik""","[25]"
"Australia","""Advance Australia Fair""[b]","1984","Peter Dodds McCormick","Peter Dodds McCormick","""Advance Australia Fair""","[26][27][28]"
"Austria","""Bundeshymne der Republik Österreich"" (""National Anthem of the Republic of Austria"")","1947","Paula von Preradović","Wolfgang Amadeus Mozart","",""
"Austria","""Bundeshymne der Republik Österreich"" (""National Anthem of the Republic of Austria"")","1947","Paula von Preradović","Johann Holzer","""National Anthem of the Republic of Austria""","[29][30]"
"Azerbaijan","""Azərbaycan marşı"" (""Azerbaijan's Anthem"")","1918","Ahmed Javad","Uzeyir Hajibeyov","""Azərbaycan Dövlət Himni""","[31][32]"
"Bahamas","""March On, Bahamaland""[b]","1973","Timothy Gibson","Timothy Gibson","""March On, Bahamaland""","[33]"
"Bahrain","""Bahrainona"" (""Our Bahrain"")","1971","Mohamed Sudqi Ayyash","unknown","""Our Bahrain""","[34]"
"Bangladesh","""Amar Shonar Bangla"" (""My Golden Bengal"")","1972","Rabindranath Tagore","Samar Das","""Amar Shonar Bangla""","[35]"
"Barbados","""In Plenty and In Time of Need""","1966","Irving Burgie","C. Van Roland Edwards","""In Plenty and In Time of Need""","[36]"
"Belarus","""My Belarusy"" (""We, the Belarusians"")[c]","1955","Michael Klimovich","Nestar Sakalowski","""My Belarusy""","[37][38]"
"Belgium","The ""Brabançonne""","1830","Jenneval","François Van Campenhout","""The Brabançonne""","[39][40]"
"Belize","""Land of the Free""","1981","Samuel Alfred Haynes","Selwyn Walford Young","""Land of the Free""","[41]"
"Benin","""L'Aube Nouvelle"" (""The Dawn of a New Day"")","1960","Gilbert Jean Dagnon","Gilbert Jean Dagnon","""L'Aube Nouvelle""","[42]"
"Bhutan","""Druk tsendhen"" (""The Thunder Dragon Kingdom"")","1953","Dasho Gyaldun Thinley","Aku Tongmi","""Druk tsendhen""","[43][44]"
"Bolivia","""Himno Nacional de Bolivia"" (""National Anthem of Bolivia"")","1852","José Ignacio de Sanjinés","Leopoldo Benedetto Vincenti","""Himno Nacional de Bolivia""","[45]"
"Bosnia and Herzegovina","""Državna himna Bosne i Hercegovine"" (""The National Anthem of Bosnia and Herzegovina"")","1999","Awaiting official approval","Dušan Šestić","","[46]"
"Botswana","""Fatshe leno la rona"" (""Blessed Be This Noble Land"")","1966","Kgalemang Tumedisco Motsete","Kgalemang Tumedisco Motsete","""Fatshe leno la rona""","[47]"
"Brazil","""Hino Nacional Brasileiro"" (""Brazilian National Anthem"")","1831","Joaquim Osório Duque Estrada","Francisco Manuel da Silva","""Hino Nacional Brasileiro""","[48]"
"Brunei","""Allah Peliharakan Sultan"" (""God Bless the Sultan"")","1951","Pengiran Haji Mohamed Yusuf bin Abdul Rahim","Besar bin Sagap","""Allah Peliharakan Sultan""","[49]"
"Bulgaria","""Mila Rodino"" (""Dear Motherland"")","1964","Tsvetan Radoslavov","Tsvetan Radoslavov","""Mila Rodino""","[50]"
"Burkina Faso","""Une Seule Nuit"" (""One Single Night"")","1984","Thomas Sankara","Thomas Sankara","""Une Seule Nuit""","[51]"
"Burundi","""Burundi Bwacu"" (""Our Burundi"")","1962","Jean-Baptiste Ntahokaja","Marc Barengayabo","""Burundi Bwacu""","[52]"
"Cambodia","""Nokor Reach"" (""Royal Kingdom"")","1941","Samdach Chuon Nat","F. Perruchot","""Nokoreach""","[53]"
"Cambodia","""Nokor Reach"" (""Royal Kingdom"")","1941","Samdach Chuon Nat","J. Jekyll","""Nokoreach""","[53]"
