"city","city_misspelled","state"
"Abbeville","Abbevile","Georgia, GA"
"Abbeville","Abeville","Georgia, GA"
"Abilene","Abiline","Texas, TX"
"Adamsville","Adamsvile","Tennessee, TN"
"Akron","Acron","Ohio, OH"
"Alabaster","Alabastre","Alabama, AL"
"Alameda","Alamedda","California, CA"
"Alamosa","Alamusa","Colorado, CO"
"Albany","Albanee","Oregon, OR"
"Albany","Albny","Oregon, OR"
"Albany","Allbany","New York, NY"
"Albertville","Albertvile","Alabama, AL"
"Albuquerque","Abaquerque","New Mexico, NM"
"Albuquerque","Albequerque","New Mexico, NM"
"Albuquerque","Albuqerque","New Mexico, NM"
"Albuquerque","Albuquerqe","New Mexico, NM"
"Algona","Allgona","Washington, WA"
"Algona","Allgona","Iowa, IA"
"Algonquin","Algonkwen","Illinois, IL"
"Algonquin","Algonkwin","Illinois, IL"
"Algonquin","Algonquen","Illinois, IL"
"Allentown","Alentown","Pennsylvania, PA"
"Alma","Amla","Arkansas, AR"
"Anderson","Andarson","South Carolina, SC"
"Ann Arbor","An Arbor","Michigan, MI"
"Annapolis","Anapolis","Maryland, MD"
"Anniston","Aniston","Alabama, AL"
"Anoka","Annoka","Minnesota, MN"
"Anthony","Anthoy","New Mexico, NM"
"Apache Junction","Apach Junction","Arizona, AZ"
"Apache Junction","Apache Junktion","Arizona, AZ"
"Apex","Apecks","North Carolina, NC"
"Apex","Apexs","North Carolina, NC"
"Artesia","Artesea","Mississippi, MS"
"Arvada","Avrada","Colorado, CO"
"Arvada","Rvada","Colorado, CO"
"Ashton","Ashtown","Idaho, ID"
"Aspen","Aspin","Colorado, CO"
"Athens","Athins","Georgia, GA"
"Athol","Atthol","Massachusetts, MA"
"Atlanta","Altanta","Georgia, GA"
"Auburn","Aburn","Alabama, AL"
"Auburn","Aubern","Washington, WA"
"Auburn","Uaburn","Washington, WA"
"Ault","Alt","Colorado, CO"
"Ault","Ult","Colorado, CO"
"Aurora","Arora","Colorado, CO"
"Aurora","Uarora","Illinois, IL"
"Austin","Austen","Texas, TX"
"Bakersfield","Bakersfeild","California, CA"
"Baltimore","Baltimor","Maryland, MD"
"Bandera","Bandere","Texas, TX"
"Bandera","Bandira","Texas, TX"
"Bangor","Banger","Maine, ME"
"Bardstown","Bardston","Kentucky, KY"
"Barre","Bare","Vermont, VT"
"Batavia","Batevia","Illinois, IL"
"Baxter Springs","Bakster Springs","Kansas, KS"
"Bayou La Batre","Bayo La Bater","Alabama, AL"
"Bayou La Batre","Bayo La Batre","Alabama, AL"
"Bayou La Batre","Bayou La Bater","Alabama, AL"
"Bayou La Batre","Bayuo La Batre","Alabama, AL"
"Bayou La Batre","Boyu La Bater","Alabama, AL"
"Bayou La Batre","Boyu La Batre","Alabama, AL"
"Beardstown","Baerdstown","Illinois, IL"
"Beattie","Baettie","Kansas, KS"
"Beattie","Beatie","Kansas, KS"
"Beaver","Beever","Oklahoma, OK"
"Beaver","Bever","Oklahoma, OK"
"Bellevue","Beleevue","Washington, WA"
"Bellevue","Belleveu","Washington, WA"
"Bellingham","Belingham","Washington, WA"
"Bellingham","Belinghem","Washington, WA"
"Belzoni","Belsoni","Mississippi, MS"
"Bemidji","Bemedji","Minnesota, MN"
"Bemidji","Bemidje","Minnesota, MN"
"Bemidji","Bemidjee","Minnesota, MN"
"Berea","Berae","Kentucky, KY"
"Berkeley","Berkley","California, CA"
"Berkeley","Berklui","California, CA"
"Berkeley","Berkly","California, CA"
"Berlin","Berlen","New Hampshire, NH"
"Berlin","Burlin","New Hampshire, NH"
"Berrien Springs","Berian Springs","Michigan, MI"
"Berrien Springs","Brerrian Springs","Michigan, MI"
"Berryville","Berryvile","Arkansas, AR"
"Berthoud","Berthood","Colorado, CO"
"Berthoud","Burthoud","Colorado, CO"
"Bertram","Bertrim","Texas, TX"
"Bessemer","Besemer","Alabama, AL"
"Bethany Beach","Betheny Beach","Delaware, DE"
"Bethlehem","Bethleham","Connecticut, CT"
"Bethlehem","Bethleham","Pennsylvania, PA"
"Biloxi","Bilcksi","Mississippi, MS"
"Biloxi","Bilocksi","Mississippi, MS"
"Binghamton","Bimghamton","New York, NY"
"Birmingham","Bermingham","Alabama, AL"
"Birmingham","Berminghum","Alabama, AL"
"Birmingham","Birminghum","Alabama, AL"
"Birmingham","Brimingham","Alabama, AL"
"Bishop","Bisshop","California, CA"
"Bloomington","Bloomingtown","Illinois, IL"
