"city","state"
"Abeville","Georgia, GA"
"Abiline","Texas, TX"
"Alabastre","Alabama, AL"
"Alamedda","California, CA"
"Albny","Oregon, OR"
"Albertvile","Alabama, AL"
"Albuqerque","New Mexico, NM"
"Albuquerqe","New Mexico, NM"
"Allgona","Washington, WA"
"Allgona","Iowa, IA"
"Algonkwen","Illinois, IL"
"Anapolis","Maryland, MD"
"Aniston","Alabama, AL"
"Annoka","Minnesota, MN"
"Apach Junction","Arizona, AZ"
"Apache Junktion","Arizona, AZ"
"Apexs","North Carolina, NC"
"Artesea","Mississippi, MS"
"Rvada","Colorado, CO"
"Ashtown","Idaho, ID"
"Athins","Georgia, GA"
"Altanta","Georgia, GA"
"Aburn","Alabama, AL"
"Uaburn","Washington, WA"
"Alt","Colorado, CO"
"Ult","Colorado, CO"
"Arora","Colorado, CO"
"Uarora","Illinois, IL"
"Bakersfeild","California, CA"
"Bandere","Texas, TX"
"Bardston","Kentucky, KY"
"Batevia","Illinois, IL"
"Bakster Springs","Kansas, KS"
"Bayo La Batre","Alabama, AL"
"Bayuo La Batre","Alabama, AL"
"Boyu La Batre","Alabama, AL"
"Baettie","Kansas, KS"
"Beatie","Kansas, KS"
"Beever","Oklahoma, OK"
"Bever","Oklahoma, OK"
"Beleevue","Washington, WA"
"Belingham","Washington, WA"
"Belinghem","Washington, WA"
"Belsoni","Mississippi, MS"
"Bemidje","Minnesota, MN"
"Berae","Kentucky, KY"
"Berkly","California, CA"
"Berlen","New Hampshire, NH"
"Berian Springs","Michigan, MI"
"Berthood","Colorado, CO"
"Burthoud","Colorado, CO"
"Bertrim","Texas, TX"
"Betheny Beach","Delaware, DE"
"Bethleham","Connecticut, CT"
"Bethleham","Pennsylvania, PA"
"Bilocksi","Mississippi, MS"
"Bermingham","Alabama, AL"
"Berminghum","Alabama, AL"
"Birminghum","Alabama, AL"
"Brimingham","Alabama, AL"
"Bluefeild","West Virginia, WV"
"Bostun","Massachusetts, MA"
"Bolder","Colorado, CO"
"Bozman","Montana, MT"
"Braeux Bridge","Louisiana, LA"
"Brigdeport","Connecticut, CT"
"Brinckley","Arkansas, AR"
"Bristal","Connecticut, CT"
"Bristel","Tennessee, TN"
"Bristel","Connecticut, CT"
"Bristil","Tennessee, TN"
"Brocton","Massachusetts, MA"
"Benua","California, CA"
"Beuna","California, CA"
"Bunena","California, CA"
"Buhll","Idaho, ID"
"Bull","Idaho, ID"
"Bute","Montana, MT"
"Butt","Montana, MT"
"Biram Township","New Jersey, NJ"
