"celebrity","birth_place","country"
"Zooey Deschanel","Los Angeles","United States"
"Zooey Dechanel","Los Angeles","United States"
"Zooey Deschannel","Los Angeles","United States"
"Zooey Deschenel","Los Angeles","United States"
"Zooey Deshanel","Los Angeles","United States"
"Zooey Dechannel","Los Angeles","United States"
"Zooey Deschanelle","Los Angeles","United States"
"Zooey Dechanelle","Los Angeles","United States"
"Zooey Deschanell","Los Angeles","United States"
"Zooey Daschenel","Los Angeles","United States"
"Zooey Daschanel","Los Angeles","United States"
"Zooey Dechanell","Los Angeles","United States"
"Zooey Deschanels","Los Angeles","United States"
"Zooey Deshanelle","Los Angeles","United States"
"Zooey Dechenel","Los Angeles","United States"
"Zooey Deshanell","Los Angeles","United States"
"Zooey Deschenelle","Los Angeles","United States"
"Zooey Deschamel","Los Angeles","United States"
"Zooey Deeschanel","Los Angeles","United States"
"Zooey Deshenel","Los Angeles","United States"
"Zooey Deshannel","Los Angeles","United States"
"Zooey Deschanael","Los Angeles","United States"
"Zooey Deschaenel","Los Angeles","United States"
"Zooey Deschennel","Los Angeles","United States"
"Zooey Deschaunel","Los Angeles","United States"
"Zooey Dachanel","Los Angeles","United States"
"Zooey Daeschanel","Los Angeles","United States"
"Zooey Deschenell","Los Angeles","United States"
"Zooey Dachenel","Los Angeles","United States"
"Zooey Deschnel","Los Angeles","United States"
"Zooey Daschenal","Los Angeles","United States"
"Zooey Dechenelle","Los Angeles","United States"
"Zooey Deschaniel","Los Angeles","United States"
"Zooey Descanel","Los Angeles","United States"
"Zooey Deschaanel","Los Angeles","United States"
"Zooey Deschannels","Los Angeles","United States"
"Zooey Dechaunel","Los Angeles","United States"
"Zooey Dechanele","Los Angeles","United States"
"Zooey Duschanel","Los Angeles","United States"
"Zooey Deuchanel","Los Angeles","United States"
"Zooey Deshenal","Los Angeles","United States"
"Zooey Deuschanel","Los Angeles","United States"
"Zooey Doeschanel","Los Angeles","United States"
"Zooey Daschel","Los Angeles","United States"
"Zooey Deschannell","Los Angeles","United States"
"Zooey Dechenal","Los Angeles","United States"
"Zooey Daschenelle","Los Angeles","United States"
"Zooey Dechannelle","Los Angeles","United States"
"Zooey Deshaunel","Los Angeles","United States"
"Zooey Duchanel","Los Angeles","United States"
"Zooey Deshenelle","Los Angeles","United States"
"Zooey Daeshanel","Los Angeles","United States"
"Zooey Daechanel","Los Angeles","United States"
"Zooey Deschunel","Los Angeles","United States"
"Zooey Dechamel","Los Angeles","United States"
"Zooey Deaschanel","Los Angeles","United States"
"Zooey Dashenell","Los Angeles","United States"
"Zooey Dechennel","Los Angeles","United States"
"Zooey Dashenal","Los Angeles","United States"
"Zooey Dejanel","Los Angeles","United States"
"Zooey Dechannele","Los Angeles","United States"
"Zooey Deschan","Los Angeles","United States"
"Zooey Daeschenal","Los Angeles","United States"
"Zooey Deschantel","Los Angeles","United States"
"Zooey Deishanel","Los Angeles","United States"
"Zooey Dechaunelle","Los Angeles","United States"
"Zooey Deshinel","Los Angeles","United States"
"Zooey Deshanael","Los Angeles","United States"
"Zooey Daychanel","Los Angeles","United States"
"Zooey Deschaneles","Los Angeles","United States"
"Zooey Dashenel","Los Angeles","United States"
"Zooey Deschenael","Los Angeles","United States"
"Zooey Deechanel","Los Angeles","United States"
"Zooey Deichanel","Los Angeles","United States"
"Zooey Dechantel","Los Angeles","United States"
"Zooey Deychanel","Los Angeles","United States"
"Zooey Daschenell","Los Angeles","United States"
"Zooey Deschaneal","Los Angeles","United States"
"Zooey Deachanel","Los Angeles","United States"
"Zooey Daschenael","Los Angeles","United States"
"Zooey Decshanel","Los Angeles","United States"
"Zooey Deschinel","Los Angeles","United States"
"Zooey Deschamps","Los Angeles","United States"
"Zooey Dechenell","Los Angeles","United States"
"Zooey Deshnel","Los Angeles","United States"
"Zooey Deschaneel","Los Angeles","United States"
"Zooey Dechannell","Los Angeles","United States"
"Zooey Deshcanel","Los Angeles","United States"
"Zooey Dischanel","Los Angeles","United States"
"Zooey Dashanell","Los Angeles","United States"
"Zooey Deyschanel","Los Angeles","United States"
"Zooey Dachenal","Los Angeles","United States"
"Zooey Deshinal","Los Angeles","United States"
"Zooey Deshanele","Los Angeles","United States"
"Zooey Deschnell","Los Angeles","United States"
"Zooey Descheanel","Los Angeles","United States"
"Zooey Dayshanel","Los Angeles","United States"
"Zooey Dashinal","Los Angeles","United States"
"Zooey Daschaenel","Los Angeles","United States"
"Zooey Deschane","Los Angeles","United States"
"Zooey Descahnel","Los Angeles","United States"
"Zooey Deshenell","Los Angeles","United States"
"Zooey Dechasnel","Los Angeles","United States"
"Zooey Dchannel","Los Angeles","United States"
"Zooey Dashanelle","Los Angeles","United States"
"Zooey Daechenel","Los Angeles","United States"
"Zooey Dachanelle","Los Angeles","United States"
"Zooey Deshaniel","Los Angeles","United States"
"Zooey Dezchanel","Los Angeles","United States"
"Zooey Dechaenel","Los Angeles","United States"
"Zooey Dachannel","Los Angeles","United States"
"Zooey Daschennel","Los Angeles","United States"
"Zooey Deshaneel","Los Angeles","United States"
"Zooey Deshennel","Los Angeles","United States"
"Zooey Deshonel","Los Angeles","United States"
"Zooey Dooschenel","Los Angeles","United States"
"Zooey Deschannele","Los Angeles","United States"
"Zooey Daschanell","Los Angeles","United States"
"Zooey Deschaenal","Los Angeles","United States"
"Zooey Deushanel","Los Angeles","United States"
"Zooey Desenel","Los Angeles","United States"
"Zooey Dichanel","Los Angeles","United States"
"Zooey Deashanel","Los Angeles","United States"
"Zooey Deschonel","Los Angeles","United States"
"Zooey Deischanel","Los Angeles","United States"
"Zooey Daschanelle","Los Angeles","United States"
"Zooey Desanel","Los Angeles","United States"
"Zooey Deschel","Los Angeles","United States"
"Zooey Descheneal","Los Angeles","United States"
"Zooey Daschunel","Los Angeles","United States"
"Zooey Deschanuel","Los Angeles","United States"
"Zooey Deisenel","Los Angeles","United States"
"Zooey Daschanael","Los Angeles","United States"
"Zooey Descanelle","Los Angeles","United States"
"Zooey Deschenele","Los Angeles","United States"
"Zooey Deschenale","Los Angeles","United States"
"Zooey Duchannel","Los Angeles","United States"
"Zooey Daschnell","Los Angeles","United States"
"Zooey Dechaney","Los Angeles","United States"
"Zooey Deshnell","Los Angeles","United States"
"Zooey Doochanel","Los Angeles","United States"
"Zooey Deshnal","Los Angeles","United States"
"Zooey Descenel","Los Angeles","United States"
"Zooey Dschanel","Los Angeles","United States"
"Zooey Delaney","Los Angeles","United States"
