"celebrity","celebrity_misspelled","birth_place","country"
"Zooey Deeschanel","Zooeey Deschanell","Los Angeles","United States"
"Zooey Deschanell","Zooey Dechanel","Los Angeless","United States"
"Zooey Deschaneel","Zooey Deschannelll","Los Angeles","United States"
"Zooeey Deschanel","Zooey DDeschenel","Los Angeles","United States"
"Zooey Deschanel","Zooey Deshanel","Los Angelles","United States"
"Zoooey Deschanel","Zooey Dechannell","Los Angeless","United States"
"Zoooey Deschanel","Zooey Deschanellee","Los Angeless","United States"
"Zooey DDeschanel","Zooey Dechanelleee","Los Angeles","United States"
"Zooey Deeschanel","Zooey Deschanell","Los Angeles","United States"
"Zooey Deschanell","Zooey Deschenall","Los Angeless","United States"
"Zooey Deschanel","Zooey Daschenel","Los Angeles","United States"
"Zooey Deschanel","Zooey DDaschanel","Los Angeles","United States"
"Zooey Deschanell","Zooey Dechanelll","Los Angeless","United States"
"Zooey Deschanell","Zoooey Deschanelss","Los Angeles","United States"
"Zooey Deschanel","Zooey Deshanelllee","Los Angeeles","United States"
"Zooey Deschanell","Zooey Dechenell","Los Angeles","United States"
"Zooey Deschanel","Zooey Deshanelll","Los Angeles","United States"
"Zooey Deschanel","Zooey Deschenelleee","Los Angeles","United States"
"Zooey  Deschanel","Zooey Desschanelee","Los Angeles","United States"
"Zooey Deschanell","Zooey Deschamelll","Los Angeless","United States"
"Zooey Deeschanel","Zoooey Deeschanel","Los Angeles","United States"
"Zooey Deschanell","Zooey Deshenelll","Los Angeless","United States"
"Zooey Deschanel","Zooey Deshannell","Los Angeles","United States"
"Zooey Deschanel","ZZooey Deschanaell","Los Angeless","United States"
"Zooey Deschanell","Zooey Descchaenell","Los Angeless","United States"
"Zooey Deschanel","Zooeyy Deschennell","Los Angeless","United States"
"Zooey Deschanell","Zooeey Deschaunel","Los Angeless","United States"
"Zooey Deschanel","Zooey Dachanelll","Los Angeles","United States"
"Zooey Deschannel","Zooey Daeschanell","Los Angeles","United States"
"Zooey Deschanel","Zooey Dashaneel","Loss Angeles","United States"
"Zooey Deschanell","Zooey Deschenelll","Los Angeless","United States"
"Zooey Deschanel","Zooey Dacheenel","Los Angeless","United States"
"Zooey Deeschanel","Zooey Deschhnel","Los Angeles","United States"
"Zooey Deschhanel","Zooey Daschenalll","Los Angeless","United States"
"Zooey Deschhanel","Zooey Dechenelleee","Los Angeless","United States"
"Zooey Deschanel","Zooey Deschanielll","Los Angeless","United States"
"Zooey Deschanel","Zoooey  Descanel","Los Angeless","United States"
"Zooey Deschanel","Zooey Deschaanell","Los Angeless","United States"
"Zooey Deschanel","Zooey Deschannelss","Los Angeles","United States"
"Zooey Deschanel","Zooey Dechaunell","Los Angeles","United States"
"Zooey Deschanell","Zooey  Dechanelee","Los Angeless","United States"
"Zooey Deschanell","Zooey Duschanel","Los Angeles","United States"
"Zooey Deschanell","Zooey Daschnell","Loos Angeles","United States"
"Zooey Deschanel","Zooey Deuchanell","Los Angeless","United States"
"Zooey Deschanell","Zooey Deshennal","Los Anngeles","United States"
"Zooey Deschanel","Zooey Deuschanel","Los Angeless","United States"
