course_id,course_title,url,price,num_subscribers,num_reviews,num_lectures,level,Rating,content_duration,published_timestamp,subject
19421,Free Beginner Electric Guitar Lessons,https://www.udemy.com/beginner-electric-guitar-lessons/,0,101154,1042,95,All Levels,0.88,4.5,2012-06-15T17:00:33Z,Musical Instruments
238934,Pianoforall - Incredible New Way To Learn Piano & Keyboard,https://www.udemy.com/pianoforall-incredible-new-way-to-learn-piano-keyboard/,200,75499,7676,362,Beginner Level,0.96,30,2014-08-07T06:27:51Z,Musical Instruments
41884,Getting Started with Playing Guitar,https://www.udemy.com/getting-started-with-playing-guitar/,0,47652,1141,26,All Levels,0.68,4,2013-05-29T15:28:07Z,Musical Instruments
42271,Complete Guitar System - Beginner to Advanced,https://www.udemy.com/complete-guitar-system-beginner-to-advanced/,145,32935,2713,310,All Levels,0.65,34,2013-05-29T15:24:47Z,Musical Instruments
26956,Learn Guitar in 21 Days,https://www.udemy.com/learn-guitar-in-21-days/,20,26504,192,82,All Levels,0.41,2.5,2012-10-21T20:36:50Z,Musical Instruments
456284,The Professional Guitar Masterclass,https://www.udemy.com/the-professional-guitar-masterclass/,200,21701,1340,136,All Levels,0.3,9.5,2015-04-28T17:27:26Z,Musical Instruments
583752,Introduction to Piano - By PGN Piano!,https://www.udemy.com/introductiontopiano/,0,14922,772,8,All Levels,0.3,0.6666666667,2015-08-16T20:38:49Z,Musical Instruments
59922,Best Beginner Guitar Lessons by Sam Lyons,https://www.udemy.com/best-beginner-guitar-lessons-by-sam-lyons-udemy/,20,14560,20,32,All Levels,0.3,2,2013-06-16T17:54:10Z,Musical Instruments
198690,Acoustic Guitar Basics,https://www.udemy.com/acoustic-guitar-basics/,0,14495,224,21,Beginner Level,0.47,2,2014-08-07T20:32:27Z,Musical Instruments
484670,Guitar Super System Level 1,https://www.udemy.com/guitar-super-system-level-1-unlock-your-potential/,50,10869,2257,104,Intermediate Level,0.94,5,2015-04-29T23:49:34Z,Musical Instruments
953152,The Complete Piano & Music Theory Beginners Course,https://www.udemy.com/piano-lessons-music-theory-beginners-course/,50,10435,665,23,Expert Level,0.12,1.5,2016-09-15T22:49:21Z,Musical Instruments
1191750,"Jazz Guitar Tips, Tricks and Licks",https://www.udemy.com/jazz-guitar-tips-tricks-and-licks/,0,9351,331,21,Intermediate Level,0.18,2,2017-05-01T02:32:12Z,Musical Instruments
645202,The Total Beginner's Guitar Course,https://www.udemy.com/total-beginner-guitar-lessons/,0,9193,357,17,Intermediate Level,0.18,1.5,2016-03-24T15:04:30Z,Musical Instruments
200598,"LEARN HARMONICA, amaze your friends and have fun - it's easy",https://www.udemy.com/benhewlettharmonicatuitionultimate-harmonica-course/,200,8857,718,131,Beginner Level,0.43,15.5,2014-04-27T16:25:44Z,Musical Instruments
101496,How To Play Blues Guitar - Broonzy & McGhee Blues Lessons,https://www.udemy.com/swing-acoustic-blues-guitar-lessons/,0,8240,31,6,All Levels,0.52,1.5,2013-11-23T12:27:56Z,Musical Instruments
99324,Acoustic Blues Guitar Lessons,https://www.udemy.com/finger-picking-blues-guitar/,0,8217,109,10,Beginner Level,0.3,1,2013-09-30T20:45:20Z,Musical Instruments
1132342,Ultimate Beginner Guitar Masterclass,https://www.udemy.com/beginner-guitar-masterclass/,200,8113,79,124,All Levels,0.18,11.5,2017-05-15T23:04:11Z,Musical Instruments
194692,Quicklessons Piano Course - Learn to Play Piano by Ear!,https://www.udemy.com/quicklessons/,200,7178,260,144,Intermediate Level,0.15,8.5,2014-04-12T17:29:32Z,Musical Instruments
76524,A new approach to piano and playing songs for beginners,https://www.udemy.com/contemporary-piano/,50,7140,72,26,All Levels,0.18,1.5,2013-08-11T20:39:24Z,Musical Instruments
409818,Get started playing blues harmonica,https://www.udemy.com/get-started-playing-blues-harmonica/,0,6853,398,23,Intermediate Level,0.99,0.6166666667,2015-03-30T22:01:08Z,Musical Instruments
517148,Acoustic Fingerstyle Guitar Course: Beginner to Advanced,https://www.udemy.com/acoustic-fingerstyle-guitar/,200,6565,55,56,All Levels,0.11,4,2015-08-04T17:40:13Z,Musical Instruments
824044,PI-101 Top 10 Classical Piano Pieces for Beginners,https://www.udemy.com/pi-101-piano/,0,6292,183,38,Beginner Level,0.96,1,2016-05-30T21:02:20Z,Musical Instruments
1052180,"How to play 'Electric Guitar"",https://www.udemy.com/electric-guitar-beginners-method/,true,50,1105,5,20,Beginner Level,2 hours,2016-12-29T00:24:06Z
42038,Learn Piano Today: How to Play Piano Course in Quick Lessons""",https://www.udemy.com/learnpianotoday/,100,6271,68,75,All Levels,0.14,5,2013-06-27T21:55:17Z,Musical Instruments
65033,Virtual Piano Lessons - A New Way To Learn Piano,https://www.udemy.com/virtual-piano-lessons-a-new-way-to-learn-piano/,50,5830,29,12,Beginner Level,0.14,1,2013-07-21T23:31:31Z,Musical Instruments
315576,Guitar Crash Course (No Experience Necessary),https://www.udemy.com/hub-guitar-crash-course/,0,5769,78,29,Intermediate Level,0.14,1,2015-01-22T03:23:59Z,Musical Instruments
364716,"Beginner Violin 101: Care, Maintenance, and the Right Gear",https://www.udemy.com/beginner-violin-101-care-maintenance-and-the-right-gear/,0,5543,107,29,Beginner Level,0.14,4,2015-03-03T00:09:19Z,Musical Instruments
967380,How to play Piano - Go from a Beginner/Intermediate to a Pro,https://www.udemy.com/how-to-play-piano-go-from-a-beginnerintermediate-to-a-pro/,200,5316,159,291,All Levels,0.14,31,2016-10-16T18:25:57Z,Musical Instruments
1032864,Learn to Read & Write Music to play Piano & more instruments,https://www.udemy.com/the-complete-guide-to-how-to-read-write-music/,115,5292,38,85,Beginner Level,0.14,10.5,2016-12-27T19:52:54Z,Musical Instruments
