location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Argentina,2020-12-29,Sputnik V,https://covidstats.com.ar/,20490,20487,2,1
Argentina,2020-12-30,Sputnik V,https://covidstats.com.ar/,40592,40584,7,1
Argentina,2020-12-31,Sputnik V,https://covidstats.com.ar/,43398,43390,7,1
Argentina,2021-01-01,Sputnik V,https://covidstats.com.ar/,43525,43517,7,1
Argentina,2021-01-02,Sputnik V,https://covidstats.com.ar/,46837,46826,10,1
Argentina,2021-01-03,Sputnik V,https://covidstats.com.ar/,47281,47267,11,3
Argentina,2021-01-04,Sputnik V,https://covidstats.com.ar/,57742,57722,15,5
Argentina,2021-01-05,Sputnik V,https://covidstats.com.ar/,68471,68448,18,5
Argentina,2021-01-06,Sputnik V,https://covidstats.com.ar/,78583,78558,18,7
Argentina,2021-01-07,Sputnik V,https://covidstats.com.ar/,96809,96781,20,8
Argentina,2021-01-08,Sputnik V,https://covidstats.com.ar/,124701,124666,26,9
Argentina,2021-01-09,Sputnik V,https://covidstats.com.ar/,134910,134873,27,10
Argentina,2021-01-10,Sputnik V,https://covidstats.com.ar/,136087,136046,27,14
Argentina,2021-01-11,Sputnik V,https://covidstats.com.ar/,155912,155865,32,15
Argentina,2021-01-12,Sputnik V,https://covidstats.com.ar/,175304,175238,42,24
Argentina,2021-01-13,Sputnik V,https://covidstats.com.ar/,192077,192009,43,25
Argentina,2021-01-14,Sputnik V,https://covidstats.com.ar/,208730,208657,44,29
Argentina,2021-01-15,Sputnik V,https://covidstats.com.ar/,226175,226096,50,29
Argentina,2021-01-16,Sputnik V,https://covidstats.com.ar/,232059,231979,51,29
Argentina,2021-01-17,Sputnik V,https://covidstats.com.ar/,233121,233036,54,31
Argentina,2021-01-18,Sputnik V,https://covidstats.com.ar/,242953,242856,58,39
Argentina,2021-01-19,Sputnik V,https://covidstats.com.ar/,256203,250671,5492,40
Argentina,2021-01-20,Sputnik V,https://covidstats.com.ar/,275631,256582,19009,40
Argentina,2021-01-21,Sputnik V,https://covidstats.com.ar/,289750,261382,28328,40
Argentina,2021-01-22,Sputnik V,https://covidstats.com.ar/,298970,266406,32523,41
Argentina,2021-01-23,Sputnik V,https://covidstats.com.ar/,302915,267519,35354,42
Argentina,2021-01-24,Sputnik V,https://covidstats.com.ar/,303218,267610,35566,42
Argentina,2021-01-25,Sputnik V,https://covidstats.com.ar/,317433,274733,42658,42
Argentina,2021-01-26,Sputnik V,https://covidstats.com.ar/,330248,280054,50152,42
Argentina,2021-01-27,Sputnik V,https://covidstats.com.ar/,340357,284146,56169,42
Argentina,2021-01-28,Sputnik V,https://covidstats.com.ar/,356404,285589,70772,43
Argentina,2021-01-29,Sputnik V,https://covidstats.com.ar/,379907,287051,92813,43
Argentina,2021-01-30,Sputnik V,https://covidstats.com.ar/,389221,287253,101924,44
Argentina,2021-01-31,Sputnik V,https://covidstats.com.ar/,389845,287261,102540,44
Argentina,2021-02-01,Sputnik V,https://covidstats.com.ar/,409373,289534,119794,45
Argentina,2021-02-02,Sputnik V,https://covidstats.com.ar/,433251,295178,138027,46
Argentina,2021-02-03,Sputnik V,https://covidstats.com.ar/,459869,305588,154235,46
Argentina,2021-02-04,Sputnik V,https://covidstats.com.ar/,488007,315915,172046,46
Argentina,2021-02-05,Sputnik V,https://covidstats.com.ar/,521051,329806,191201,46
Argentina,2021-02-06,Sputnik V,https://covidstats.com.ar/,531980,332884,199052,46
Argentina,2021-02-07,Sputnik V,https://covidstats.com.ar/,533363,333455,199864,46
Argentina,2021-02-08,Sputnik V,https://covidstats.com.ar/,556792,349927,206821,46
Argentina,2021-02-09,Sputnik V,https://covidstats.com.ar/,576991,364195,212752,46
Argentina,2021-02-10,Sputnik V,https://covidstats.com.ar/,592619,375209,217366,46
Argentina,2021-02-11,Sputnik V,https://covidstats.com.ar/,610476,379876,230556,46
Argentina,2021-02-12,Sputnik V,https://covidstats.com.ar/,626318,384136,242138,46
Argentina,2021-02-13,Sputnik V,https://covidstats.com.ar/,629354,384499,244811,46
Argentina,2021-02-14,Sputnik V,https://covidstats.com.ar/,629506,384523,244939,46
Argentina,2021-02-15,Sputnik V,https://covidstats.com.ar/,630824,385603,245176,47
Argentina,2021-02-16,Sputnik V,https://covidstats.com.ar/,632137,386641,245451,47
Argentina,2021-02-17,Sputnik V,https://covidstats.com.ar/,656548,406304,250199,47
Argentina,2021-02-18,Sputnik V,https://covidstats.com.ar/,720378,458576,261756,48
Argentina,2021-02-19,Sputnik V,https://covidstats.com.ar/,788276,518929,269300,49
Argentina,2021-02-20,Sputnik V,https://covidstats.com.ar/,820897,550007,270843,49
Argentina,2021-02-21,Sputnik V,https://covidstats.com.ar/,841077,570151,270879,49
Argentina,2021-02-22,Sputnik V,https://covidstats.com.ar/,908654,636003,272604,49
Argentina,2021-02-23,Sputnik V,https://covidstats.com.ar/,995614,718850,276717,49
